Name,Country,Position,Born
Helmuth Aberle,Austria,Forward,10/06/1969
GÃ¶khan Acar,Austria,Defender,03/01/1983
CÃ¼neyt AÃ§Ä±kgÃ¶z,Turkey,Defender,08/09/1980
Husein Ademovic,Bosnia-Herzegovina,Forward,16/11/1996
Christian Aflenzer,Austria,Midfielder,31/03/1972
Alexander Al Sarrag,Austria,Midfielder,14/02/1995
Yasin Allam,Egypt,Defender,14/05/1990
David Ambrosch,Austria,Defender,10/06/1991
Furkan Aydogdu,Austria,Midfielder,06/06/1988
Ilter Ayyildiz,Austria,Forward,31/07/1992
Kristian Babic,Austria,Defender,13/08/1994
Walter Baier,Austria,Defender,14/12/1941
Patrik Bani,Austria,Midfielder,21/09/1997
Mohamed Bassiouny,Austria,Forward,02/11/1998
Gernot Baumgartner,Austria,Forward,09/06/1981
Haydar Bayram,Turkey,Goalkeeper,01/04/2000
Hussein Bazzi,Austria,Forward,01/02/1999
Agron Bekirovski,Austria,Midfielder,28/05/1989
Anton Berisha,Austria,Midfielder,25/03/1991
Christoph Bileck,Austria,Defender,26/03/1979
Carsten Bjerregaard,Austria,Defender,12/08/1970
Max Blauensteiner,Austria,Midfielder,20/11/1985
Karl Blitzenetz,Austria,Forward,
Dragan Bodul,Croatia,Midfielder,12/03/1975
Boris Bokalic,Austria,Midfielder,22/07/1988
Alexander Bokor,Austria,Goalkeeper,16/09/1992
Werner Breitenfelder,Austria,Defender,16/01/1940
Johannes Brotzge,Austria,Goalkeeper,14/04/1997
Markus Buchinger,Austria,Forward,09/11/1981
Cedomir Bumbic,Bosnia-Herzegovina,Forward,08/09/1999
Damir Canadi,Austria,Midfielder,06/05/1970
Tony Cargnelli,Austria,Forward,01/02/1889
Martin Cestnik,Austria,Midfielder,21/09/1973
Ilyas Cindi,Austria,Defender,10/06/1992
Franco Cisneros,Argentina,Midfielder,04/04/1978
Leopold Czejka,Austria,Defender,14/11/1903
Gheorghe Dani,Austria,Defender,29/07/1988
Misel Danicic,Serbia,Defender,10/03/1992
Thomas Darazs,Austria,Forward,05/11/1977
Arpad Deak,Austria,Midfielder,21/07/1977
Robert Dienst,Austria,Forward,01/03/1928
Klaus Dietrich,Austria,Defender,27/06/1974
Josip Djoja,Austria,Forward,30/07/1991
Martin Enenkel,Austria,Midfielder,14/11/1990
Christian Feitzinger,Austria,Midfielder,19/03/1973
Albulen Fetai,North Macedonia,Forward,04/04/1995
Bernhard Fila,Austria,Defender,26/01/1997
