Name,Country,Position,Born
Helmuth Aberle,Austria,Forward,10/06/1969
Johannes Abfalterer,Austria,Forward,26/12/1962
Ernst Aigner,Austria,Defender,31/10/1966
Emanuel Aiwu,Austria,Defender,25/12/2000
Muhammet AkagÃ¼ndÃ¼z,Austria,Forward,11/01/1978
Ãric Akoto,Togo,Defender,20/07/1980
Valter Androsic,Croatia,Defender,11/11/1977
Gottfried Angerer,Austria,Goalkeeper,04/03/1961
Peter Artner,Austria,Midfielder,20/05/1966
VitÄlijs Astafjevs,Latvia,Midfielder,03/04/1971
Stephan Auer,Austria,Defender,11/01/1991
Ilter Ayyildiz,Austria,Forward,31/07/1992
Khodadad Azizi,Iran,Forward,22/06/1971
Gerald Bacher,Austria,Midfielder,08/10/1968
Sven Backhaus,Germany,Defender,01/06/1968
Philipp Baginski,Austria,Defender,26/03/1987
Macky Bagnack,Cameroon,Defender,07/06/1995
Eldis Bajrami,North Macedonia,Midfielder,12/12/1992
Sinan BakÄ±Å,Turkey,Forward,22/04/1994
Dario Baldauf,Austria,Defender,27/03/1985
Christian Banovits,Austria,Defender,28/10/1981
Miroslav BarÃ¡nek,Czech Republic,Forward,10/11/1973
Georg Bardel,Austria,Midfielder,08/03/1975
Zoran BariÅ¡iÄ,Austria,Defender,22/05/1970
Ferdinand Bartosch,Austria,Defender,03/05/1954
Benedict Bauer,Austria,Forward,21/02/1988
Sebastian Bauer,Austria,Defender,07/11/1992
Ernst Baumeister,Austria,Midfielder,22/01/1957
Hubert Baumgartner,Austria,Goalkeeper,25/02/1955
Mario Baumgartner,Austria,Goalkeeper,11/01/1983
Werner Bedernik,Austria,Midfielder,13/07/1940
Nizar Ben Nazra,Tunisia,Forward,02/08/1987
Werner Bendekovits,Austria,Forward,09/01/1974
Hans-Peter Berger,Austria,Goalkeeper,28/09/1981
Thomas Bernscherer,Austria,Defender,10/06/1982
Josef Bican,Austria,Forward,25/09/1913
Paul Bichelhuber,Austria,Midfielder,22/02/1987
Anton Bilek,Austria,Midfielder,20/11/1903
Horst Binder,Austria,Goalkeeper,17/10/1962
Michael Binder,Austria,Midfielder,14/05/1969
Walter Binder,Austria,Midfielder,14/12/1958
DraÅ¾en BiÅ¡kup,Croatia,Defender,28/12/1965
