Name,Country,Position,Born
Dennis Abrosimov,Germany,Defender,13/05/1998
Ryan-Segon Adigo,Germany,Forward,15/04/2001
Robin Afamefuna,Germany,Defender,02/03/1997
Amir Ahmadi,Afghanistan,Midfielder,01/01/2002
Mirac AkgÃ¼n,Germany,Defender,08/01/1998
Ãrhan Aktas,Germany,Midfielder,21/10/1994
Iyad Al-Khalaf,Germany,Defender,24/06/1995
Noah Andreas,Germany,Midfielder,27/04/2003
Alec Antalik,Germany,Forward,25/04/1999
Cameron Arnold,Germany,Forward,01/03/2003
Alper Arslan,Germany,Midfielder,16/05/2000
Kushtrim Asallari,Albania,Forward,23/04/2003
Samuel Atiye,Germany,Midfielder,21/04/1999
Yassir Atty,Togo,Defender,10/04/2003
Mervan Aydin,Germany,Forward,22/02/2000
Flakron Bajramaj,Germany,Defender,
Tom Baller,Germany,Midfielder,02/08/1998
Luca Barata,Germany,Forward,19/01/2003
Mehmet Bayrakli,Germany,Defender,27/03/2000
Andre Beaujean,Germany,Defender,17/01/1999
Bastian Beckers,Germany,Midfielder,29/09/1995
Robin Beckers,Germany,Midfielder,20/08/1997
Roland Bekker,Hungary,Defender,05/04/2002
Marc-Antoine Belasky,Germany,Defender,22/05/2002
Marcel Benger,Germany,Defender,02/07/1998
Malte Berauer,Germany,Defender,19/01/1995
Patriot Berisha,Kosovo,Forward,
Lukas Betz,Germany,Goalkeeper,10/04/1998
Jordan Beyer,Germany,Defender,19/05/2000
Janis Blaswich,Germany,Goalkeeper,02/05/1991
Dominik Boettcher,Germany,Forward,22/02/1995
Niklas Bolten,Germany,Goalkeeper,29/03/1994
Jordi Bongard,Germany,Defender,21/09/2001
Nico Brandenburger,Germany,Defender,17/01/1995
Pinkus Brandes,Germany,Midfielder,10/02/1999
Kevin Breuer,Germany,Midfielder,08/03/1991
Philipp Brouwers,Germany,Midfielder,10/02/1991
Maximilian BrÃ¼ll,Germany,Goalkeeper,26/08/2002
Gianluca Buhlmann,Germany,Midfielder,12/02/2002
Ben BÃ¼schgens,Germany,Defender,06/03/2003
GÃ¶ksen Cakir,Germany,Midfielder,14/04/1995
Furkan Cakmak,Germany,Midfielder,21/09/2001
Osman Calis,Germany,Midfielder,26/01/2003
Cihan Caliskan,Germany,Defender,19/03/2001
TaÅkÄ±n ÃalÄ±Å,Turkey,Midfielder,25/07/1993
Joel Cartus,Germany,Midfielder,22/01/2003
Ali Celik,Germany,Midfielder,08/07/1995
Durukan Celik,Germany,Midfielder,25/02/1999
Berk Ãetin,Turkey,Defender,02/02/2000
Emre Cetinkaya,Germany,Midfielder,17/02/2000
Nicolas Clasen,Germany,Defender,25/02/1997
Baris CÃ¶mez,Turkey,Midfielder,16/09/1991
Marvin Commodore,Germany,Midfielder,15/12/1992
Tim Corsten,Germany,Defender,02/05/2001
Udo da Silva Grasbeunder,Germany,Defender,09/06/2000
Said Daftari,Afghanistan,Midfielder,26/11/1982
Cem Dag,Turkey,Forward,16/02/2003
Mahmoud Dahoud,Germany,Midfielder,01/01/1996
Nils Dames,Germany,Defender,24/06/1993
Francesco de Luca,Italy,Forward,16/05/1994
Alexander Dercho,Germany,Defender,21/01/1987
Patrick Dertwinkel,Germany,Midfielder,08/04/1993
Dylan Dossouvi,Germany,Defender,23/01/1998
Dennis Dowidat,Germany,Midfielder,10/01/1990
Mawerick DreÃen,Germany,Forward,23/01/2000
Berkan Durdu,Germany,Midfielder,26/11/1998
Yannick Ebert,Germany,Defender,22/05/2000
Dennis Eckert,Germany,Forward,09/01/1997
Jonas Eiker,Germany,Goalkeeper,06/01/1998
Mohamed El Bakali,Germany,Forward,05/03/2001
