Name,Country,Position,Born
Ademar,Brazil,Defender,20/09/1980
Adriano,Brazil,Defender,01/07/1985
Adriano Matta,Brazil,Midfielder,12/07/1988
Airton,Brazil,Forward,02/02/1999
Airton Moraes,Brazil,Goalkeeper,29/05/1994
AlÃª,Brazil,Midfielder,15/08/1978
Alex Silva,Brazil,Defender,09/06/1980
Alexandre,Brazil,Midfielder,15/08/1983
Alexandro,Brazil,Forward,06/11/1986
Alison,Brazil,Defender,19/12/1993
Allisson,Brazil,Forward,30/01/1988
Alyson,Brazil,Defender,05/04/1996
Amoroso,Brazil,Forward,05/08/1989
AndrÃ© Castro,Brazil,Defender,02/11/1991
AndrÃ© Dias,Brazil,Goalkeeper,06/01/1990
AndrÃ© Luiz,Brazil,Forward,18/09/1985
AndrÃ© Vinicius,Brazil,Defender,30/07/1991
Anselmo RamÃ³n,Brazil,Forward,23/06/1988
AntÃ´nio Carlos,Brazil,Defender,07/03/1993
Assissinho,Brazil,Forward,28/07/1987
Betinho,Brazil,Midfielder,31/12/1987
Boituva,Brazil,Forward,19/01/1994
Braga,Brazil,Midfielder,09/08/1988
Branquinho,Brazil,Midfielder,02/01/1983
Brenner,Brazil,Forward,10/01/1999
Bruno,Brazil,Goalkeeper,30/01/1988
Bruno Barra,Brazil,Midfielder,11/04/1986
Bruno Bispo,Brazil,Defender,06/06/1996
Bruno GonÃ§alves,Brazil,Forward,29/12/1992
Bruno Lima,Brazil,Defender,28/06/1995
Bruno Lopes,Brazil,Forward,19/05/1995
Bruno Nunes,Brazil,Forward,08/07/1990
Bruno Oliveira,Brazil,Defender,11/01/1993
Bruno ParaÃ­ba,Brazil,Forward,20/07/1994
Bruno Silva,Brazil,Midfielder,15/02/1988
Bruno Xavier,Brazil,Midfielder,27/11/1996
Caetano,Brazil,Defender,24/06/1999
Caio Ruan,Brazil,Defender,01/04/1995
Caique FranÃ§a,Brazil,Goalkeeper,03/06/1995
Caju,Brazil,Defender,27/01/1989
Carlinhos,Brazil,Forward,12/02/1997
CÃ¡ssio,Brazil,Goalkeeper,16/07/1999
CearÃ¡,Brazil,Midfielder,05/03/1999
CÃ©sar,Brazil,Forward,28/02/1997
Cicinho,Brazil,Defender,04/08/1986
Claudinho,Brazil,Forward,28/01/1997
Clayton Sales,Brazil,Defender,24/02/1993
ClÃ©ber Reis,Brazil,Defender,05/12/1990
ClÃ©bson,Brazil,Midfielder,04/09/1985
Cleidson,Brazil,Defender,13/08/1988
Cleiton SÃ¡,Brazil,Goalkeeper,02/05/1993
Conrado,Brazil,Defender,03/04/1997
