Name,Country,Position,Born
Bryan Alceus,Haiti,Midfielder,01/02/1996
Sacha Bastien,France,Goalkeeper,22/01/1994
Yohan Bilingi,France,Defender,01/02/1999
Adrien Cinquini,France,Forward,17/05/1995
Alexandre Cropanese,France,Midfielder,18/10/1993
Pierrick Cros,France,Defender,17/03/1992
Enzo Di Santantonio,France,Midfielder,11/07/1995
Inza Diarrassouba,France,Defender,03/08/1990
ChÃ©rif Doumbia,Mali,Midfielder,10/08/1991
Alexandre Durimel,France,Defender,16/03/1990
Gwenn Foulon,France,Forward,20/10/1998
Alexis Giacomini,France,Midfielder,09/08/1998
Jean-FranÃ§ois Grimaldi,France,Midfielder,14/07/1988
Habib GuÃ¨ye,Senegal,Defender,08/03/1999
Mohamed Hamdi,France,Defender,08/05/1993
Mathis Jourdan,France,Forward,28/02/1997
Mohamed KanÃ©,Senegal,Defender,09/12/1991
FranÃ§ois Lajugie,France,Midfielder,31/01/1996
Martin Lajugie,France,Defender,
Joffrey Lidouren,Scotland,Midfielder,17/01/1995
CÃ©dric Lunardi,France,Goalkeeper,23/05/1998
Johan Milleliri,France,Midfielder,01/04/1987
Stefan Milosavljevic,France,Goalkeeper,22/09/1993
Cedric Odzoumo,France,Forward,25/05/1995
Mohamed Ouadah,France,Midfielder,31/08/1994
Thomas Parada,France,Defender,16/04/1996
Maxime Penneteau,France,Forward,28/10/1999
Matthias PhaÃ«ton,France,Forward,08/01/2000
Romain Soler,France,Defender,07/06/1989
Alexis Tournier,France,Midfielder,07/12/1999
Makan TraorÃ©,France,Defender,26/05/1992
