Name,Country,Position,Born
Mark Abdin,Germany,Midfielder,
Maurice Alves Trindate,Germany,Midfielder,21/10/1996
Kazui Ampo,Japan,Midfielder,14/01/2001
Marcel Arnold,Germany,Defender,13/02/1998
Noah Awassi,Germany,Defender,10/03/1998
Sandro Badermann,Germany,Defender,23/08/1995
Marcel BÃ¤r,Germany,Defender,03/06/1999
Toni Barnickel,Germany,Midfielder,20/06/1997
Jonas Baum,Germany,Midfielder,17/01/2001
Dominic Baumann,Germany,Midfielder,24/04/1995
Jachym Bechyne,Czech Republic,Midfielder,20/01/2000
Franz Beckert,Germany,Midfielder,08/03/1997
Julian Bender,Germany,Defender,16/04/1996
Konstantin Bender,Germany,Defender,
David Benes,Czech Republic,Midfielder,15/06/2002
Samuel BÃ­m,Czech Republic,Goalkeeper,19/07/2004
Tim Birkner,Germany,Defender,04/09/2003
Rocco Bischoff,Germany,Defender,02/01/1991
Niklas Bledow,Germany,Goalkeeper,07/03/1997
Louis BÃ¶cker,Germany,Midfielder,20/01/2001
Paul Bohlmann,Germany,Defender,17/09/2003
Lukas BÃ¶hm,Germany,Goalkeeper,30/01/2002
Justin Bong,Germany,Goalkeeper,08/07/2005
Kevin BÃ¶nisch,Germany,Forward,08/08/1994
Benjamin BÃ¶se,Germany,Goalkeeper,13/08/2002
Marc BÃ¶ttger,Germany,Midfielder,26/04/1994
Danny Breitfelder,Germany,Forward,19/02/1997
Maximilian Bresk,Germany,Midfielder,23/08/1995
Jonas Bruck,Germany,Defender,04/01/2002
Benjamin BrÃ¼ckner,Germany,Defender,15/08/1991
Kein Bui-Trung,Vietnam,Defender,09/02/1995
Justin Bulang,Germany,Midfielder,17/02/2004
Luis BÃ¼rger,Germany,Midfielder,15/10/2003
Mark BÃ¼rger,Germany,Forward,17/01/1991
Adam ÄernÃ½,Czech Republic,Midfielder,07/01/2003
Adam ÄiÄovskÃ½,Czech Republic,Midfielder,08/12/2002
Adam Cikovsky,Czech Republic,Midfielder,08/12/2002
Jakob David,Germany,Midfielder,17/01/2002
Tino Dehmelt,Germany,Goalkeeper,29/01/1992
Joshua Dill,Germany,Midfielder,06/02/1997
Karl Donath,Germany,Goalkeeper,08/02/2003
Tom Dornick,Germany,Midfielder,04/10/1998
Konstantin Eder,Germany,Forward,21/05/1997
Kevin Ehlers,Germany,Defender,23/01/2001
Lucas Ehrlich,Germany,Forward,02/03/2004
Xaver Ehrlich,Germany,Defender,29/03/2002
Fatlum Elezi,Germany,Defender,19/07/1998
Noah Fakhro,Germany,Goalkeeper,21/06/2003
Mattheus Felgener,Germany,Forward,02/08/1999
Marco Fischer,Germany,Defender,06/02/1995
Robin FluÃ,Germany,Midfielder,07/05/1996
Sascha FluÃ,Germany,Forward,24/08/1991
Moritz Frank,Germany,Forward,01/09/1999
Marcel Franke,Germany,Midfielder,05/04/1993
Antonio Frenzel,Germany,Midfielder,31/12/2002
Clemens Frenzel,Germany,Defender,30/06/2002
Christian FrÃ¶hlich,Germany,Midfielder,27/10/1977
Paul Fromm,Germany,Defender,25/09/2000
Norman Funke,Germany,Forward,17/03/2003
Florian Gehre,Germany,Defender,28/05/1999
Paul Gehrmann,Germany,Midfielder,28/04/1995
Turgay Gemicibasi,Germany,Midfielder,23/04/1996
Tim Genz,Germany,Defender,05/07/1997
Louis Glaser,Germany,Defender,15/09/2003
Benjamin Gnieser,Germany,Forward,23/08/1996
Tizian GÃ¶bel,Germany,Goalkeeper,17/05/1996
Simon Gollnack,Germany,Forward,29/01/2002
Tino GottlÃ¶ber,Germany,Midfielder,02/12/1965
Konstantin GrÃ¶ber,Germany,Forward,03/03/2003
Marek GroÃe,Germany,Goalkeeper,11/04/1994
Maximilian GroÃer,Germany,Midfielder,23/07/2001
Tommy Grothe,Germany,Forward,14/11/1995
Paul Hagen,Germany,Defender,02/02/2000
Franz Hampel,Germany,Goalkeeper,09/04/1996
Marcel HÃ¤nsel,Germany,Forward,08/01/1998
Tom Hartung,Germany,Midfielder,23/05/2000
Fritz Harzer,Germany,Midfielder,04/07/1997
Gregor Haseloff,Germany,Midfielder,28/01/1999
Marius Hauptmann,Germany,Midfielder,14/09/1999
Niklas Hauptmann,Germany,Midfielder,27/06/1996
Steven Hauschild,Germany,Midfielder,
Moritz Hennig,Germany,Forward,24/01/2003
Tobias Heppner,Germany,Defender,02/02/1994
Erik Herrmann,Germany,Goalkeeper,18/09/2004
Hector Hink,Germany,Forward,12/06/2003
Sandro Hippe,Germany,Defender,03/01/2000
Bernd Hofmann,Germany,Forward,18/09/1941
Louis HÃ¶ft,Germany,Forward,05/09/2003
Anton Holfeld,Germany,Defender,
Lorenz Hollenbach,Germany,Defender,02/10/2003
Nick Huenig,Germany,Forward,18/07/2001
Marcus HÃ¼ppe,Germany,Midfielder,23/10/1991
Ondrej Hynek,Germany,,
Justin Jacob,Germany,Defender,21/06/2000
Till Jacobi,Germany,Midfielder,26/02/2003
Leon Jejkal,Germany,Forward,13/01/1999
Eun-sa Jeong,South Korea,Midfielder,06/06/2001
Junho Jeong,South Korea,Midfielder,02/01/2002
Jens Jeremies,Germany,Midfielder,05/03/1974
JonÃ¡Å¡ JirÃ¡nek,Czech Republic,Forward,14/02/2002
Paul Kalauch,Germany,Midfielder,10/04/1998
Joon-mo Kang,South Korea,Midfielder,08/02/2002
Vasileios Kapourani,Germany,Forward,11/06/2001
Jannik KÃ¤ppler,Germany,Defender,13/12/1999
Georg Kauk,Germany,Midfielder,23/03/2001
Maik Kegel,Germany,Midfielder,08/12/1989
Jonas Keil,Germany,Midfielder,28/01/2002
