Name,Country,Position,Born
Farid Abbasly,Azerbaijan,Defender,23/01/1997
Mirabdulla Abbasov,Azerbaijan,Forward,27/04/1995
Ramazan Abbasov,Azerbaijan,Midfielder,22/09/1983
Ruslan Abbasov,Azerbaijan,Defender,01/06/1980
Samir Abbasov,Azerbaijan,Defender,01/02/1978
Araz Abdullayev,Azerbaijan,Midfielder,18/04/1992
Asker Abdullayev,Azerbaijan,Defender,27/03/1963
Elshan Abdullayev,Azerbaijan,Midfielder,05/02/1994
Rashad Abdullayev,Azerbaijan,Midfielder,01/10/1981
Ali Abishov,Azerbaijan,Midfielder,31/08/1968
Valeri Abramidze,Georgia,Defender,17/01/1980
Rasim Abushev,Azerbaijan,Midfielder,15/10/1963
Ruslan Abyshov,Azerbaijan,Midfielder,10/10/1987
Georgi Adamia,Georgia,Forward,10/03/1981
Murad Agaev,Azerbaijan,Midfielder,09/02/1993
Emin AÄayev,Azerbaijan,Defender,10/08/1973
Salahat Agayev,Azerbaijan,Goalkeeper,04/01/1991
Tarlan Ahmadov,Azerbaijan,Midfielder,17/11/1971
Ailton,Brazil,Defender,16/03/1995
Rovshan Akhmedov,Azerbaijan,Forward,18/01/1968
Tural Akhundov,Azerbaijan,Midfielder,01/08/1988
Kamal Alakbarov,Azerbaijan,Midfielder,04/03/1978
Samir Alakbarov,Azerbaijan,Forward,08/11/1968
Namiq Alasgarov,Azerbaijan,Midfielder,03/02/1995
Aydin Alekperov,Azerbaijan,Defender,08/11/1968
Achmed Aleskerov,Azerbaijan,Defender,05/10/1935
Alessandro,Brazil,Defender,10/08/1982
Rafik Ali-Zade,Azerbaijan,Forward,19/02/1949
Asadulla Aliev,Azerbaijan,Goalkeeper,22/04/1985
Nail Alishov,Azerbaijan,Goalkeeper,30/07/2000
Marian AliuÅ£Ä,Romania,Midfielder,04/02/1978
Djamalladin Aliyev,Azerbaijan,Goalkeeper,29/01/1960
Mirkamil Aliyev,Azerbaijan,Midfielder,22/04/1996
Nazim Aliyev,Azerbaijan,Forward,05/04/1963
Pasha Aliyev,Azerbaijan,Forward,24/10/1972
Rauf Aliyev,Azerbaijan,Forward,12/02/1989
Samir Aliyev,Azerbaijan,Forward,14/04/1979
Sanan Alizade,Azerbaijan,Goalkeeper,12/11/1996
Slavik Alkhasov,Azerbaijan,Defender,06/02/1993
Elnur Allahverdiyev,Azerbaijan,Defender,02/11/1983
Ilham Allahverdiyev,Azerbaijan,Forward,28/10/1992
Ruslan Amirdzhanov,Azerbaijan,Defender,01/02/1985
AÃ±ete,Spain,Forward,01/10/1985
Arif Asadov,Azerbaijan,Defender,18/08/1970
Elchin Asadov,Azerbaijan,Defender,03/08/1999
Mirza Asadullaev,Azerbaijan,Midfielder,
Vusal Asgarov,Azerbaijan,Midfielder,23/08/2001
Eltay Aslanov,Azerbaijan,Defender,17/03/1972
Valentine Atem,Cameroon,Forward,26/08/1979
Mais Azimov,Azerbaijan,Midfielder,05/07/1972
Rashad Azizli,Azerbaijan,Goalkeeper,01/01/1994
Elvin Badalov,Azerbaijan,Defender,14/06/1995
Emil Balayev,Azerbaijan,Goalkeeper,17/04/1994
Anatoliy Banishevskiy,Azerbaijan,Forward,21/02/1946
Hugo Bargas,Argentina,Forward,22/10/1986
Khalil Bashirov,Azerbaijan,Forward,25/01/2001
Orkhan Bashirov,Azerbaijan,Defender,01/01/1989
Elmar BaxÅiyev,Azerbaijan,Midfielder,03/08/1980
Kamal Bayramov,Azerbaijan,Goalkeeper,19/08/1985
Kamil Bayramov,Azerbaijan,Forward,19/11/1972
Nazar BaÃ½ramow,Turkmenistan,Midfielder,04/09/1982
Sergey Bazulev,Russia,Defender,10/10/1957
Tomasz Bobel,Poland,Goalkeeper,29/12/1974
Vadim BoreÅ£,Moldova,Midfielder,05/09/1976
Slavko BraliÄ,Croatia,Defender,15/12/1992
Bruno,Brazil,Defender,27/04/1990
Omar Buludov,Azerbaijan,Defender,15/12/1998
JosÃ© CabiÃ³n,Chile,Midfielder,14/11/1983
Mike Campaz,Colombia,Midfielder,16/11/1987
NicolÃ¡s Canales,Chile,Forward,27/06/1985
Ali Cansun,Turkey,Forward,18/09/1982
Cardoso,Brazil,Defender,11/09/1984
Ãdson Castillo,Venezuela,Midfielder,18/05/1994
CauÃª,Brazil,Midfielder,24/05/1989
Vyacheslav Chanov,Ukraine,Goalkeeper,23/10/1951
Giorgi Chelidze,Georgia,Forward,24/10/1986
Aleksandr Chertoganov,Azerbaijan,Midfielder,08/02/1980
Shota Chomakhidze,Georgia,Midfielder,17/11/1978
Darko ÄordaÅ¡,Croatia,Midfielder,16/12/1976
Bagaliy Dabo,France,Forward,27/07/1988
Dani Segovia,Spain,Forward,23/05/1985
DÃ¡rio JÃºnior,Brazil,Forward,11/09/1991
Marcho Davchev,Bulgaria,Midfielder,12/05/1978
Denilson,Brazil,Forward,18/07/1995
DÃªnis,Brazil,Defender,28/12/1985
Valeriy Dikarev,Azerbaijan,Defender,10/09/1939
Karim Diniyev,Azerbaijan,Defender,05/09/1993
PÄvels DoroÅ¡evs,Latvia,Goalkeeper,09/10/1980
Pavel Dreksa,Czech Republic,Defender,17/09/1989
Timur Dzhabrailov,Russia,Defender,05/08/1973
Elnur Dzhafarov,Azerbaijan,Forward,28/03/1997
Tarzin Dzhahangirov,Azerbaijan,Midfielder,17/01/1992
Rashad Eyubov,Azerbaijan,Forward,03/12/1992
Flavinho,Brazil,Midfielder,27/07/1983
ZdenÄk Folprecht,Czech Republic,Midfielder,01/07/1991
Khalig Gafarov,Azerbaijan,Goalkeeper,17/02/1960
