Name,Country,Position,Born
Daniele Abbracciante,Italy,Forward,08/04/1994
Giuseppe Abruzzese,Italy,Defender,17/05/1981
Paolo Acerbis,Italy,Goalkeeper,05/05/1981
Paolo Agostini,Italy,Midfielder,31/01/1976
Alessandro Albertini,Italy,Midfielder,25/04/1994
Gabriele Aldegani,Italy,Goalkeeper,10/05/1976
Danilo Alessandro,Italy,Forward,03/08/1988
Luis Alfageme,Argentina,Forward,17/12/1984
Riccardo Allegretti,Italy,Midfielder,15/02/1978
Salvatore Ambrosino,Italy,Midfielder,30/01/1974
Enrico Amore,Italy,Midfielder,17/10/1974
Andrea Amorfini,Italy,Defender,06/09/1995
Luca Anania,Italy,Goalkeeper,21/06/1980
Didier Angan,France,Defender,27/12/1974
Luca Antei,Italy,Defender,19/04/1992
Angelo Antonazzo,Italy,Defender,02/10/1981
Giuseppe Aprea,Italy,Goalkeeper,23/06/1977
Osvaldo Arecco,Italy,Defender,27/01/1955
Yaw Asante,Ghana,Midfielder,18/05/1991
Maurizio Baciocchi,Italy,Forward,11/06/1977
Paolo Baiocco,Italy,Goalkeeper,29/06/1989
Federico Barba,Italy,Defender,01/09/1993
Mirko Barbagli,Italy,Defender,29/12/1982
Emanuele Belardi,Italy,Goalkeeper,09/10/1977
Stefano BellÃ¨,Italy,Forward,24/07/1976
Massimiliano Benucci,Italy,Midfielder,10/11/1998
Alessandro Berardi,Italy,Goalkeeper,16/01/1991
Gino Bernardini,France,Midfielder,21/10/1997
Emanuele Berrettoni,Italy,Forward,17/05/1981
Cristian Bertani,Italy,Forward,14/03/1981
Simone Bezziccheri,Italy,Forward,06/04/1993
Alberto Bianchi,Italy,Defender,16/09/1980
David Bianchini,Italy,Defender,23/07/1971
Gianluigi Bianco,Italy,Defender,11/05/1989
Stefano Bianconi,Italy,Defender,31/12/1968
Nicola Binchi,Italy,Defender,14/12/1976
Davide Biraschi,Italy,Midfielder,02/07/1994
Guido Bistazzoni,Italy,Goalkeeper,12/03/1960
Filippo Boccardi,Italy,Midfielder,04/10/1996
Francesco Bombagi,Italy,Forward,07/09/1989
Massimo Bonanni,Italy,Midfielder,10/06/1982
Renato Bondi,Brazil,Forward,20/03/1981
Carlo Borghi,Italy,Forward,01/01/1958
Andrea Boron,Italy,Defender,29/05/1993
Tommaso Borselli,Italy,Midfielder,08/09/1996
Francesco Bossa,Italy,Defender,26/05/1990
Dario Bova,Italy,Defender,31/03/1984
NicolÃ¡s Bremec,Uruguay,Goalkeeper,17/12/1977
Leonardo Brenci,Italy,Midfielder,09/05/1994
Filippo Breschi,Italy,Midfielder,28/03/1976
Walter Bressan,Italy,Goalkeeper,26/01/1981
GastÃ³n Brugman,Uruguay,Forward,07/09/1992
Matteo Bruscagin,Italy,Defender,03/08/1989
Lorenzo Burzigotti,Italy,Defender,12/03/1987
Daniele Buzzegoli,Italy,Midfielder,07/05/1983
Marco Calderoni,Italy,Defender,18/02/1989
Andrea Callegari,Italy,Forward,01/01/1996
Giacomo Callegari,Italy,Midfielder,26/05/1971
Francesco Cancelli,Italy,Goalkeeper,04/03/1998
Tommaso Cancelloni,Italy,Defender,05/03/1992
Alessandro Caparco,Italy,Goalkeeper,07/09/1983
Andrea Capone,Italy,Forward,08/01/1981
Luigi Cappanera,Italy,Midfielder,06/02/1947
Salvatore Carboni,Italy,Midfielder,11/09/1979
Gaetano Caridi,Italy,Midfielder,22/07/1980
Eddo Carlet,Italy,Defender,20/01/1950
Filippo Carobbio,Italy,Midfielder,15/10/1979
Marco Carparelli,Italy,Forward,04/06/1976
Francesco Carpenetti,Italy,Defender,04/10/1942
Riccardo Casini,Italy,Midfielder,02/02/1992
Rosario Castronovo,Italy,Forward,24/02/1953
Edoardo Catinali,Italy,Midfielder,16/08/1982
Andrea Cecchini,Italy,Midfielder,07/07/1972
Bobi Celeski,North Macedonia,Goalkeeper,10/06/1997
Vedran Celjak,Croatia,Defender,13/08/1991
Massimo Cherubini,Italy,Midfielder,01/04/1945
Bruno Chinellato,Italy,Defender,01/11/1946
Vinicio Ciacci,Italy,Forward,13/07/1947
Massimo Cicconi,Italy,Forward,09/08/1969
Pier Luigi Cignani,Italy,Forward,13/01/1940
Giovanni Cipolla,Italy,Forward,14/08/1974
Filippo Cipriani,Italy,Defender,06/03/1994
Gianluca Clemente,Italy,Defender,15/04/1996
Dario Colombi,Italy,Midfielder,17/10/1993
Luigi Consonni,Italy,Midfielder,07/02/1977
Kewullay Conteh,Sierra Leone,Defender,31/12/1977
Maurizio Coppola,Italy,Midfielder,24/05/1965
NicolÃ¡s CÃ³rdova,Chile,Midfielder,09/02/1979
Eros Corradini,Italy,Goalkeeper,17/02/1989
Francesco Cosenza,Italy,Defender,05/02/1986
Souleymane Coulibaly,Ivory Coast,Forward,26/12/1994
Alessandro Crescenzi,Italy,Defender,25/09/1991
Marco Crimi,Italy,Midfielder,17/03/1990
Csaba Csizmadia,Hungary,Defender,30/05/1985
Davis Curiale,Italy,Forward,30/12/1987
Fiorenzo D'Ainzara,Italy,Forward,23/01/1973
Marco D'Alessandro,Italy,Midfielder,17/02/1991
Vincenzo D'Isanto,Italy,Forward,06/04/1981
Stefano Dall' Acqua,Italy,Forward,13/07/1981
Alessandro Dalmazzi,Italy,Defender,03/08/1994
Tomas DanileviÄius,Lithuania,Forward,18/07/1978
Gianmarco De Feo,Italy,Forward,02/06/1994
Emanuele de Paolis,Italy,Midfielder,
Marino Defendi,Italy,Forward,19/08/1985
Pietro Del Duca,Italy,Defender,28/02/1991
Simone Della Latta,Italy,Midfielder,07/03/1993
Gennaro Delvecchio,Italy,Midfielder,25/03/1978
Giovanni Di Meglio,Italy,Defender,11/04/1975
Stefano Dicuonzo,Italy,Defender,19/09/1985
Emilio Dierna,Italy,Defender,12/02/1987
Arrigo Dolso,Italy,Midfielder,12/11/1946
Giulio Donati,Italy,Defender,05/02/1990
Gianluca Draghetti,Italy,Forward,12/12/1993
Josip Elez,Croatia,Defender,25/04/1994
Massimo Epifani,Italy,Midfielder,19/10/1974
Fabio Ercoli,Italy,Defender,23/07/1971
Mauro Esposito,Italy,Forward,13/06/1979
Simone Esposito,Italy,Midfielder,24/05/1990
Luciano Facchini,Italy,Midfielder,24/11/1957
Vito Falconieri,Italy,Forward,18/06/1986
Marcello Falzerano,Italy,Midfielder,12/04/1991
Orlando Fanasca,Italy,Forward,21/02/1983
Edoardo Fanciulli,Italy,Forward,11/05/1997
Matteo Fasciani,Italy,Defender,04/06/1988
Simone Fautario,Italy,Defender,12/02/1987
Andrea Federici,Italy,Defender,10/09/1977
Daniele Federici,Italy,Defender,11/02/1988
Rolf Feltscher,Venezuela,Defender,06/10/1990
Emanuele Ferraro,Italy,Forward,08/09/1978
Salvatore Ferraro,Italy,Defender,08/09/1983
Andrea Ferretti,Italy,Forward,18/09/1986
Attila Filkor,Hungary,Midfielder,12/07/1988
Mohamed Fofana,France,Forward,07/05/1985
Valerio Foglio,Italy,Defender,09/02/1985
Giovanni Formiconi,Italy,Defender,14/12/1989
Nunzio Franza,Italy,Goalkeeper,24/06/1993
