Name,Country,Position,Born
Noah Aelterman,Belgium,Forward,07/04/2001
Eric Appiah,Ghana,Forward,08/05/2001
Samuel Asoma,Belgium,Midfielder,15/07/2002
Lynnt Audoor,Belgium,Midfielder,13/10/2003
Sem Audoor,Belgium,Defender,13/10/2003
Thibo Baeten,Belgium,Forward,04/06/2002
Brandon Baiye,Belgium,Midfielder,27/12/2000
Samir Belasfar,Belgium,Forward,13/06/1997
Oussayd Belkouch,Morocco,Goalkeeper,15/01/1996
Gunnlaugur Birgisson,Iceland,Forward,04/06/1995
Xander Blomme,Belgium,Defender,21/06/2002
Boli Bolingoli-Mbombo,Belgium,Defender,01/07/1995
Hakim Borahsasar,Belgium,Forward,14/01/1995
Jordan Botaka,Congo DR,Forward,24/06/1993
Younes Boudadi,Morocco,Defender,23/01/1996
Abdoul Camara,Belgium,Forward,21/01/2004
Milan Cambier,Belgium,Forward,16/01/2000
Rudy Chirishungu,Belgium,Midfielder,10/03/1992
Salvatore Ciulla,Belgium,Goalkeeper,30/05/2001
Guillaume Clinckemaillie,Belgium,Midfielder,07/10/1990
Michiel Clyncke,Belgium,Forward,11/02/1994
Gust Collette,Belgium,Defender,17/01/2002
Sven Cornette,Belgium,Defender,17/02/1999
Dylan de Bruycker,Belgium,Midfielder,05/12/1997
Wout De Buyser,Belgium,Defender,29/06/2001
Maxim De Cuyper,Belgium,Defender,22/12/2000
Brian De Keersmaecker,Belgium,Midfielder,06/05/2000
Charles De Ketelaere,Belgium,Midfielder,10/03/2001
Rik De Kuyffer,Belgium,Forward,15/03/1999
Jarno De Smet,Belgium,Goalkeeper,05/02/1999
Bjarne de Vreeze,Netherlands,Midfielder,25/08/1996
Mathias De Wolf,Belgium,Midfielder,21/02/2002
Louis Declerck,Belgium,Forward,10/05/1999
Lars Dendoncker,Belgium,Defender,03/04/2001
Tarik El Boutaibe,Belgium,Forward,31/01/2003
Alexander Embrechts,Belgium,Defender,23/08/1995
Arne Engels,Belgium,Midfielder,08/09/2003
Karim Essikal,Morocco,Midfielder,08/02/1996
Noah Fadiga,Senegal,Midfielder,03/12/1999
Nathan Fuakala,France,Defender,13/03/2001
Brent GabriÃ«l,Belgium,Goalkeeper,27/01/1999
Robbe Gheerardyns,Belgium,Forward,29/04/2002
Onur GÃ¼rler,Belgium,Defender,25/03/1999
Lennert Hallaert,Belgium,Forward,17/04/2003
Singa Ito,Belgium,Midfielder,27/03/1998
Christophe Janssens,Belgium,Defender,09/03/1998
Soufiane Karkache,Belgium,Defender,02/07/1999
Odilon Kossounou,Ivory Coast,Defender,04/01/2001
Mateusz KuÅºmicki,Poland,Defender,08/03/1993
Senne Lammens,Belgium,Goalkeeper,07/07/2002
Gabriel Lemoine,Belgium,Forward,26/03/2001
Laurent Lemoine,Belgium,Defender,24/04/1998
Bram Leroy,Belgium,Midfielder,27/05/1993
Gauthier Libbrecht,Belgium,Defender,09/03/1994
Senne Lynen,Belgium,Midfielder,19/02/1999
Kensau Masangu,Belgium,Defender,09/02/1998
Isaac Matondo Kwanzambi,Belgium,Midfielder,24/04/2000
Justin Munezero,Belgium,Defender,24/04/2001
Cyril Ngonge,Belgium,Forward,26/05/2000
Nathan Nuyts,Belgium,Defender,06/02/1998
Wilkims Ochieng,Kenya,Forward,15/02/2003
LoÃ¯s Openda,Belgium,Forward,16/02/2000
Terry Osei-Berkoe,Belgium,Forward,09/01/1998
Obbi OularÃ©,Belgium,Forward,08/01/1996
Simon Paulet,Belgium,Midfielder,15/02/2000
Daouda Peeters,Belgium,Midfielder,26/01/1999
Anthony Pulcinelli,Belgium,Midfielder,10/02/1995
Christiaan Ravych,Belgium,Midfielder,30/07/2002
Yannick Reuten,Belgium,Midfielder,09/05/1995
Faycal Rherras,Morocco,Defender,07/04/1993
Cisse Sandra,Belgium,Midfielder,16/12/2003
Brendan Schoonbaert,Belgium,Defender,09/05/2000
Jur Schryvers,Belgium,Forward,11/03/1997
Dogan Serttas,Turkey,Midfielder,01/02/1996
Visar Shala,Belgium,Midfielder,09/04/2000
Nick Shinton,Belgium,Goalkeeper,10/05/2001
Quintijn Steelant,Belgium,Goalkeeper,30/01/1997
Yari Stevens,Belgium,Defender,18/12/2003
Nikola Storm,Belgium,Forward,30/09/1994
Anthony Swolfs,Belgium,Goalkeeper,25/11/1997
Maxime Tahara,Belgium,Midfielder,21/01/2002
Anton Tanghe,Belgium,Midfielder,28/01/1999
Jens Teunckens,Belgium,Goalkeeper,30/01/1998
Ahmed Touba,Belgium,Defender,13/03/1998
Adnan Ugur,Belgium,Midfielder,28/06/2001
Jules Van Bost,Belgium,Defender,24/01/2003
Dario Van Den Buijs,Belgium,Defender,12/09/1995
Thomas Van Den Keybus,Belgium,Midfielder,25/04/2001
Ignace Van Der Brempt,Belgium,Defender,01/04/2002
Dean Van Droogenbroeck,Belgium,Defender,20/01/2000
Jellert Van Landschoot,Belgium,Midfielder,27/08/1997
Ben Van Lommel,Belgium,Goalkeeper,28/04/2003
Darko Van Rie,Belgium,Goalkeeper,09/03/2002
Yannis Van Rumst,Belgium,Defender,19/05/2002
Dennis Van Vaerenbergh,Belgium,Forward,26/06/1998
Jaan Van Wildemeersch,Belgium,Midfielder,13/06/1993
Milan Vanacker,Belgium,Midfielder,12/07/2001
Jules Vanhaecke,Belgium,Forward,17/03/1999
Keano Vanrafelghem,Belgium,Forward,02/08/2003
Floriano Vanzo,Belgium,Forward,22/04/1994
Niels Verburgh,Belgium,Defender,31/01/1998
Jarno Vervaque,Belgium,Midfielder,29/06/2000
Thibault Vlietinck,Belgium,Forward,19/08/1997
Siemen Voet,Belgium,Defender,03/02/2000
Lukas Willen,Belgium,Midfielder,25/04/2003
