Name,Country,Position,Born
LoÃ¯c Abenzoar,France,Defender,14/02/1989
Antoine Abrassart,France,Defender,05/09/1987
Brandon Agounon,France,Defender,19/10/1994
Ismael Amari,France,Midfielder,15/02/1983
Thomas Antoinat,France,Defender,12/12/1983
Aparicio,Portugal,Forward,15/09/1958
Remy Arriola,France,Defender,12/04/1985
SÃ©bastien Atlan,France,Defender,14/11/1984
Paul Babiloni,France,Defender,16/01/1990
AurÃ©lien Badin,France,Defender,11/04/1988
Karim Bah,Morocco,Forward,30/04/1986
Mehdi Bantiti,France,Midfielder,03/10/1979
Nicolas Barbosa,France,Midfielder,26/07/1983
Thibaut Barthomeuf,France,Defender,17/03/1991
Sami Belkorchia,France,Defender,25/01/1995
Yann Benedick,France,Forward,01/02/1992
Hassan Benkajjane,France,Forward,17/09/1981
KÃ©vin Berdier,France,Midfielder,27/02/1986
Mickael Berrut,France,Defender,26/06/1986
Arnaud Bettiol,France,Midfielder,30/12/1988
Maxime Blanc,France,Midfielder,23/01/1992
RÃ©mi Bonenfant,France,Defender,24/02/1989
FranÃ§ois Borgniet,France,Midfielder,02/08/1990
Boris Boudrandi,France,Forward,16/06/1988
Gary Bourhis,France,Midfielder,15/08/1988
Christophe Bouteiller,France,Midfielder,30/12/1976
Jeffrey Bugnet,France,Defender,30/07/1992
Ãmer Bulur,France,Forward,02/01/1995
Nicolas Burel,France,Forward,06/06/1988
ClÃ©ment Cabaton,France,Defender,06/06/1996
Dimitry Caloin,France,Midfielder,08/05/1990
Amara Camara,France,Forward,
Lucas Camelo,France,Midfielder,07/02/1999
Quentin Canales,France,Midfielder,26/11/1997
Lucas Caruso,France,Goalkeeper,04/11/1998
Anthony Castillo,France,Defender,18/01/1982
Christian Chabot,France,Defender,07/05/1974
Yves Chauveau,France,Goalkeeper,14/04/1945
Sylvain Chavrondier,France,Defender,24/02/1977
Anthony Chazal,France,Midfielder,20/01/1980
Kamar Cherrad,France,Forward,08/05/1974
CÃ©dric Chevalier,France,Defender,12/01/1988
RaphaÃ«l Chiefari,France,Defender,
Alpaslan Comert,France,Forward,23/03/1985
Romain CrÃ©tin,France,Goalkeeper,20/02/1986
Patrick Crolle,France,Midfielder,01/08/1947
Ottman Dadoune,France,Forward,26/07/1994
FrÃ©dÃ©ric Dally,France,Defender,15/11/1971
Arnaud Darbon,France,Goalkeeper,24/04/1996
Yann De Sousa,France,Forward,11/10/1985
Romain Dedola,France,Midfielder,02/01/1989
Didier Derigon,France,Forward,05/01/1958
Inza Diarrassouba,France,Defender,03/08/1990
Gent Dinaj,Kosovo,Forward,30/03/1998
Sidy Diop,France,Defender,09/11/1982
Souleiman Djabour,France,Forward,02/10/1988
Rodrigo Dos Santos,France,Forward,
Gilles Doucende,France,Midfielder,06/01/1977
MickaÃ«l Dumas,France,Midfielder,23/08/1989
Jean-Christophe Durand,France,Midfielder,28/07/1980
Charly Dutournier,France,Midfielder,15/05/1994
Victor Dutreive,France,Forward,05/03/1997
Renaud El Atmani,France,Midfielder,22/05/1983
Soner Ertek,France,Defender,09/02/1985
PÃ¯erre Ertel,France,Defender,28/05/1995
Mohamed Fannan,France,Defender,
Brian Feneuil,France,Forward,27/05/1996
Jean-Louis Fernandez,France,Midfielder,17/07/1973
Antoine-Denis Ferrigno,France,Forward,13/11/1958
Mathias Fischer,France,Defender,11/07/1998
Nicolas FlÃ©geau,France,Defender,06/09/1985
Julien Fostier,France,Midfielder,27/08/1990
Etienne Fournier,France,Forward,19/10/1989
Antoine Garcia,France,Goalkeeper,31/01/1994
