Name,Country,Position,Born
Georgios Afratis,Greece,Defender,20/10/1995
Antonis Anastasiou,Greece,Defender,13/09/1996
Paraskevas Andralas,Greece,Defender,02/12/1978
Manolis Apostolidis,Greece,Goalkeeper,17/12/1983
Konstantinos Apostolopoulos,Greece,Forward,08/07/1993
Georgios Aronis,Greece,Midfielder,22/02/1995
Alexandros Bekatoros,Greece,Midfielder,10/11/1994
Nikola BeljiÄ,Serbia,Midfielder,14/05/1983
Argyris Brebos,Greece,Forward,24/09/1996
Aristomenios Charalampopoulos,Greece,Defender,20/05/1993
Anastasios Christofileas,Greece,Defender,21/12/1988
Dimitrios Dagras,Greece,Forward,04/09/1995
Ismael Dunga,Kenya,Forward,24/02/1993
Edgar Marcelino,Portugal,Midfielder,10/09/1984
Paolo Farinola,Greece,Forward,22/02/1984
Walter Figueira,England,Forward,17/03/1995
Dean Gardikiotis,Australia,Goalkeeper,09/09/1994
Konstantinos Georgakopoulos,Greece,Defender,24/02/1999
Marios Georgopoulos,Greece,Forward,09/02/1999
Giannis Grammatikas,Greece,Defender,25/07/1997
Dimitar Iliev,Bulgaria,Defender,27/07/1986
Marios Ioakimidis,Greece,Defender,10/11/1995
Vassilis Ioannidis,Greece,Defender,30/11/1990
Tarek Jaziri,Tunisia,Midfielder,31/01/1990
Jefferson MaranhÃ£o,Brazil,Midfielder,06/08/1993
Giorgos Kalamiotis,Greece,Defender,25/02/1996
Dimitrios Kalogerakos,Greece,Goalkeeper,07/06/1996
Georgios Kanavetas,Greece,Forward,05/07/1996
Angelos Karantasiadis,Greece,Defender,10/12/1992
Dimitrios Kardasis,Greece,Defender,16/05/1998
Vasilios Karvounidis,Greece,Midfielder,28/02/1997
Tryfon Kazviropoulos,Greece,Forward,21/09/1996
Evgenios Kitsas,Greece,Forward,12/08/1982
Ioannis Kostopoulos,Greece,Defender,01/06/1987
Giannis Kyriazopoulos,Greece,Defender,04/11/1998
Theodoros Lampiris,Greece,Goalkeeper,13/04/1997
Giorgios Lyras,Greece,Forward,23/06/1994
Michalis Maris,Greece,Midfielder,04/05/1988
Marko dos Santos,Brazil,Forward,18/05/1981
Lefteris Matsoukas,Greece,Forward,07/03/1990
Adrianos Megaloikonomou,Greece,Defender,07/06/1998
Nikolaos Mentis,Greece,Defender,14/10/1995
Andrea Mezini,Albania,Forward,01/05/1997
Nikolaos Milios,Greece,Forward,01/08/1995
Vasilios Miliotis,Greece,Midfielder,29/02/1996
Nikos Moustakis,Greece,Defender,04/05/1990
Konstantinos Neofytos,Greece,Forward,04/11/1989
Nemanja ObradoviÄ,Serbia,Forward,29/05/1989
Hillary Ola Ezumezu,Nigeria,Forward,20/11/1994
Athanasios Pantos,Greece,Goalkeeper,09/10/1998
Michalis Papanikolas,Greece,Defender,28/03/1993
Antonis Papasavvas,Greece,Midfielder,20/03/1995
Spyridon Papaspyros,Greece,Midfielder,23/01/1996
Charalampos Papathanasiou,Greece,Midfielder,13/02/1995
Athanasios Papatolios,Greece,Midfielder,14/07/1994
Christos Paschos,Greece,Midfielder,04/07/1995
Marko PaviÄeviÄ,Serbia,Forward,03/09/1986
Panagiotis Plavoukos,Greece,Forward,21/10/1994
Ilias Polimos,Greece,Defender,01/09/1995
Stergios Psianos,Greece,Midfielder,12/09/1989
Damianos Psichos,Greece,Goalkeeper,08/06/1993
Pureza,Brazil,Defender,05/05/1992
Athanasios Repetsas,Greece,Defender,16/10/1983
Angelos Siannis,Greece,Forward,01/04/1992
Giannis Sotirakos,Greece,Defender,19/01/1995
Fotis Stamatopoulos,Greece,Goalkeeper,22/04/1998
Dimitris Stamoulis,Greece,Midfielder,15/01/1995
Giannis Toptidis,Greece,Forward,20/10/1998
Georgios Touglis,Greece,Defender,04/02/1996
Georgios Tsalikidis,Greece,Midfielder,27/10/1999
Alexandros Tsemperidis,Greece,Midfielder,26/07/1986
Vasilios Tsevas,Greece,Forward,27/05/1995
Vangelis Tsiamis,Greece,Defender,14/07/1991
Christoforos Tsouvaltsidis,Greece,Midfielder,11/02/1993
Nikos Tzanetos,Greece,Defender,21/09/1997
Marios Tzanoulinos,Greece,Defender,15/04/1996
Christos Tzioras,Greece,Forward,05/10/1988
Angelos Vertzos,Greece,Defender,27/05/1983
Paul Were,Kenya,Midfielder,08/01/1991
Vangelis Xagoraris,Greece,Forward,07/02/1995
Lambros Zacharos,Greece,Midfielder,06/06/1998
Alexandros Zafirakis,Greece,Forward,14/06/1996
