Name,Country,Position,Born
David Abshilava,Georgia,Defender,03/03/1985
Amiran Abuselidze,Georgia,Midfielder,16/03/1993
Mikheil Alavidze,Georgia,Goalkeeper,05/11/1987
Shalva Aphazava,Georgia,Forward,14/08/1980
Zurab Archvadze,Georgia,Defender,30/07/1972
Malkhaz Arziani,Georgia,Midfielder,15/08/1964
Nikoloz Ashba,Georgia,Midfielder,14/01/1996
Shota Babunashvili,Georgia,Midfielder,17/11/1980
Archil Bajelidze,Georgia,Defender,07/04/1986
Aslan Baladze,Georgia,Goalkeeper,05/06/1960
Paata Baladze,Georgia,Midfielder,18/09/1991
Aleko Batsikadze,Georgia,Forward,30/01/1990
Georgi Beriashvili,Georgia,Forward,10/09/1986
Tornike Beridze,Georgia,Midfielder,11/02/1990
Geno Bezhanidze,Georgia,Midfielder,16/11/1984
Melori Bigvava,Georgia,Forward,17/01/1963
Grigol Chanturia,Georgia,Goalkeeper,25/09/1973
Romani Chanturia,Georgia,Forward,09/02/1996
Revaz Chelebadze,Georgia,Forward,02/10/1955
Giorgi Chelidze,Georgia,Forward,24/10/1986
Zaza Chelidze,Georgia,Midfielder,12/01/1987
David Chichveishvili,Georgia,Defender,23/01/1975
Gocha Chikovani,Georgia,Defender,12/10/1962
Besik Chimakadze,Georgia,Forward,24/06/1988
Irakli Chirikashvili,Georgia,Midfielder,01/10/1987
Gia Chkhaidze,Georgia,Defender,27/02/1970
Gaga Chkhetiani,Georgia,Forward,24/06/1983
Temur Chogadze,Georgia,Forward,05/05/1998
Jumber Chukhua,Georgia,Defender,10/10/1974
Thierry Clovis,Ivory Coast,Forward,15/08/1993
Vitali Daraselia,Georgia,Midfielder,27/09/1978
Vitali Darchidze,Georgia,Forward,23/09/1981
Davit Datvadze,Georgia,Midfielder,09/07/1977
Besik Demuradze,Georgia,Midfielder,19/09/1986
Nika Diasamidze,Georgia,Midfielder,02/09/1994
Zurab Dumbaze,Georgia,Defender,24/05/1984
Gocha Dzhokhadze,Georgia,Midfielder,15/12/1959
Zurab Ekonia,Georgia,Defender,06/07/1984
Pyotr Filippov,Russia,Midfielder,21/09/1893
Flamarion,Brazil,Midfielder,30/07/1996
Giorgi Gabedava,Georgia,Forward,03/10/1989
Temur Gadelia,Georgia,Midfielder,12/02/1974
Giorgi Gadrani,Georgia,Defender,30/09/1994
David Galogre,Georgia,Defender,09/01/1982
Giorgi Gavashelishvili,Georgia,Defender,31/10/1989
Avtandil Ghlonti,Georgia,Midfielder,19/03/1974
Gela Gogitidze,Georgia,Defender,25/11/1990
David Gogoladze,Georgia,Forward,24/09/1979
Boris Goncharov,Georgia,Forward,08/07/1979
Mikhail Gorelishvili,Russia,Midfielder,29/05/1993
Elguja Grigalashvili,Georgia,Midfielder,30/12/1989
Soso Grishikashvili,Georgia,Goalkeeper,25/12/1973
Aleksander Guruli,Georgia,Midfielder,09/11/1985
Gia Guruli,Georgia,Forward,20/05/1964
Davit Gvaramadze,Georgia,Goalkeeper,08/11/1975
Arkadi Harutyunyan,Azerbaijan,Defender,20/12/1948
Giorgi Iluridze,Georgia,Forward,20/02/1992
Ramaz Jabnidze,Georgia,Forward,25/11/1979
Davit Janashia,Georgia,Forward,07/08/1972
Gizo Jeladze,Georgia,Midfielder,17/05/1975
David Jincharadze,Georgia,Forward,
Mikheil Jishkariani,Georgia,Forward,01/11/1969
Mikheil Jorbenadze,Georgia,Midfielder,18/11/1987
Giorgi Kachkachishvili,Georgia,Defender,08/08/1990
Mikheil Kakaladze,Georgia,Forward,06/06/1982
Nukri Kakilashvili,Georgia,Midfielder,25/08/1960
Davit Kakulia,Georgia,Midfielder,05/01/1991
Aleko Kantidze,Georgia,Midfielder,15/09/1968
Giorgi Kavtaradze,Georgia,Midfielder,01/01/1989
Gegi Kekua,Georgia,Midfielder,23/12/1995
Avto Kharazi,Georgia,Forward,
Nodar Khizanishvili,Georgia,Defender,31/01/1953
Leri Khokhonishvili,Georgia,Defender,15/11/1987
Beta Khubua,Georgia,Midfielder,05/01/1995
Shalva Khujadze,Georgia,Midfielder,10/05/1975
Nika Khukhia,Georgia,Defender,31/08/1988
Erekle Kiladze,Georgia,Midfielder,11/01/1990
Mikheil Kobuladze,Georgia,Defender,07/09/1974
Nikola Komazec,Serbia,Forward,15/11/1987
Gela Koridze,Georgia,Midfielder,22/08/1973
Vakhtang Koridze,Georgia,Midfielder,24/12/1949
Vasha Koridze,Georgia,Defender,05/01/1987
Aleksandre Koshkadze,Georgia,Midfielder,04/12/1981
Gocha Kulejishvili,Georgia,Forward,16/12/1973
Vasil Kunchulia,Georgia,Midfielder,24/03/1983
Zviad Kutateladze,Georgia,Forward,01/08/1979
Zurab Kvachakhia,Georgia,Goalkeeper,25/09/1973
Nika Kvantaliani,Georgia,Forward,06/02/1998
Vakhtang Kvaratskhelia,Georgia,Forward,30/05/1988
Jaroslav Kvasov,Ukraine,Forward,05/03/1992
Irakli Kvekveskiri,Georgia,Midfielder,12/03/1990
Dato Kvirkvelia,Georgia,Defender,27/06/1980
Elguja Lobjanidze,Georgia,Forward,17/09/1992
Ucha Lobjanidze,Georgia,Defender,23/02/1987
Zviad Lobzhanidze,Georgia,Midfielder,27/02/1987
Mamuka Lomidze,Georgia,Defender,16/06/1984
Paata Machutadze,Georgia,Forward,21/04/1968
Karen Makaryan,Georgia,Defender,03/03/1988
David Makatsaria,Georgia,Midfielder,24/12/1971
Tamaz Makatsaria,Georgia,Forward,03/10/1995
Boris Makharadze,Georgia,Midfielder,08/11/1990
Dato Makharadze,Georgia,Forward,10/11/1965
Kakha Makharadze,Georgia,Midfielder,20/10/1987
Makho Makharadze,Georgia,Midfielder,02/03/1963
Vano Makharadze,Georgia,Defender,30/04/1970
Mikheil Makhviladze,Georgia,Defender,22/07/1978
Soso Malania,Georgia,Midfielder,26/09/1964
Shota Maminashvili,Georgia,Goalkeeper,30/08/1986
Giorgi Mantskava,Georgia,Midfielder,25/10/1981
Lazar MarjanoviÄ,Serbia,Midfielder,08/09/1989
Otari Martsvaladze,Georgia,Forward,14/07/1984
Mikheil Meskhi,Georgia,Forward,30/10/1961
Nica Mgeladze,Georgia,Defender,20/12/1985
Marko MihajloviÄ,Bosnia-Herzegovina,Defender,20/08/1987
Giorgi Mikadze,Russia,Forward,21/03/1980
Zurab Mindadze,Georgia,Defender,13/01/1972
Giorgi Modebadze,Georgia,Forward,27/03/1983
Amiran Mujiri,Georgia,Midfielder,20/02/1974
Kakha Mzhavanadze,Georgia,Defender,02/10/1978
Irakli Nachkebia,Georgia,Midfielder,29/10/1986
Nika Nasuashvili,Georgia,Midfielder,20/03/1991
Teimuraz Nemsadze,Georgia,Midfielder,16/11/1984
Giorgi Nergadze,Georgia,Defender,20/08/1982
Giorgi Okruashvili,Georgia,Midfielder,12/06/1986
Georgi Oniani,Georgia,Defender,23/11/1983
Roin Oniani,Georgia,Midfielder,14/02/1975
Zviad Papidze,Georgia,Defender,22/04/1973
Dimitri Paramonovi,Georgia,Forward,07/08/1981
Archil Partenadze,Georgia,Forward,
