Name,Country,Position,Born
Tim Ackermann,Germany,Goalkeeper,23/11/1988
Adrian Ademi,Germany,Forward,18/02/1993
Isaac Akyere,Germany,Midfielder,15/11/1990
Sami Allagui,Tunisia,Forward,28/05/1986
Luis Allmeroth,Germany,Defender,09/02/1999
Kodjo Amesse,Germany,Forward,19/02/2001
Patrick Amrhein,Germany,Midfielder,20/10/1989
Uwe Amstein,Germany,Defender,20/08/1967
Marc Andris,Germany,Midfielder,15/03/1994
Tobias Antoni,Germany,Goalkeeper,18/07/1990
David Arnold,Germany,Forward,17/08/1989
Rafail Asbuchanow,Germany,Forward,25/01/1989
Ralf Asmus,Germany,Midfielder,17/07/1963
Wladimir Babaew,Russia,Defender,06/06/1996
Danny Bach,Germany,Defender,31/01/1973
Revaz Barabadze,Georgia,Forward,04/10/1988
Daniel Barth,Germany,Forward,30/12/1993
Tommy Barth,Germany,Midfielder,11/01/1997
Uwe BartholmÃ©,Germany,Defender,15/09/1971
Sven Baum,Germany,Midfielder,20/10/1968
Stefan Beckert,Germany,Defender,03/05/1982
Clemens Berg,Germany,Midfielder,19/11/2000
Andreas Bickel,Germany,Midfielder,25/09/1965
Alexandros Bitoulas,Germany,Goalkeeper,22/12/1998
Wolfgang Blochwitz,Germany,Goalkeeper,08/02/1941
HervÃ© Bochud,Switzerland,Defender,15/11/1980
Dominik Bock,Germany,Midfielder,20/01/1995
Fritz Bodien,Germany,Defender,29/10/1999
Stefan BÃ¶ger,Germany,Midfielder,01/06/1966
Mathis BÃ¶hler,Germany,Forward,27/11/1995
JÃ¶rg BÃ¶hme,Germany,Midfielder,22/01/1974
Konrad Bosse,Germany,Forward,19/10/1991
Steven Braunsdorf,Germany,Goalkeeper,24/01/1992
Yves Brinkmann,Germany,Midfielder,22/07/1992
Florian Brost,Germany,Midfielder,05/11/1998
Matthias BrÃ¼ckner,Germany,Defender,21/04/1960
Gerd Brunner,Germany,Defender,29/11/1947
Henning BÃ¼rger,Germany,Defender,16/12/1969
Luca BÃ¼rger,Germany,Midfielder,25/07/1996
JÃ¶rg Burow,Germany,Midfielder,30/03/1961
Uwe Burow,Germany,Defender,23/06/1962
BÃ©di Buval,France,Forward,16/06/1986
Tim Cellarius,Germany,Defender,16/01/1995
Jo Coppens,Belgium,Goalkeeper,21/12/1990
Dusan Crnomut,Serbia,Midfielder,22/05/1996
Guillaume Cros,France,Defender,19/04/1995
Artem Cygankov,Germany,Midfielder,11/03/1998
Patrick de Napoli,Switzerland,Forward,17/11/1975
Alexios Dedidis,Grenada,Goalkeeper,05/07/2001
Vasilios Dedidis,Germany,Forward,10/01/2000
Florian Dietz,Germany,Forward,03/08/1998
Bozhidar Dimitrov,Bosnia-Herzegovina,Midfielder,06/05/1994
Andreas DÃ¶ll,Germany,Defender,09/08/1963
Andreas Drechsler,Germany,Goalkeeper,24/08/1962
Roland Ducke,Germany,Forward,19/11/1934
Martin Dwars,Germany,Goalkeeper,17/12/1987
RenÃ© Eckardt,Germany,Midfielder,22/02/1990
Heiko Egerland,Germany,Defender,16/10/1968
Dominik Eggemann,Germany,Forward,04/03/1989
Tom Eichberger,Germany,Defender,01/03/1996
SÃ¶ren Eismann,Germany,Midfielder,28/06/1988
Mohammed el Berkani,Morocco,Forward,13/12/1982
Nils Ellenfeld,Germany,Goalkeeper,22/06/2000
Joram Erbarth,Germany,Forward,04/10/1999
Pardis Fardjad-Azad,Azerbaijan,Forward,12/04/1988
Pierre Fassnacht,Germany,Defender,26/01/1996
Tom Feulner,Germany,Midfielder,13/03/1998
Niclas Fiedler,Germany,Defender,07/03/1998
Dirk Fleischer,Germany,Defender,
Nick FÃ¶rster,Germany,Midfielder,02/04/1999
Davy Frick,Germany,Midfielder,05/04/1990
Harald Fritzsche,Germany,Goalkeeper,10/09/1937
Christian FrÃ¶hlich,Germany,Midfielder,27/10/1977
Paul Fromm,Germany,Defender,25/09/2000
Lars Fuchs,Germany,Forward,21/06/1983
Benjamin FuÃ,Germany,Defender,28/06/1990
Rico Gauch,Germany,Forward,21/01/1969
Markus Gauder,Germany,Defender,29/08/1983
Justin Gerlach,Germany,Defender,02/02/1990
Thomas Gerold,Germany,Forward,16/05/1968
Florian Giebel,Germany,Defender,16/06/1994
Thomas Gobel,Germany,Midfielder,18/04/1967
Udo Gobel,Germany,Defender,18/04/1967
Martin Goebel,Germany,Forward,11/03/1953
Ulrich GÃ¶hr,Germany,Defender,24/03/1953
Andrey Gotfrit,Russia,Forward,24/04/1997
Max Gottwald,Germany,Defender,13/09/2000
Christoph Grabinski,Germany,Defender,12/03/1990
Hans-Ulrich Grapenthin,Germany,Goalkeeper,02/09/1943
Christopher Griebsch,Germany,Midfielder,11/05/1990
Marius GrÃ¶sch,Germany,Defender,07/03/1994
Tom GrÃ¼ndig,Germany,Midfielder,23/01/1998
Mathias GrÃ¼ner,Germany,Defender,13/12/1954
Paul Grzega,Germany,Midfielder,25/04/1998
Harro GÃ¼nther,Germany,Defender,03/12/1952
Jens GÃ¼nther,Germany,Forward,16/09/1966
Julian GÃ¼nther-Schmidt,Germany,Forward,13/09/1994
Sercan GÃ¼venÄ±ÅÄ±k,Turkey,Forward,01/03/1980
Christoph Haase,Germany,Goalkeeper,13/08/1988
Markus Hacker,Germany,Forward,16/01/1980
Nils Halbauer,Germany,Defender,09/02/1999
Niels Hansen,Germany,Midfielder,25/07/1983
Robert HÃ¤ring,Germany,Midfielder,01/01/1990
Karsten HÃ¤rtel,Germany,Goalkeeper,04/04/1961
Holger Hasse,Germany,Defender,15/03/1978
Andy Haupt,Germany,Defender,12/03/1995
Christian Hauser,Germany,Midfielder,13/01/1976
Gary HÃ¤uÃler,Germany,Defender,06/05/1991
Rene Heger,Germany,Midfielder,10/08/1987
Sebastian Heidel,Germany,Midfielder,25/05/1989
Sebastian Helbig,Germany,Forward,25/04/1977
Dirk Hempel,Germany,Midfielder,12/09/1973
Matthias Henze,Germany,Defender,09/10/1987
Heinz Hergert,Germany,Defender,06/12/1936
Jago Heublein,Germany,Midfielder,01/03/2001
Raik Hildebrandt,Germany,Midfielder,09/03/1986
Florian Hoffmann,Germany,Forward,01/08/1995
Marcus Hoffmann,Germany,Defender,12/10/1987
Olaf Holetschek,Germany,Midfielder,12/07/1968
Felix Holzner,Germany,Midfielder,04/06/1985
Gerhardt Hoppe,Germany,Midfielder,03/08/1950
Younes Itri,Germany,Goalkeeper,11/02/1991
Mohamad Jaddoua,Syria,Forward,05/01/1998
Niklas Jahn,Germany,Forward,19/01/2001
Denis JÃ¤pel,Germany,Forward,26/05/1998
Leart Jasiqi,Germany,Defender,09/03/2001
Petar JeliÄ,Bosnia-Herzegovina,Forward,18/10/1986
Kasper Jensen,Denmark,Goalkeeper,07/10/1982
Miroslav JoviÄ,Serbia,Forward,25/03/1971
Michael Junker,Germany,Midfielder,02/09/1968
Toni Juraschek,Germany,Forward,06/11/1986
Nicola JÃ¼rgens,Germany,Midfielder,13/06/1998
Norbert Kahnt,Germany,Defender,03/10/1961
Marco KÃ¤mpfe,Germany,Midfielder,16/11/1971
Stefan Kaschuba,Germany,Defender,10/05/1974
Ole KÃ¤uper,Germany,Midfielder,09/01/1997
Andreas Keil,Germany,Midfielder,10/11/1985
Horst Kiesewetter,Germany,Defender,17/01/1946
Tim KieÃling,Germany,Defender,29/11/1998
Horst Kirsch,Germany,Forward,24/08/1933
RenÃ© Kirsten,Germany,Defender,29/08/1985
Carsten Klee,Germany,Forward,15/09/1970
Christoph Klippel,Germany,Defender,02/11/1986
Domenic Knoll,Germany,Midfielder,25/06/1997
Alexander KÃ¶cher,Germany,Midfielder,20/09/1974
RafaÅ Koczor,Germany,Goalkeeper,17/01/1989
Richard Kolitsch,Germany,Midfielder,24/10/1989
Krzysztof Kowalik,Poland,Defender,28/12/1971
Tom Krahnert,Germany,Midfielder,30/06/1997
Daniel Kraus,Germany,Goalkeeper,11/05/1984
