Name,Country,Position,Born
Hans-Georg Arndt,Germany,Forward,15/04/1960
Heinz Bartels,Germany,Midfielder,08/01/1951
Manfred Bartels,Germany,Midfielder,12/02/1960
Bernard Baruti,Albania,Forward,14/07/1997
Sydney Bazonzila,Germany,Defender,22/06/1994
Rainer Behrends,Germany,Defender,11/10/1951
Nico Behrendt,Germany,Midfielder,01/11/1989
Rolf Behrens,Germany,Defender,26/04/1948
Aykutalp Beser,Germany,Midfielder,26/02/1992
Ferhat BÄ±kmaz,Turkey,Midfielder,06/07/1988
Helmut Blieske,Germany,Midfielder,01/02/1945
Felipe-Marcel BÃ¶ttcher,Germany,Midfielder,
Holger BrÃ¼ggmann,Germany,Midfielder,25/02/1956
BÃ¼ter,Germany,Forward,
Mohammed Chahrour,Germany,Midfielder,06/02/1993
Yilmaz Dag,Turkey,Defender,29/09/1981
C. Diers,Germany,Defender,
Volker Diers,Germany,Forward,15/03/1958
Reinhard Dittel,Germany,Goalkeeper,24/01/1949
Alexander Dlugaiczyk,Germany,Goalkeeper,17/02/1983
Kriseld Doko,Albania,Midfielder,22/02/1996
Fabian Ernst,Germany,Midfielder,30/05/1979
Florian Frercks,Germany,Defender,30/06/1987
Peter Fuchs,Germany,Midfielder,09/03/1955
Gerd FÃ¼llkrug,Germany,Forward,18/05/1950
Detlef Gerland,Germany,Midfielder,30/12/1957
Grefe,Germany,Forward,
Michael Habryka,Germany,Midfielder,06/04/1982
Wolfgang Heinrichsen,Germany,Midfielder,10/02/1951
JÃ¶rg Hellmann,Germany,Midfielder,06/08/1944
Bodo Henning,Germany,Forward,30/09/1945
Karl-August Herbeck,Germany,Midfielder,24/09/1951
Volker Hintze,Germany,Goalkeeper,29/06/1952
Aljoscha Hyde,Germany,Defender,30/04/1992
Julian Hyde,Germany,Defender,25/11/1994
Junker,Germany,Forward,
Ralf Kage,Germany,Midfielder,07/04/1960
Georg Kaiser,Germany,Goalkeeper,21/09/1948
Hans-Joachim Kauf,Germany,Midfielder,13/08/1950
Joe Khambor,Thailand,Midfielder,17/01/1994
Michael Knopf,Germany,Defender,14/02/1955
Emil Krause,Germany,Midfielder,25/10/1950
Michael Krenz,Germany,Forward,24/07/1951
Felix KrÃ¼ger,Germany,Forward,29/05/1993
Bernd Krumbein,Germany,Forward,01/08/1955
Thomas Krummwiede,Germany,Forward,26/09/1958
Hans-Georg Kulik,Germany,Midfielder,02/01/1954
Marcel IbÃ¡Ã±ez,Spain,Defender,03/04/1977
Uli Meisner,Germany,Midfielder,01/10/1953
Lutz Mertins,Germany,Forward,06/11/1954
Ulrich Meyer,Germany,Midfielder,11/09/1955
Hans-Georg Nacke,Germany,Forward,09/11/1951
Horst NandelstÃ¤dt,Germany,Defender,17/07/1945
Wolfgang Narten,Germany,Midfielder,21/04/1948
Helmut Neumann,Germany,Defender,28/11/1946
Chris-Hans Ofosua,Ghana,Forward,20/03/1994
Petersen,Germany,Defender,
Jordan Petrov,Germany,Midfielder,06/01/1994
Herbert Poesger,Germany,Midfielder,25/03/1953
Uwe Puppel,Germany,Forward,23/12/1959
RÃ¼diger Reschke,Germany,Midfielder,27/11/1948
Wolfgang Ricke,Germany,Forward,
Wolfgang Rischker,Germany,Defender,08/01/1953
Hans-Joachim Ritter,Germany,Goalkeeper,21/10/1950
Peter RÃ¼hmkorb,Germany,Midfielder,13/12/1948
Dieter Schatzschneider,Germany,Forward,26/04/1958
Matthias Scheiba,Germany,Forward,01/04/1958
Stanislaw Schkurin,Kyrgyzstan,Midfielder,23/08/1991
Ewald Schmid,Germany,Midfielder,22/04/1956
Michael Schmotz,Germany,Midfielder,29/12/1954
JÃ¶rg-Peter Schulze,Germany,Defender,03/11/1951
Bernd Staigies,Germany,Defender,27/11/1957
Halil Suveren,Germany,Midfielder,12/03/1993
Arafat Tcha-Gnaou,Germany,Forward,23/06/1990
Heinz Tetzlaff,Germany,Forward,
Osman-Nur Usun,Germany,Midfielder,22/01/1963
Reinhard Wasner,Germany,Midfielder,15/01/1945
Julian Wenzl,Germany,Goalkeeper,07/03/1990
Frank Witter,Germany,Defender,29/05/1959
Hans-Joachim Wolpert,Germany,Forward,27/09/1951
BÃ¼rghard WÃ¶ste,Germany,Midfielder,28/06/1950
Dieter Wuhrmann,Germany,Midfielder,29/06/1938
Cagdas Yagci,Turkey,Forward,11/01/1991
Zimmermann,Germany,Forward,
