Name,Country,Position,Born
Abaroa,Spain,Midfielder,02/10/1988
Abasolo,Spain,Forward,29/06/1984
Abraham,Spain,Defender,22/02/1986
AdriÃ¡n,Spain,Midfielder,25/05/1988
Aginaga,Spain,Defender,27/10/1971
Agirre,Spain,Forward,23/09/1973
Aguiroano,Spain,Forward,04/06/1966
Aimar,Spain,Defender,05/07/1984
Aitor,Spain,Midfielder,24/03/1976
Aitor Arregui,Spain,Defender,13/01/1971
Aitor Ocio,Spain,Defender,28/11/1976
Aketxe,Spain,Midfielder,03/06/1989
Alain Eizmendi,Spain,Midfielder,10/06/1990
AlaÃ±a,Spain,Defender,02/11/1981
Alberdi,Spain,Defender,10/12/1973
Alberto Mari,Spain,Midfielder,11/07/2001
Alberto Suarez,Spain,Forward,20/10/1981
Albistegui,Spain,Midfielder,01/07/1987
Aldalur,Spain,Defender,02/08/1968
Aldeondo,Spain,Forward,25/01/1975
Alex,Spain,Defender,25/01/1975
Ãlex GarcÃ­a,Spain,Forward,24/09/1984
Alfredo,Spain,Midfielder,31/01/1973
Alkiza,Spain,Forward,31/07/1933
Altamira,Spain,Goalkeeper,02/01/1990
Altuna,Spain,Midfielder,24/06/1980
Alvaro MartÃ­nez,Spain,Defender,09/02/1979
Ãlvaro Tejero,Spain,Defender,20/07/1996
Ander,Spain,Forward,24/07/1989
Ander Gayoso,Spain,Defender,20/07/1993
AndrÃ©s,Spain,Defender,02/03/1988
Ãngel,Spain,Forward,26/04/1987
Ãngel LÃ³pez,Spain,Defender,07/02/1997
Ãngel Ortega,Spain,Defender,20/11/1989
AÃ±ibarro,Spain,Midfielder,26/07/1979
Ansola,Spain,Forward,27/10/1940
Ansotegi,Spain,Defender,13/07/1982
Antonio Luna,Spain,Defender,17/03/1991
Antonio SÃ¡nchez,Spain,Midfielder,23/10/1934
Aranalde,Spain,Defender,28/02/1973
AraquistÃ¡in,Spain,Goalkeeper,04/03/1937
Araquistain,Spain,Forward,15/05/1935
Arbilla,Spain,Defender,15/05/1987
Arce,Spain,Defender,12/06/1975
Areitio,Spain,Goalkeeper,07/09/1996
Arenaza,Spain,Forward,11/02/1974
Argoitia,Spain,Forward,02/02/1966
Arregi,Spain,Midfielder,30/10/1979
Arregi,Spain,Defender,19/05/1990
Arregui,Spain,Forward,07/02/1974
Arriaga,Spain,Forward,28/07/1982
ArriÃ©n,Spain,Forward,15/11/1960
Arrieta,Spain,Midfielder,24/10/1974
Arriola,Spain,Midfielder,03/10/1967
Arruabarrena,Spain,Forward,09/02/1983
Artetxe,Spain,Midfielder,18/12/1966
Asensio,Spain,Forward,31/05/1980
Asier,Spain,Defender,27/10/1966
Asier Benito,Spain,Forward,11/02/1995
Asier Garitano,Spain,Midfielder,06/12/1969
Asier Sanchez,Spain,Forward,01/05/1986
Asorey,Spain,Defender,21/03/1980
Atienza,Spain,Midfielder,27/05/1999
Avellaneda,Spain,Defender,10/06/1984
Axier,Spain,Defender,11/04/1968
Azkoitia,Spain,Midfielder,27/04/1974
Badiola,Spain,Midfielder,07/04/1975
Barkero,Spain,Midfielder,27/04/1979
Basauri,Spain,Goalkeeper,03/08/1974
Bastida,Spain,Defender,01/04/1968
BebÃ©,Portugal,Forward,12/07/1990
Bedaio,Spain,Midfielder,20/09/1970
Bermejo,Spain,Forward,07/10/1978
Biel Medina,Spain,Defender,22/03/1980
Bigas,Spain,Defender,15/05/1990
Bingen,Spain,Defender,02/04/1989
Bixente,Spain,Midfielder,14/08/1964
Derek Boateng,Ghana,Midfielder,02/05/1983
Borja,Spain,Defender,12/04/1978
Borja,Spain,Midfielder,14/01/1981
Borja BastÃ³n,Spain,Forward,25/08/1992
Borrell,Spain,Midfielder,21/01/1981
Esteban Burgos,Argentina,Defender,09/01/1992
BurgueÃ±a,Spain,Midfielder,28/11/1979
Caballero,Spain,Goalkeeper,29/09/1978
Jorge Cabeza,Spain,Defender,27/03/1979
Cabrejo,Spain,Defender,26/05/1975
Capa,Spain,Defender,08/02/1992
Rudy Carlier,France,Forward,19/01/1986
Carlos RubÃ©n,Spain,Forward,26/03/1983
Carmelo,Spain,Defender,03/02/1984
Cases,Spain,Midfielder,23/11/1986
CastiÃ±eiras,Spain,Defender,07/08/1979
CÃ©sar Caneda,Spain,Defender,10/05/1978
Charles,Brazil,Forward,04/04/1984
Christian Rivera,Spain,Midfielder,09/07/1997
Cifuentes,Spain,Defender,13/07/1980
Codina,Spain,Forward,17/02/1973
CordÃ³n,Spain,Defender,12/11/1975
Imanol Corral,Spain,Defender,19/03/1994
Corredoira,Spain,Defender,28/12/1979
CortÃ©s,Spain,Defender,26/02/1969
Cote,Spain,Defender,05/09/1989
SebastiÃ¡n CristÃ³foro,Uruguay,Midfielder,23/08/1993
Cucurella,Spain,Defender,22/07/1998
CuÃ©llar,Spain,Forward,02/01/1970
CuÃ©llar,Spain,Goalkeeper,27/05/1984
Cuevas,Spain,Forward,30/01/1981
Dani Bautista,Spain,Defender,25/02/1981
Dani GarcÃ­a,Spain,Midfielder,24/05/1990
Dani Nieto,Spain,Midfielder,04/05/1991
Dani Salas,Spain,Defender,23/02/1988
David Lago,Spain,Forward,26/10/1979
David Mainz,Spain,Forward,21/06/1985
David Ruiz,Spain,Defender,12/10/1974
David Silva,Spain,Midfielder,08/01/1986
Pablo de Blasis,Argentina,Midfielder,04/02/1988
De La Cruz,Spain,Midfielder,08/03/1978
del Olmo,Spain,Midfielder,20/06/1981
Del Val,Spain,Defender,21/07/1968
Descarga,Spain,Defender,25/08/1976
Aboubacar Diarra,Mali,Defender,09/08/1994
DÃ­dac VilÃ ,Spain,Defender,09/06/1989
Diego CascÃ³n,Spain,Forward,07/06/1984
Diego JimÃ©nez,Spain,Midfielder,29/05/1979
Diego Rivas,Spain,Midfielder,27/04/1980
Diego Rivas,Spain,Goalkeeper,27/05/1987
Pape Diop,Senegal,Midfielder,19/03/1986
Marko DmitroviÄ,Serbia,Goalkeeper,24/01/1992
DomÃ­nguez,Spain,Forward,29/12/1983
Donosti,Spain,Midfielder,21/09/1970
Mauro Dos Santos,Argentina,Defender,07/07/1989
Edu Alonso,Spain,Midfielder,30/05/1974
Edu ExpÃ³sito,Spain,Midfielder,01/08/1996
Edu RoldÃ¡n,Spain,Midfielder,13/09/1977
Eizaguirre,Spain,Midfielder,25/01/1984
Ekhi Bravo,Spain,Midfielder,30/11/1997
Ekiza,Spain,Defender,06/03/1988
ElÃ©der,Spain,Defender,08/09/1968
ElgezÃ¡bal,Spain,Defender,25/04/1993
Eneko BÃ³veda,Spain,Defender,14/12/1988
