Name,Country,Position,Born
ArbÃ«r Abilaliaj,Albania,Forward,06/06/1986
Julian Ahmataj,Albania,Defender,24/05/1979
Abraham Alechenwu,Nigeria,Defender,26/03/1986
Barjon Aliaj,Albania,Forward,28/12/2001
Denis Aliaj,Albania,Forward,22/01/2002
Albi Alla,Greece,Midfielder,01/02/1993
Ilir Alliu,Albania,Defender,14/03/1973
Robert AlviÅ¾,Croatia,Midfielder,06/09/1984
Sasho Angelov,Bulgaria,Defender,15/08/1969
Anesti Arapi,Albania,Goalkeeper,06/07/1963
Tajar Arapi,Albania,Goalkeeper,
Polizoi ArbÃ«ri,Albania,Defender,09/09/1988
Besmir Arifaj,Albania,Midfielder,06/02/1985
Aleksandar Bajevski,North Macedonia,Forward,08/12/1979
Semir Bajraktarevic,Bosnia-Herzegovina,Midfielder,14/10/1987
Robert Bajrami,Albania,Midfielder,05/05/1977
Arbion Balilaj,Albania,Forward,27/07/2000
Idriz Batha,Albania,Midfielder,28/03/1992
Renaldo Bedini,Albania,Defender,23/03/1983
Halim Begaj,Albania,Defender,29/11/1985
Ardi Behari,Albania,Defender,12/03/1973
Panajotis Bena,Greece,Midfielder,06/09/2001
ArbÃ«r Beqaj,Albania,Defender,29/09/1998
Orjand Beqiri,Albania,Defender,21/02/1985
Parid Berdufi,Albania,Goalkeeper,25/09/1985
Ilir Berisha,Kosovo,Defender,25/06/1991
Ditmar Bicaj,Albania,Defender,26/02/1989
Mario Bilen,Croatia,Defender,23/01/1985
Estref Billa,Albania,Goalkeeper,13/06/1980
Ohrid Biraci,Albania,Midfielder,
Luan BirÃ§Ã«,Albania,Goalkeeper,09/12/1961
Alvaro Bishaj,Albania,Defender,02/10/1991
David Bocaj,Albania,Midfielder,28/03/1998
Richard Bokatola-Lossombo,Congo,Forward,11/04/1978
Julian Brahja,Albania,Defender,06/12/1980
Goran BrajkoviÄ,Croatia,Midfielder,17/07/1978
Mate BrajkoviÄ,Croatia,Forward,18/06/1981
Dejvi Bregu,Albania,Midfielder,24/10/1995
Agim Bubeqi,Albania,Forward,07/04/1963
Alban Bushi,Albania,Forward,20/08/1973
Aldo Bushi,Albania,Defender,22/04/2001
Tomislav BuÅ¡iÄ,Croatia,Forward,02/02/1986
BÃ©di Buval,France,Forward,16/06/1986
Dejan Äabraja,Croatia,Forward,22/08/1993
CalÃ©,Brazil,Forward,12/07/1988
Sekou Camara,Albania,Forward,20/07/1997
Nevian Cani,Albania,Forward,25/02/1986
Albano Caushaj,Albania,Midfielder,26/03/1990
Ilirjan Caushi,Albania,Defender,18/03/1987
Semiran Ãela,Albania,Midfielder,01/01/1989
Elian Ãelaj,Albania,Forward,03/02/1999
Taulant ÃerÃ§izi,Albania,Midfielder,26/03/1981
Dardan Cerkini,Albania,Midfielder,27/09/1991
Geri Ãipi,Albania,Defender,28/02/1976
Kreshnik Ãipi,Albania,Defender,05/07/1962
Ardi Ciruna,Albania,Midfielder,
Marin Con,Croatia,Defender,08/02/1985
Elvis CoriÄ,Bosnia-Herzegovina,Forward,07/07/1981
Armando Cungu,Albania,Midfielder,23/04/1973
Leonidha Ãuri,Albania,Defender,07/05/1951
Spiko Ãuri,Albania,Forward,1954
Spiro Ãurri,Albania,Forward,1954
Xhynejt Ãutra,Albania,Midfielder,23/11/1988
PÃ«rparim Daiu,Albania,Defender,21/04/1970
Danilo Alves,Brazil,Forward,11/04/1991
Viktor Daullja,Albania,Forward,05/07/1969
Viron Daullja,Albania,Midfielder,
Anton Dedaj,Albania,Midfielder,14/04/1980
Fjoralb Deliaj,Albania,Midfielder,04/04/1997
Gjergji DÃ«ma,Albania,Defender,07/08/1971
Bledar Devolli,Albania,Midfielder,15/01/1978
Gersi Diamanti,Albania,Forward,15/10/1999
Jorgac Diamanti,Albania,Midfielder,01/04/1976
Erjon Dine,Albania,Goalkeeper,10/04/1981
Douglas Mendes,Brazil,Defender,04/10/1988
