Name,Country,Position,Born
Bryan Bernard,France,Goalkeeper,05/05/2000
William Bianda,France,Defender,30/04/2000
JosÃ© Capon,France,Forward,03/05/2003
Dimitri CavarÃ©,France,Defender,05/02/1995
Alexandre Coeff,France,Midfielder,20/02/1992
Didier Desprez,France,Goalkeeper,13/09/1999
Kandet Diawara,France,Forward,10/02/2000
Soufiane DramÃ©,France,Defender,27/02/1996
David Faupala,France,Forward,11/02/1997
Yassin Fortune,France,Forward,30/01/1999
Jean-Philippe Gbamin,Ivory Coast,Midfielder,25/09/1995
Baptiste Guillaume,Belgium,Forward,16/06/1995
Paulo Henriques de Pinho,France,Goalkeeper,11/02/1997
Koba Koindredi,France,Midfielder,27/10/2001
Geoffrey Kondogbia,Central Afr. Republic,Midfielder,15/02/1993
Donovan Makoma,France,Midfielder,01/02/1999
Taylor Moore,England,Midfielder,12/05/1997
Brayann Pereira,France,Defender,21/05/2003
Jeff Reine-AdÃ©laÃ¯de,France,Midfielder,17/01/1998
Kacper SadÅocha,Poland,Forward,01/12/2002
Yanis Si Mohammed,France,Defender,31/03/1996
Ãric Sikora,France,Defender,04/02/1968
Nsana Simon,France,Midfielder,11/03/2000
