Name,Country,Position,Born
Federico Agostinelli,Italy,Midfielder,01/05/1967
Arlind Ajeti,Switzerland,Defender,25/09/1993
Raoul Albani,Italy,Forward,10/02/1957
Daniele Altobelli,Italy,Midfielder,18/03/1993
Stefano Ambrosi,Italy,Goalkeeper,08/05/1974
Claudio Ambu,Italy,Forward,02/08/1958
Ciro Amelio,Italy,Defender,23/05/1993
Daniele Amerini,Italy,Midfielder,03/08/1974
Giuseppe Anaclerio,Italy,Midfielder,26/01/1974
Angelo Antonazzo,Italy,Defender,02/10/1981
Paolo Antonioli,Italy,Defender,17/11/1977
JoaquÃ­n Ardaiz,Uruguay,Forward,11/01/1999
Stefano Argilli,Italy,Midfielder,05/01/1973
Lorenzo Ariaudo,Italy,Defender,11/06/1989
Marco Arno,Italy,Defender,15/01/1975
Edoardo Artistico,Italy,Forward,16/06/1969
Sossio Aruta,Italy,Forward,19/12/1970
Nicola Ascoli,Italy,Defender,11/09/1979
Salvatore Aurelio,Italy,Forward,15/01/1986
Pietro Baccolo,Italy,Midfielder,21/06/1990
Allan Baclet,France,Forward,26/05/1986
Francesco Bardi,Italy,Goalkeeper,18/01/1992
Migjen Basha,Albania,Midfielder,05/01/1987
Simone Basso,Italy,Forward,25/07/1982
Paolo Bastianello,Italy,Goalkeeper,14/02/1998
Nicola Beati,Italy,Midfielder,13/02/1983
Andrea Beghetto,Italy,Midfielder,11/10/1994
Stefano BellÃ¨,Italy,Forward,24/07/1976
Giuseppe Bellini,Italy,Midfielder,18/06/1957
Matteo Belvisi,Italy,Defender,27/02/1997
Selim Ben Djemia,Tunisia,Defender,29/01/1989
Giorgio Benini,Italy,Defender,04/06/1962
Davide Bertoncini,Italy,Defender,09/05/1991
Prince Besea,Ghana,Midfielder,15/04/1997
Gianluigi Bianco,Italy,Defender,11/05/1989
Dario Biasi,Italy,Defender,24/08/1979
Mattia Biso,Italy,Midfielder,06/05/1977
Leonardo Blanchard,Italy,Defender,06/05/1988
Antonio Bocchetti,Italy,Defender,11/06/1980
Salvatore Bocchetti,Italy,Defender,30/11/1986
Zsolt BognÃ¡r,Hungary,Defender,28/03/1979
Francesco Bolzoni,Italy,Midfielder,07/05/1989
Luca Bonfanti,Italy,Midfielder,29/10/1976
Antonino Bonvissuto,Italy,Forward,08/08/1985
Goergean Bordeanu,Romania,Goalkeeper,03/06/1983
Silvano Borrelli,Italy,Defender,
Davide Bottone,Italy,Midfielder,11/04/1986
NicolÃ² Brighenti,Italy,Defender,01/08/1989
Angelo Brunello,Italy,Forward,08/05/1946
Salvatore Buoncammino,Italy,Forward,09/01/1962
Enrico Buonocore,Italy,Forward,23/07/1971
Mauro Burnelli,Italy,Goalkeeper,27/03/1954
Caetano Calil,Brazil,Midfielder,20/05/1984
Elio Calderini,Italy,Midfielder,09/06/1988
