Name,Country,Position,Born
Lucas Abraham,Argentina,Forward,23/02/1979
David Achucarro,Argentina,Defender,05/01/1991
Jhonatan Agudelo,Colombia,Forward,17/12/1992
Argenis Alba,Colombia,Defender,02/04/1996
Wilson Albornoz,Colombia,Midfielder,05/05/1991
Cristian Ãlvarez,Argentina,Midfielder,28/09/1992
Santiago Alvis,Colombia,Forward,17/02/2000
Cesar Alzate,Colombia,Forward,30/09/1989
JosÃ© Amarilla,Paraguay,Midfielder,23/02/1985
Juan Angulo,Colombia,Defender,26/09/1988
Mario Angulo,Colombia,Forward,27/07/1983
Sergio Angulo,Colombia,Forward,14/09/1960
EstÃ©fano Arango,Colombia,Midfielder,18/01/1994
Javier Araujo,Colombia,Midfielder,26/12/1984
AndrÃ©s Arboleda,Colombia,Midfielder,13/04/1987
Yair Arboleda,Colombia,Midfielder,07/04/1996
Jhoan Arenas,Colombia,Midfielder,16/01/1990
Cristian ArÃ©valo,Colombia,Midfielder,27/10/1986
Eimer Arevalo,Colombia,Defender,26/04/1985
CÃ©sar Arias,Colombia,Forward,02/04/1988
Ronaldo Ariza,Colombia,Midfielder,17/01/1998
Fredy Arizala,Colombia,Defender,20/02/1983
Mauricio Arquez,Colombia,Midfielder,19/06/1981
Eudalio Arriaga,Colombia,Forward,19/09/1975
Jarin Asprilla,Colombia,Midfielder,20/05/1987
Jimmy Asprilla,Colombia,Defender,01/06/1980
Luis Asprilla,Colombia,Defender,06/12/1977
VÃ­ctor Asprilla,Colombia,Defender,01/01/1995
Sergio Avellaneda,Colombia,Goalkeeper,26/02/1990
Carlos BÃ¡ez,Paraguay,Defender,12/06/1982
Juan Balanta,Colombia,Forward,03/03/1997
Danovis Banguero,Colombia,Midfielder,27/10/1989
Carlos Barahona,Colombia,Goalkeeper,20/01/1980
Federico Barrionuevo,Argentina,Midfielder,30/06/1981
Ãlvaro Barros,Colombia,Forward,08/01/1987
Diego Basto,Colombia,Midfielder,13/04/1988
Juan Ricardo Bazan,Colombia,Forward,04/03/1986
Gerardo Bedoya,Colombia,Midfielder,26/11/1975
Jean Carlos Blanco,Colombia,Forward,06/04/1992
Roberto Bobadilla,Uruguay,Midfielder,19/07/1974
Jorge BolaÃ±o,Colombia,Midfielder,28/04/1977
Gustavo BolÃ­var,Colombia,Midfielder,16/04/1985
BrÃ©iner Bonilla,Colombia,Defender,21/07/1986
Miguel Borja,Colombia,Forward,26/01/1993
SebastiÃ¡n Botero,USA,Midfielder,04/07/1986
Williams BuenaÃ±os,Colombia,Goalkeeper,17/10/1983
JosÃ© Bueno,Colombia,Forward,30/08/1986
HernÃ¡n Burbano,Colombia,Midfielder,05/03/1988
DarÃ­o Bustos,Colombia,Defender,03/09/1985
RubÃ©n Bustos,Colombia,Defender,28/08/1981
Roque Caballero,Paraguay,Forward,31/08/1990
Juan Cabezas,Colombia,Midfielder,27/02/1991
Luis Cabezas,Colombia,Forward,03/03/1986
Diego Cabrera,Bolivia,Forward,13/08/1982
Lisandro Cabrera,Argentina,Forward,04/01/1998
Camilo Caicedo,Colombia,Defender,28/08/1981
Carlos Caicedo,Colombia,Midfielder,15/07/1991
Eduar Caicedo,Colombia,Defender,23/04/1995
GermÃ¡n Caicedo,Colombia,Midfielder,25/08/1977
Juan Caicedo,Colombia,Midfielder,04/01/1998
Ãscar Caicedo,Colombia,Forward,17/01/1996
Elkin Calle,Colombia,Defender,19/01/1985
Harrison Canchimbo,Colombia,Defender,14/09/1990
Cristian CangÃ¡,Colombia,Forward,23/02/1991
Nestor CarabalÃ­,Colombia,Defender,20/11/2000
Yeison CarabalÃ­,Colombia,Midfielder,06/08/1993
Mateo Cardona,Colombia,Midfielder,11/02/1996
Felipe Cardoza,Colombia,Defender,19/12/1984
Johnny Carneiro,Venezuela,Forward,04/05/1975
Wilson Carpintero,Colombia,Forward,15/09/1977
Darwin Carrero,Colombia,Defender,04/11/1993
Duvan Carrillo,Colombia,Goalkeeper,28/01/1998
Erwin Carrillo,Colombia,Forward,25/06/1983
Robert Carvajal,Colombia,Defender,04/05/1991
Leandro Castellanos,Colombia,Goalkeeper,09/03/1984
JosÃ© Castillo,Colombia,Midfielder,20/02/1986
Oscar Castillo,Colombia,Midfielder,13/01/1987
VÃ­ctor Castillo,Colombia,Midfielder,10/07/1987
Charles Castro,Uruguay,Midfielder,19/05/1978
James Castro,Colombia,Midfielder,24/11/1984
Leonardo Castro,Colombia,Forward,12/05/1989
GermÃ¡n CenturiÃ³n,Paraguay,Defender,05/05/1980
Deyner CetrÃ©,Colombia,Defender,04/10/1986
Jonathan ChacÃ³n,Colombia,Midfielder,
Roberto ChacÃ³n,Venezuela,Defender,25/04/1999
Edwin Chalar,Colombia,Forward,21/04/1987
RaÃºl Chaparro,Argentina,Midfielder,19/10/1975
Juan Chaverra,Colombia,Goalkeeper,12/12/1992
Diego Chica,Colombia,Midfielder,11/02/1981
Victorio Cocco,Argentina,Midfielder,23/03/1946
Diego Cochas,Argentina,Midfielder,14/08/1979
David CÃ³rdoba,Colombia,Midfielder,12/12/1980
Flavio CÃ³rdoba,Colombia,Defender,04/10/1984
Francisco CÃ³rdoba,Colombia,Midfielder,08/09/1988
Jaime CÃ³rdoba,Colombia,Midfielder,07/05/1988
Jhon CÃ³rdoba,Colombia,Forward,10/02/1987
VÃ­ctor CortÃ©s,Colombia,Forward,26/02/1976
JuliÃ¡n Corzo,Colombia,Defender,01/05/2000
Wilberto Cosme,Colombia,Forward,22/07/1984
Ernesto Cristaldo,Paraguay,Defender,16/03/1984
Edwar Cuellar,Colombia,Defender,15/06/1990
Luis Cuesta,Colombia,Forward,11/11/1993
David Cuperman,Colombia,Defender,08/11/1996
Johnny Da Silva,Uruguay,Goalkeeper,21/08/1991
CristiÃ¡n DÃ¡jome,Colombia,Forward,03/01/1994
Marlon de JesÃºs,Ecuador,Forward,04/09/1991
Alex Del Castillo,Colombia,Midfielder,14/03/1977
Edwin Del Castillo,Colombia,Defender,08/02/1984
Franco del Giglio,Argentina,Forward,07/01/1993
Francisco Delgado,Colombia,Defender,14/08/1980
Luis Delgado,Colombia,Goalkeeper,26/10/1980
Carlos DÃ­az,Colombia,Defender,28/11/1982
JesÃºs DÃ­az,Argentina,Midfielder,27/03/1981
Jorge Diaz,Colombia,Forward,01/07/1977
Juan Dominguez,Colombia,Defender,17/12/1986
Mauricio Duarte,Colombia,Defender,24/06/1992
Diego Echeverri,Colombia,Forward,21/07/1989
JosÃ© Escobar,Colombia,Goalkeeper,09/10/1987
Juan Escobar,Colombia,Midfielder,30/10/1982
Pablo Escobar,Colombia,Defender,12/02/1987
Breiner Espalza,Colombia,Midfielder,04/02/1999
Diego Espinel,Colombia,Forward,07/12/1987
Luis Estacio,Colombia,Goalkeeper,19/04/1980
Michael EtulaÃ­n,Uruguay,Goalkeeper,30/09/1980
Mateo Figoli,Uruguay,Midfielder,03/08/1984
Javier Florez,Colombia,Midfielder,18/05/1982
Nelson Florez,Colombia,Midfielder,01/03/1974
Edison Fonseca,Colombia,Forward,25/02/1983
Yuberney Franco,Colombia,Forward,20/01/1985
Carlos Gallego,Colombia,Defender,09/03/1989
Roberto Gamarra,Paraguay,Forward,11/05/1981
