Name,Country,Position,Born
AbbÃ¨s Radhouane Abassi,Algeria,Defender,04/03/1965
Boumedienne Abderrhamane,France,Defender,26/11/1920
William Abou,Ivory Coast,Midfielder,30/12/1992
Amir Adouyev,France,Midfielder,11/05/1999
Didier Agathe,France,Midfielder,16/08/1975
Uche Agbo,Nigeria,Midfielder,04/04/1975
Sauveur Agostini,France,Forward,31/10/1953
Ruben Aguilar,France,Defender,26/04/1993
Malek AÃ¯t Alia,Algeria,Midfielder,15/08/1977
Karim AÃ¯t Fana,Morocco,Forward,25/02/1989
Max Alauzun,France,Midfielder,13/12/1937
Maurice Albertini,France,Midfielder,01/01/1911
Bruno Alicarte,France,Defender,18/01/1972
HervÃ© Alicarte,France,Defender,07/10/1974
Roger Alleman,France,Defender,11/12/1959
Roland Amar,France,Goalkeeper,22/06/1922
Yannis Ammour,France,Forward,21/05/1999
Gunnar Andersson,Sweden,Forward,14/08/1928
Christian AndrÃ©,France,Forward,14/08/1950
RenÃ© AndrÃ©o,France,Defender,07/01/1945
Roger Angles,France,Forward,10/06/1917
Jean-Claude Archimbeau,France,Midfielder,25/02/1943
Romain Armand,France,Forward,27/02/1987
AljoÅ¡a AsanoviÄ,Croatia,Midfielder,14/12/1965
Mansour Assoumani,France,Defender,30/01/1983
Jeffrey Assoumin,France,Midfielder,05/02/1993
Fatih Atik,France,Midfielder,25/06/1984
Serge Aubert,France,Defender,10/05/1934
Henri AugÃ©,France,Defender,02/12/1941
William Ayache,France,Defender,10/01/1961
GÃ©rard Aygoui,France,Midfielder,05/10/1936
Georges Ba,France,Forward,21/01/1979
Bastian Badu,France,Forward,02/02/2000
Pascale Baills,France,Defender,30/12/1964
Djamel Bakar,France,Forward,06/04/1989
Ibrahima Bakayoko,Ivory Coast,Forward,31/12/1976
Patrick Baldassara,France,Defender,25/07/1952
Jean-Bertrand BalÃ©kita,Congo,Forward,06/01/1948
Roger Baltimore,France,Midfielder,11/05/1953
Habib Bamogo,Burkina Faso,Midfielder,08/05/1982
