Name,Country,Position,Born
Abdulla Abatsiyev,Azerbaijan,Midfielder,16/08/1993
Aykhan Abbasov,Azerbaijan,Defender,25/08/1981
Mirsahib Abbasov,Azerbaijan,Midfielder,19/01/1993
Ruslan Abbasov,Azerbaijan,Defender,01/06/1980
Rustam Abbasov,Azerbaijan,Defender,07/08/1991
Samir Abbasov,Azerbaijan,Defender,01/02/1978
Bruce Abdoulaye,Congo,Defender,15/04/1982
Elnur Abdullaev,Azerbaijan,Midfielder,16/02/1986
Rashad Abdullayev,Azerbaijan,Midfielder,01/10/1981
Elnur Abdulov,Azerbaijan,Forward,18/09/1992
Samir Abdurakhmanov,Azerbaijan,Defender,19/10/1983
Valeri Abramidze,Georgia,Defender,17/01/1980
Ruslan Abyshov,Azerbaijan,Defender,10/10/1987
Accioly,Brazil,Defender,30/03/1981
Georgi Adamia,Georgia,Forward,10/03/1981
Kamran Agayev,Azerbaijan,Goalkeeper,09/02/1986
Salahat Agayev,Azerbaijan,Goalkeeper,04/01/1991
Ramil Aghayev,Azerbaijan,Defender,
Fuad Ahmedov,Azerbaijan,Goalkeeper,14/01/1988
Daniel Akhtyamov,Azerbaijan,Forward,26/03/1985
Zeki Sinan Akkoyun,Turkey,Defender,15/11/1997
Ilgar Alakbarov,Azerbaijan,Defender,06/10/1993
Samir Alakbarov,Azerbaijan,Forward,08/11/1968
Tony Alegbe,Nigeria,Midfielder,10/10/1981
Aydin Alekperov,Azerbaijan,Defender,08/11/1968
Ayyub Aliyev,Azerbaijan,Goalkeeper,13/05/1995
Rauf Aliyev,Azerbaijan,Forward,12/02/1989
Samir Aliyev,Azerbaijan,Forward,14/04/1979
Slavik Alkhasov,Azerbaijan,Defender,06/02/1993
Rovshen Amiraslanov,Azerbaijan,Forward,18/03/1986
Ruslan Amirdzhanov,Azerbaijan,Defender,01/02/1985
Dzhabir Amirli,Azerbaijan,Defender,06/01/1997
Aleksandr Amisulashvili,Georgia,Defender,20/08/1982
Augusto Andaveris,Bolivia,Forward,05/05/1979
Goran Arnaut,Serbia,Defender,27/08/1979
Seymur Asadov,Azerbaijan,Midfielder,05/05/1994
Zahir Asgarov,Azerbaijan,Midfielder,22/04/1975
Jonathan AyitÃ©,Togo,Forward,22/07/1985
Rashad Azizli,Azerbaijan,Goalkeeper,01/01/1994
Zija Azizov,Azerbaijan,Midfielder,04/10/1998
Ilkin Bagiyev,Azerbaijan,Goalkeeper,01/08/1987
Heinz Barmettler,Dom. Republic,Defender,21/07/1987
Elmar BaxÅiyev,Azerbaijan,Midfielder,03/08/1980
Tural BayramlÄ±,Azerbaijan,Forward,07/01/1998
Fuad Bayramov,Azerbaijan,Midfielder,30/11/1994
Valentin Belkevich,Belarus,Midfielder,27/01/1973
Yohan Bocognano,France,Defender,12/06/1990
MijuÅ¡ko BojoviÄ,Montenegro,Defender,09/08/1988
MiloÅ¡ BosanÄiÄ,Serbia,Midfielder,22/05/1988
Vaqif Cavadov,Azerbaijan,,25/05/1989
Bronislav Äervenka,Czech Republic,Midfielder,27/09/1975
Sergey Chernyak,Ukraine,Midfielder,25/10/1978
Aleksandr Chertoganov,Azerbaijan,Midfielder,08/02/1980
David Chigoshvili,Georgia,Midfielder,03/11/1975
Temuri Chlaidze,Azerbaijan,Goalkeeper,19/10/1974
Peter Chrappan,Slovakia,Defender,21/12/1984
Andre Clennon,Jamaica,Forward,15/08/1989
RomÃ¡n Cuello,Uruguay,Forward,04/04/1977
Arif Dashdamirov,Azerbaijan,Defender,10/02/1987
Davit Datvadze,Georgia,Midfielder,09/07/1977
DÃªnis,Brazil,Defender,28/12/1985
Filip Despotovski,North Macedonia,Midfielder,18/11/1982
Dhiego,Brazil,Forward,27/08/1988
Diego Souza,Brazil,Midfielder,08/09/1988
Dzhoshqun Diniyev,Azerbaijan,Midfielder,13/09/1995
Arafat Djako,Togo,Midfielder,10/11/1988
Elnur Dzhafarov,Azerbaijan,Forward,28/03/1997
Vaqif Dzhavadov,Azerbaijan,Forward,25/05/1989
Pardis Fardjad-Azad,Azerbaijan,Forward,12/04/1988
Youssef Fennich,Netherlands,Midfielder,12/02/1993
Filipe Machado,Brazil,Defender,13/03/1984
FlÃ¡vio,Brazil,Midfielder,14/03/1987
Franco Flores,Argentina,Defender,28/05/1993
Yuri Fomenko,Ukraine,Forward,31/12/1986
Lorenzo Frutos,Paraguay,Forward,04/06/1989
Bilal Gambarov,Azerbaijan,Forward,22/03/1996
Gara Garayev,Azerbaijan,Forward,05/03/1998
Zaur Gashimov,Azerbaijan,Defender,24/10/1981
Andrius Gedgaudas,Lithuania,Midfielder,18/09/1978
Daniel Genov,Bulgaria,Midfielder,19/05/1989
Georgios Georgiadis,Greece,Forward,14/11/1987
SlavÄo Georgievski,North Macedonia,Midfielder,30/03/1980
Edvinas Girdvainis,Lithuania,Defender,17/01/1993
Goderdzi Gogoladze,Georgia,Defender,13/09/1980
Aleksandr Gross,Azerbaijan,Midfielder,06/05/1993
Walter Guglielmone,Uruguay,Forward,11/04/1978
Diallo Guidileye,Mauritania,Midfielder,30/12/1989
Agshin Ilham Guluzade,Azerbaijan,Midfielder,31/08/1998
Makhmud Gurbanov,Azerbaijan,Midfielder,10/05/1973
Angel Gutierrez,Uruguay,Midfielder,12/01/1980
Vasif Hagverdiev,Azerbaijan,Defender,15/10/1978
Camil Hajiyev,Azerbaijan,Defender,24/08/1994
Nizami Hajiyev,Azerbaijan,Midfielder,08/02/1988
Ilami Halimi,North Macedonia,Midfielder,08/11/1975
Elkhan Hasanov,Azerbaijan,Goalkeeper,04/03/1967
Namiq Hasanov,Azerbaijan,Midfielder,20/10/1979
Vugar Hasanov,Azerbaijan,Defender,05/12/1997
Jahangir Hasanzade,Azerbaijan,Goalkeeper,04/08/1979
Zaur Hashimov,Azerbaijan,Defender,25/08/1981
Abbas HÃ¼seynov,Azerbaijan,Defender,13/06/1995
Dzhavid HÃ¼seynov,Azerbaijan,Forward,09/03/1988
Oleg Huseynov,Azerbaijan,Midfielder,13/02/1997
Mirzaga Huseynpur,Russia,Midfielder,11/03/1990
Aleksandr Iashvili,Georgia,Forward,23/10/1977
Lucky Idahor,Nigeria,Forward,30/08/1980
Emin Imamaliyev,Azerbaijan,Midfielder,07/08/1980
Maqsad Isayev,Azerbaijan,Defender,07/06/1994
VÃ¼sal Isgandarli,Azerbaijan,Midfielder,03/11/1995
Aliyar Ismailov,Russia,Midfielder,11/04/1976
Afran Ismayilov,Azerbaijan,Midfielder,08/10/1988
Aliyar Ismayilov,Azerbaijan,Midfielder,09/01/1977
Sabumi Ismayilov,Azerbaijan,Forward,27/02/1988
Urfan Ismayilov,Azerbaijan,Midfielder,17/05/1996
IvÃ¡n BenÃ­tez,Spain,Defender,31/05/1988
Ruslan Jafarov,Azerbaijan,Defender,26/01/1993
JoÃ£o Paulo,Brazil,Defender,07/04/1988
Nikola JoloviÄ,Serbia,Defender,04/05/1979
Juanfran,Spain,Defender,10/01/1986
John Kamara,Sierra Leone,Midfielder,05/12/1988
Ilia Kandelaki,Georgia,Defender,26/12/1981
Davud Karimi,Azerbaijan,Goalkeeper,08/10/1984
Ä¢irts Karlsons,Latvia,Forward,07/06/1981
Lasha Kasradze,Georgia,Defender,28/07/1989
Samir Khairov,Azerbaijan,Defender,09/02/1974
Zurab Khizanishvili,Georgia,Defender,06/10/1981
Olexandr Kiryukhin,Ukraine,Defender,01/10/1974
Michael Kitelman,Azerbaijan,Midfielder,15/08/1981
Serhiy Konovalov,USSR,Forward,01/03/1972
Yevgen Kotov,Ukraine,Defender,10/08/1978
Dmitriy Kramarenko,Azerbaijan,Goalkeeper,12/09/1974
Enyo Krastovchev,Bulgaria,Forward,07/02/1984
Dmitri Kruglov,Estonia,Defender,24/05/1984
LubomÃ­r Kubica,Czech Republic,Midfielder,10/03/1979
Valerii Kutsenko,Ukraine,Midfielder,02/11/1986
Nika Kvekveskiri,Georgia,Midfielder,29/05/1992
Tadas Labukas,Lithuania,Forward,10/01/1984
Vitaly Ledenev,Belarus,Forward,26/03/1979
Vladimir Levin,Azerbaijan,Defender,23/01/1984
Vyacheslav Lichkin,Azerbaijan,Forward,30/09/1973
Georgi Lomaia,Georgia,Goalkeeper,08/08/1979
Diego Madrigal,Costa Rica,Midfielder,19/03/1989
Rafael Maharramli,Azerbaijan,Midfielder,01/10/1999
Anar Maherramov,Azerbaijan,Goalkeeper,12/02/1992
Mikhail Makovskiy,Belarus,Midfielder,23/04/1977
Vladimir Makovskiy,Belarus,Forward,23/04/1977
Elbrus Mamedov,Azerbaijan,Midfielder,15/02/1972
Ismayil Mamedov,Azerbaijan,Midfielder,01/05/1976
Alibay Mammadli,Azerbaijan,Midfielder,01/05/1997
Asif Mammadov,Azerbaijan,Forward,05/08/1986
Elnur Mammadov,Azerbaijan,Midfielder,10/08/1984
Elshan Mammadov,Azerbaijan,Forward,04/05/1980
Elvin Mammadov,Azerbaijan,Midfielder,18/07/1988
Ismayil Mammadov,Azerbaijan,Midfielder,05/08/1976
Khagani Mammadov,Azerbaijan,Forward,29/09/1976
Orkhan Mammadov,Azerbaijan,Defender,21/07/1987
Nurxan MÃ¤nsimzadÃ¤,Azerbaijan,Forward,15/11/1994
Ramil Mansurov,Azerbaijan,Forward,30/09/1993
Samir Masimov,Azerbaijan,Forward,25/08/1995
Emin Mehtiyev,Azerbaijan,Midfielder,22/09/1992
CÃ©sar Meza Colli,Paraguay,Forward,05/10/1991
Derlis Meza Colli,Paraguay,Midfielder,15/08/1988
Tofig Mikayilov,Azerbaijan,Midfielder,11/04/1986
