Name,Country,Position,Born
Alfredo Ãbalos,Argentina,Midfielder,17/03/1986
Lucas Acevedo,Argentina,Defender,08/11/1991
David Achucarro,Argentina,Defender,05/01/1991
Gustavo Acosta,Argentina,Midfielder,22/11/1965
VÃ­ctor Acosta,Argentina,Forward,04/12/1986
Mario Aguilar,Argentina,Midfielder,01/08/1978
Diego Aguirre,Argentina,Forward,11/01/1993
Marcos Aguirre,Argentina,Midfielder,30/03/1984
Pedro Aguirrez,Argentina,Defender,06/08/1973
Cristian Alfaro,Argentina,Forward,08/09/1977
Sergio Alvarez,Venezuela,Forward,18/01/1991
Ezequiel Amaya,Argentina,Forward,20/02/1978
Manuel Antar,Argentina,Midfielder,25/04/1994
Gustavo Aranda,Argentina,Forward,08/06/1995
Aldo Araujo,Argentina,Midfielder,03/01/1992
Facundo ArgÃ¼ello,Argentina,Defender,23/02/1979
Mauricio Arias,Chile,Defender,27/10/1984
Mauricio Asenjo,Argentina,Forward,23/07/1994
Rodrigo Astudillo,Argentina,Forward,23/11/1977
Diego Auzqui,Argentina,Midfielder,19/01/1989
Fernando Ãvalos,Argentina,Defender,31/03/1978
Gabriel Ãvalos,Paraguay,Forward,12/10/1990
Lucas AveldaÃ±o,Argentina,Defender,19/07/1985
NicolÃ¡s Ayr,Argentina,Defender,11/10/1982
Leonardo Baima,Argentina,Midfielder,05/10/1992
Ignacio BaldÃ¡n,Argentina,Midfielder,29/07/1996
Lucas Baldunciel,Argentina,Midfielder,22/03/1992
Lucas Banegas,Argentina,Defender,18/12/1979
AdriÃ¡n Barbona,Argentina,Defender,24/03/1974
David Barbona,Argentina,Midfielder,22/02/1995
Joel Barbosa,Argentina,Defender,15/01/1983
Juan JosÃ© BarreÃ±a,Argentina,Defender,20/12/1990
Marcelo BarreÃ±a,Argentina,Defender,13/02/1987
GermÃ¡n Basualdo,Argentina,Midfielder,07/03/1984
Sergio Batista,Argentina,Midfielder,09/11/1962
MatÃ­as BazÃ¡n,Argentina,Forward,20/01/1997
RaÃºl Becerra,Argentina,Forward,01/10/1987
Exequiel BenavÃ­dez,Argentina,Midfielder,05/03/1989
Franco BenÃ­tez,Argentina,Midfielder,14/06/1991
Nahuel BenÃ­tez,Argentina,Forward,10/04/1990
FÃ¨lix Benito,Argentina,Defender,20/01/1978
Gaston Beraldi,Argentina,Defender,09/07/1982
Eduardo BerÃ³n,Argentina,Forward,30/11/1986
Gonzalo Bidal,Argentina,Midfielder,21/10/1977
Roberto Bochi,Argentina,Midfielder,06/07/1987
HernÃ¡n Boderone,Argentina,Forward,25/09/1981
Ariel Borda,Argentina,Midfielder,25/05/1979
Miguel BordÃ³n,Argentina,Defender,27/10/1952
Ãder Borelli,Mexico,Defender,26/11/1990
Augusto Bottini,Argentina,Goalkeeper,26/10/1998
Ezequiel BrÃ­tez,Argentina,Defender,25/06/1985
Maximiliano Brito,Uruguay,Forward,19/07/1991
Favio Brizuela,Argentina,Midfielder,07/09/1997
Alan Brondino,Argentina,Defender,11/04/1998
Rodrigo Burela,Argentina,Goalkeeper,12/10/1971
Guillermo Busto,Argentina,Forward,04/03/1995
Lucas Bustos,Argentina,Defender,09/10/1983
Diego Caballero,Uruguay,Defender,16/06/1991
Leandro Caballero,Argentina,Defender,13/02/1986
Miguel CÃ¡ceres,Paraguay,Forward,06/06/1978
Samuel CÃ¡ceres,Paraguay,Defender,20/03/1989
Walter CÃ¡ceres,Argentina,Goalkeeper,12/02/1975
Mariano CampodÃ³nico,Argentina,Forward,05/04/1974
ClÃ¡udio Campos,Argentina,Forward,06/11/1975
Norberto Candella,Argentina,Forward,10/01/1963
Leonardo Carboni,Argentina,Forward,04/11/1984
Juan Carlos CÃ¡rdenas,Argentina,Forward,25/07/1945
Horacio Cardozo,Argentina,Midfielder,29/11/1979
Marcelo Cardozo,Argentina,Defender,08/12/1987
CÃ©sar Carranza,Argentina,Midfielder,16/08/1980
Mauricio Carrasco,Argentina,Forward,24/09/1987
Ariel CarreÃ±o,Argentina,Forward,04/03/1979
Pablo Carreras,Argentina,Midfielder,03/03/1995
Facundo Carrillo,Argentina,Forward,
DamiÃ¡n Castagno,Argentina,Midfielder,25/02/1986
DamiÃ¡n Castellanos,Argentina,Midfielder,12/08/1976
Facundo CastillÃ³n,Argentina,Forward,21/08/1985
Alejandro Castro,Argentina,Defender,05/12/1971
DarÃ­o Cavallo,Argentina,Midfielder,11/07/1975
Diego Ceballos,Argentina,Forward,25/03/1980
Jonathan Ceratto,Argentina,Defender,21/08/1986
Jorge Cervera,Argentina,Forward,17/01/1975
FabiÃ¡n CÃ©saro,Uruguay,Midfielder,07/05/1973
Paul Charpentier,Argentina,Forward,01/05/2000
Fernando Cigno,Argentina,Midfielder,11/05/1984
Diego Cochas,Argentina,Midfielder,14/08/1979
Leandro Cogrossi,Argentina,Midfielder,03/07/1988
Roberto Cornejo,Argentina,Midfielder,13/03/1983
Ariel Coronel,Argentina,Defender,17/07/1987
Javier Correa,Argentina,Defender,10/09/1994
JuliÃ¡n Cossi,Argentina,Defender,08/09/1998
CÃ©sar Couceiro,Argentina,Defender,18/04/1970
Marcelo Couceiro,Argentina,Midfielder,11/09/1974
Claudio Curima,Argentina,Midfielder,08/09/1997
Edgardo D'Ascenzo,Argentina,Forward,
Johnny Da Silva,Uruguay,Goalkeeper,21/08/1991
Alberto Dacquarti,Argentina,Forward,
Israel Damonte,Argentina,Midfielder,06/01/1982
AgustÃ­n De La Canal,Argentina,Defender,10/11/1980
Fernando De la Fuente,Argentina,Midfielder,26/03/1986
Gustavo de Luca,Argentina,Forward,13/02/1962
Jorge De Olivera,Argentina,Goalkeeper,21/08/1982
MatÃ­as Defederico,Argentina,Forward,23/08/1989
Juan Depetris,Argentina,Midfielder,26/03/1998
Cata DÃ­az,Argentina,Defender,13/03/1979
JosÃ© DÃ­az,Argentina,Midfielder,28/07/1974
David DistÃ©fano,Argentina,Midfielder,10/07/1987
Alejandro Domenez,Argentina,Midfielder,25/02/1987
