Name,Country,Position,Born
Eduard Angele,Germany,Defender,10/12/1951
Erwin Braun,Germany,Midfielder,24/11/1949
Ulrich Braun,Germany,Midfielder,23/08/1941
Hans-Georg Brinkrolf,Germany,Defender,25/02/1956
Heribert Bruchhagen,Germany,Midfielder,04/09/1948
Coria-Cerda,Germany,Midfielder,
Heinz Diesen,Germany,Defender,10/08/1943
Harry Fechner,Germany,Defender,04/05/1950
Alois Fortkort,Germany,Midfielder,20/09/1956
Peter FÃ¼llbier,Germany,Forward,08/01/1947
Lutz GÃ¤rtner,Germany,Midfielder,01/10/1944
Karl-Heinz Granitza,Germany,Forward,01/11/1951
Ulrich Granzow,Germany,Goalkeeper,28/04/1952
Wolfgang GrÃ¼bel,Germany,Midfielder,23/02/1955
Peter Hillebrandt,Germany,Defender,08/02/1948
Bodo Horstkotte,Germany,Midfielder,30/07/1950
JÃ¼rgen Klein,Germany,Defender,22/12/1949
Dieter Klever,Germany,Forward,19/06/1940
Hans-JÃ¼rgen Kurrat,Germany,Forward,07/07/1944
Dieter Meis,Germany,Defender,28/04/1948
Heinz Michallik,Germany,Defender,21/07/1947
Pedro Milasincic,Serbia,Forward,20/06/1952
JÃ¼rgen Neisen,Germany,Midfielder,06/12/1947
Karl-Heinz Nonnenbruch,Germany,Defender,24/07/1941
OehlschlÃ¤ger,Germany,Defender,
Walter Oswald,Germany,Defender,08/10/1955
Michael Piwowarski,Germany,Defender,14/11/1948
Michael Pyka,Germany,Defender,25/01/1954
Peter Riediger,Germany,Midfielder,06/08/1950
Werner Rinas,Germany,Midfielder,13/01/1939
Gerd Roggensack,Germany,Forward,05/10/1941
Dieter Roggow,Germany,Defender,18/07/1948
Norbert RÃ¶wekamp,Germany,Midfielder,24/07/1949
Heinz Rudloff,Germany,Forward,31/05/1949
Wolfgang Rummenigge,Germany,Forward,19/11/1951
Bernd Siefert,Germany,Forward,25/04/1944
Wesseling,Germany,Forward,
Dietmar Wiese,Germany,Goalkeeper,03/05/1956
Wirsching,Germany,Midfielder,
Willi Wrenger,Germany,Midfielder,15/04/1938
