Name,Country,Position,Born
Yusuf AbdioÄlu,Turkey,Defender,14/10/1989
Onur Acar,Turkey,Defender,01/01/1983
Remzi Acet,Turkey,Midfielder,22/09/1975
Recep AdanÄ±r,Turkey,Forward,03/05/1929
Ertan Adatepe,Turkey,Forward,1938
Victor Agali,Nigeria,Forward,29/12/1978
Sergey Agashkov,Russia,Midfielder,06/11/1962
Sedat AÄÃ§ay,Turkey,Midfielder,22/09/1981
Augustine Ahinful,Ghana,Forward,30/11/1974
Mahmut Akan,Turkey,Midfielder,14/07/1994
Metin Akan,Turkey,Forward,28/05/1983
Saffet Akbas,Turkey,Defender,08/09/1968
Ayhan Akbin,Turkey,Forward,26/06/1955
Ali Akdeniz,Turkey,Midfielder,17/04/1975
GÃ¶khan Akkan,Turkey,Goalkeeper,01/01/1995
Birol Aksancak,Turkey,Forward,08/04/1979
SadÄ±k AksÃ¶z,Turkey,Forward,05/08/1957
Mehmet Aktan,Turkey,Defender,06/04/1946
Engin AktÃ¼rk,Turkey,Defender,07/08/1983
Muhammet AkyaycÄ±,Turkey,Forward,27/08/1974
CoÅkun Akyel,Turkey,Forward,1951
Ahmet Akyildiz,Turkey,Midfielder,10/02/1993
Fuat AkyÃ¼z,Turkey,Defender,30/11/1959
Saffet AkyÃ¼z,Turkey,Forward,11/03/1970
Serhat AkyÃ¼z,Turkey,Midfielder,10/08/1984
Erhan Albayrak,Turkey,Midfielder,05/04/1977
Aleksander Y. Aleksandrov,Bulgaria,Midfielder,19/01/1975
GÃ¶ksu Alhas,Turkey,Defender,21/03/1990
Ender Alkan,Turkey,Midfielder,02/01/1977
Cengiz Alp,Turkey,Forward,25/01/1969
Timur Alper,Turkey,Defender,17/02/1961
ÃaÄlayan Alpsatan,Turkey,Midfielder,05/01/1993
Mahmut Altinkaya,Turkey,Midfielder,07/07/2000
Tevfik AltÄ±ndaÄ,Turkey,Forward,26/10/1988
Ismail Altunsaban,Turkey,Midfielder,27/08/1983
GÃ¼rkan Alver,Turkey,Midfielder,11/11/1991
Joseph Amoah,Liberia,Midfielder,01/01/1983
AndrÃ© Silva,Brazil,Midfielder,09/04/1980
Ahmet Can Arik,Turkey,Midfielder,22/08/1997
Volkan Arslan,Turkey,Midfielder,29/08/1978
Melih Atacan,Turkey,Midfielder,1951
Onur Atasayar,Turkey,Defender,01/01/1995
Ä°skender Atasoy,Turkey,Defender,01/10/1954
Hasan AyaroÄlu,Turkey,Midfielder,22/03/1995
Atilla Aybars,Turkey,Midfielder,17/05/1991
Mert Aydeniz,Turkey,Midfielder,30/06/1998
Cafer Aydin,Turkey,Forward,19/11/1971
Mustafa Aydin,Turkey,Defender,30/04/1986
