Name,Country,Position,Born
Petar Alyoshev,Bulgaria,Defender,11/05/1987
Massimiliano Ammendola,Italy,Forward,15/05/1990
Sasha Aneff,Uruguay,Forward,26/06/1991
Sasho Angelov,Bulgaria,Midfielder,28/05/1948
Tsvetomir Angelov,Bulgaria,Forward,10/11/1989
Georgi Antonov,Bulgaria,Defender,07/07/1970
Ilia Apostolov,Bulgaria,Defender,05/05/1921
Yordan Apostolov,Bulgaria,Defender,30/11/1989
Andrey Atanasov,Bulgaria,Forward,10/11/1989
Chavdar Atanasov,Bulgaria,Midfielder,03/02/1973
Petar Atanasov,Bulgaria,Midfielder,13/10/1990
Augusto,Brazil,Defender,29/04/1991
Nikola Bakardjiev,Bulgaria,Defender,
Lachezar Baltanov,Bulgaria,Midfielder,11/07/1988
Nikolay Bankov,Bulgaria,Goalkeeper,19/11/1990
Valeri Bojinov,Bulgaria,Forward,15/02/1986
Borislav Borisov,Bulgaria,Forward,27/09/1990
Miroslav Budinov,Bulgaria,Forward,23/01/1986
Pablo Caballero,Uruguay,Defender,25/01/1987
Nicolae Cebotari,Moldova,Goalkeeper,24/05/1997
Nicolas Celeste,Uruguay,Midfielder,
Asen Chalakov,Bulgaria,Midfielder,17/05/1983
Zdravko Chavdarov,Bulgaria,Goalkeeper,24/01/1981
Todor Chavorski,Bulgaria,Forward,30/03/1993
Hugo Cointard,France,Goalkeeper,18/09/1995
Ivaylo Danchev,Bulgaria,Forward,31/03/1984
Tsvetan Danov,Bulgaria,Midfielder,27/06/1959
David Ribeiro,Brazil,Forward,23/04/1998
Victor Deniran,Nigeria,Midfielder,27/05/1990
Atanas Dimitrov,Bulgaria,Midfielder,17/04/1992
Ivan Dimitrov,Bulgaria,Goalkeeper,17/10/1988
Kristiyan Dimitrov,Bulgaria,Midfielder,16/04/1993
Zdravko Dimitrov,Bulgaria,Midfielder,24/08/1998
Martin Dimov,Bulgaria,Defender,01/03/1986
Kiril Dinchev,Bulgaria,Defender,08/05/1989
Valeri Domovchiyski,Bulgaria,Forward,05/10/1986
Iskandar Dzhalilov,Tajikistan,Defender,01/06/1992
Trevor Elhi,Estonia,Defender,11/04/1993
Atanas Fidanin,Bulgaria,Defender,09/08/1986
Roberto Floriano,Italy,Forward,14/08/1986
Apostol Furxhiu,Greece,Midfielder,14/12/1995
Kostadin Gadzhalov,Bulgaria,Defender,20/07/1989
Daniel Gadzhev,Bulgaria,Midfielder,21/06/1985
Petko Ganev,Bulgaria,Defender,17/09/1996
Ivan Gemedzhiev,Bulgaria,Forward,12/07/1974
Daniel Genov,Bulgaria,Midfielder,19/05/1989
Asen Georgiev,Bulgaria,Defender,09/07/1993
Dimitar Georgiev,Bulgaria,Forward,09/02/1992
Ivo Georgiev,Bulgaria,Midfielder,12/05/1972
Nayden Georgiev,Bulgaria,Midfielder,10/11/1989
Radoslav Georgiev,Bulgaria,Defender,14/01/1992
Spas Georgiev,Bulgaria,Midfielder,21/06/1992
Todor Gochev,Bulgaria,Defender,15/04/1993
Ivo Harizanov,Bulgaria,Defender,07/01/1987
Nikolay Hristov,Bulgaria,Midfielder,01/08/1989
Iliya Iliev,Bulgaria,Midfielder,20/12/1974
Konstantinos Iliev,Bulgaria,Defender,02/08/2003
Slavcho Iliev,Bulgaria,Midfielder,13/11/1968
Evlogi Iordanov,Bulgaria,Midfielder,05/07/1941
Deyan Ivanov,Bulgaria,Defender,12/04/1996
Dimitar Ivanov,Bulgaria,Goalkeeper,31/12/1991
Ivan Ivanov,Bulgaria,Defender,25/02/1988
Ivan Ivanov,Bulgaria,Midfielder,13/08/1992
Kiril Ivanov,Bulgaria,Midfielder,1989
Mariyan Ivanov,Bulgaria,Defender,10/07/1990
Mihail Ivanov,Bulgaria,Goalkeeper,07/08/1989
Simeon Ivanov,Bulgaria,Defender,08/02/1990
Vlado Ivanov,Bulgaria,Forward,15/07/1993
Chavdar Ivaylov,Bulgaria,Midfielder,09/07/1996
Jairo,Brazil,Defender,31/12/1992
Georgi Kakalov,Bulgaria,Forward,18/07/1984
Vasil Kaloyanov,Bulgaria,Forward,13/07/1988
Evgeni Kamenov,Bulgaria,Forward,07/10/1943
Georgi Kamenov,Bulgaria,Forward,09/09/1941
Petar Kamenov,Bulgaria,Defender,
Kassio,Italy,Midfielder,14/09/1992
Martin Kavdanski,Bulgaria,Defender,13/02/1987
Petar Kenashki,Bulgaria,Midfielder,
Ventsislav Kerchev,Bulgaria,Defender,02/06/1997
Georgi Kichukov,Bulgaria,Midfielder,08/03/1976
Aleksandar Kirov,Bulgaria,Forward,25/10/1990
Serhiy Kochvar,Ukraine,Defender,20/09/1968
Ivan Kokonov,Bulgaria,Forward,17/08/1991
Ivan Kolev,Bulgaria,Forward,15/10/1995
Branimir Kostadinov,Bulgaria,Forward,04/03/1989
Krasimir Kostov,Bulgaria,Goalkeeper,11/02/1995
Nikolay Kostov,Bulgaria,Forward,02/07/1963
Martin Kovachev,Bulgaria,Defender,12/03/1982
Nikolai Krastev,Bulgaria,Goalkeeper,06/12/1996
Ruslan Kuang,Bulgaria,Defender,25/10/1985
Dzihat Kyamil,Bulgaria,Midfielder,04/08/1989
Yulian Levashki,Bulgaria,Goalkeeper,02/03/1981
Ignacio Lores,Uruguay,Midfielder,26/04/1991
Ludmil Lotov,Bulgaria,Midfielder,
Angel Lyaskov,Bulgaria,Defender,18/03/1998
Aleksandar Lyubenov,Bulgaria,Goalkeeper,11/02/1995
Valentin Maldjanski,Bulgaria,Defender,24/11/1951
Ivo Malinov,Bulgaria,Defender,29/01/1993
Ratko Mandic,Serbia,Defender,11/10/1992
Alessandro Marchetti,Italy,Defender,13/05/1988
Miroslav Marinov,Bulgaria,Midfielder,
Nikolay Marinov,Bulgaria,Midfielder,04/11/1989
Simeon Mechev,Bulgaria,Defender,16/03/1990
Ivaylo Mihaylov,Bulgaria,Midfielder,18/01/1991
Kiril Mihaylov,Bulgaria,Forward,13/02/1986
Iliya Milanov,Bulgaria,Defender,19/02/1992
Mihail Milchev,Bulgaria,Defender,18/06/1988
Krasi Milev,Bulgaria,Midfielder,1995
Martin Milkov,Bulgaria,Defender,25/12/1999
Georgi Mirchev,Bulgaria,Forward,26/06/1992
Konstantin Mirchev,Bulgaria,Midfielder,24/07/1978
Hristo Mitov,Bulgaria,Goalkeeper,24/01/1985
Raif Muradov,Bulgaria,Defender,10/12/1993
Alassane N'Diaye,France,Midfielder,25/02/1990
Tihomir Naydenov,Bulgaria,Defender,25/03/1986
NenÃ©m,Brazil,Midfielder,20/09/1986
Rumen Nenov,Bulgaria,Goalkeeper,29/12/1968
Yulian Nenov,Bulgaria,Forward,17/11/1994
Nikolay Nikolov,Bulgaria,Midfielder,21/05/1985
Anton Ognyanov,Bulgaria,Midfielder,30/06/1988
Andriy Parkhomenko,Ukraine,Defender,27/12/1971
Dmytro Parkhomenko,Ukraine,Defender,24/10/1978
David Penchev,Bulgaria,Defender,10/11/1991
Ivan Penev,Bulgaria,Defender,24/06/1993
Nikolai Penkov,Bulgaria,Defender,17/12/1947
Dimitar Petkov,Bulgaria,Midfielder,24/08/1987
Pavel Petkov,Bulgaria,Forward,26/06/1990
Vesko Petkov,Bulgaria,Defender,11/05/1952
Anton Petrov,Bulgaria,Defender,11/03/1985
Lyuboslav Petrov,Bulgaria,Midfielder,1993
Mihail Petrov,Bulgaria,Midfielder,01/07/1986
Giuseppe Pira,Italy,Defender,13/07/1992
Hristo Popadiyn,Bulgaria,Defender,06/01/1994
Apostol Popov,Bulgaria,Defender,22/12/1982
Ivan Pritargov,Bulgaria,Forward,15/09/1952
Ivaylo Radentsov,Bulgaria,Midfielder,29/05/1983
Kiril Raikov,Bulgaria,Forward,20/10/1944
Rumen Rangelov,Bulgaria,Forward,30/11/1985
Vladislav Romanov,Bulgaria,Midfielder,07/02/1988
Denis Rusinov,Bulgaria,Forward,08/08/2002
Martin Sandov,Bulgaria,Midfielder,31/07/1995
Darko SaviÄ,Serbia,Defender,19/01/1979
Svetlin Simeonov,Bulgaria,Midfielder,24/08/1975
Valentin Stanchev,Bulgaria,Forward,25/10/1968
Pavel Stanev,Bulgaria,Goalkeeper,27/10/1986
Aleksandr StanisavljeviÄ,Serbia,Defender,27/01/1998
Emil Stoev,Bulgaria,Midfielder,17/01/1996
Georgi Stoichkov,Bulgaria,Midfielder,27/05/1994
Tsvetan Tasev,Bulgaria,Goalkeeper,
Yordan Terziev,Bulgaria,Defender,20/07/1976
Dimitar Todorov,Bulgaria,Defender,08/11/1996
Ivailo Todorov,Bulgaria,Defender,01/01/1994
Tom,Brazil,Midfielder,23/07/1985
Valentin Tomov,Bulgaria,Midfielder,14/05/1996
Boris Tonchev,Bulgaria,Midfielder,1993
Tsvetelin Tonev,Bulgaria,Forward,03/01/1992
Veselin Toshkov,Bulgaria,Midfielder,01/04/1953
Todor Trayanov,Bulgaria,Midfielder,30/05/1995
Trayan Trayanov,Bulgaria,Defender,03/08/1987
Tsvetomir Tsankov,Bulgaria,Goalkeeper,06/06/1984
Angel Tsenov,Bulgaria,Defender,03/02/1947
Mitko Tsenovski,Bulgaria,Midfielder,04/06/1984
Radoslav Tsonev,Bulgaria,Midfielder,29/04/1995
Valeri Tsvetanov,Bulgaria,Midfielder,22/04/1957
Kaloyan Tsvetkov,Bulgaria,Midfielder,21/10/1988
Veselin Tsvetkovski,Bulgaria,Goalkeeper,08/03/1989
Edgar Tur,Estonia,Defender,28/12/1996
Vladislav Uzunov,Bulgaria,Midfielder,25/05/1991
Georgi Valchev,Bulgaria,Midfielder,07/03/1991
Svetoslav Valeriev,Bulgaria,Midfielder,03/03/1988
Iliya Valov,Bulgaria,Goalkeeper,29/12/1961
Rosen Vankov,Bulgaria,Defender,21/03/1985
Andreas Vasev,Bulgaria,Forward,01/03/1991
