Name,Country,Position,Born
Vitaliy Abramov,Russia,Midfielder,12/07/1974
Roman Adamov,Russia,Forward,21/06/1982
Julius Aghahowa,Nigeria,Forward,12/02/1982
Alan Patrick,Brazil,Midfielder,13/05/1991
Alex Teixeira,Brazil,Midfielder,06/01/1990
Marian AliuÅ£Ä,Romania,Midfielder,04/02/1978
Aleksandr Alpatov,Ukraine,Midfielder,07/03/1927
Dmytro Antonyuk,Ukraine,Defender,04/10/1986
Giorgi Arabidze,Georgia,Forward,04/03/1998
Serhiy Atelkin,Ukraine,Forward,08/01/1972
Olexandr Babiy,Ukraine,Defender,09/07/1968
Aleksey Bakharev,Russia,Midfielder,12/10/1976
Cosmin BÄrcÄuan,Romania,Defender,05/08/1978
Oleg Bazilevich,Ukraine,Forward,06/07/1938
Yuriy Belichenko,Ukraine,Midfielder,13/12/1964
Oleksiy Belik,Ukraine,Forward,15/02/1981
Vladimir Belousov,Ukraine,Defender,14/06/1947
Yuriy Benyo,Ukraine,Defender,25/04/1974
Bernard,Brazil,Midfielder,08/09/1992
Gustavo Blanco Leschuk,Argentina,Forward,05/11/1991
Sergiy Bolbat,Ukraine,Midfielder,13/06/1993
Valeriy Bondar,Ukraine,Defender,27/02/1999
Artem Bondarenko,Ukraine,Midfielder,21/08/2000
Valeriy Bondarenko,Ukraine,Defender,03/02/1994
Stanislav Bondarev,Russia,Defender,28/06/1968
Andriy Boryachuk,Ukraine,Forward,23/04/1996
Aleksey Botviniev,Russia,Goalkeeper,25/06/1981
BrandÃ£o,Brazil,Forward,16/06/1980
Evgeni Bredun,Ukraine,Midfielder,10/09/1982
Bruno Renan,Brazil,Midfielder,19/04/1991
Pylyp Budkovsky,Ukraine,Forward,10/03/1992
Bogdan Butko,Ukraine,Defender,13/01/1991
Nery Castillo,Mexico,Midfielder,13/06/1984
Viktor Chanov,Ukraine,Goalkeeper,21/07/1959
Vyacheslav Chanov,Ukraine,Goalkeeper,23/10/1951
Dmitro Chigrinskiy,Ukraine,Defender,07/11/1986
Giorgi Chikhradze,Georgia,Defender,01/10/1967
Daniel ChiriÅ£Ä,Romania,Defender,24/03/1974
Oleksandr Chizhov,Ukraine,Midfielder,10/08/1986
Oleksandr Chyzhevskyi,Ukraine,Defender,27/05/1971
DamiÃ¡n,Brazil,Defender,27/07/1974
Oleg Danchenko,Ukraine,Midfielder,01/08/1994
Sergei Datsenko,Ukraine,Defender,10/12/1977
Yuriy Degtyarev,Ukraine,Goalkeeper,05/10/1948
Dentinho,Brazil,Forward,19/01/1989
Marko DeviÄ,Ukraine,Forward,27/10/1983
DodÃ´,Brazil,Defender,17/11/1998
Viktor Dotsenko,Ukraine,Defender,10/12/1975
Douglas Costa,Brazil,Forward,14/09/1990
Yevhen Drahunov,Ukraine,Defender,13/02/1964
Serhiy Dranov,Ukraine,Forward,01/09/1977
Yuriy Dudinsky,Ukraine,Defender,27/03/1951
Igor Duljaj,Serbia,Midfielder,29/10/1979
Igor Duts,Ukraine,Defender,11/04/1994
Eduardo,Croatia,Forward,25/02/1983
Elano,Brazil,Midfielder,14/06/1981
Roman Emelyanov,Russia,Midfielder,08/05/1992
Artem Fedetskiy,Ukraine,Defender,26/04/1985
Andrey Fedkov,Russia,Forward,04/07/1971
Nikolay Fedorenko,Ukraine,Midfielder,31/07/1955
Fernandinho,Brazil,Midfielder,04/05/1985
Fernando,Brazil,Midfielder,03/03/1992
Fernando,Brazil,Forward,01/03/1999
Facundo Ferreyra,Argentina,Forward,14/03/1991
Daniel Florea,Romania,Defender,18/12/1975
Yuriy Fokin,Ukraine,Midfielder,03/01/1966
Ruslan Fomin,Ukraine,Forward,02/03/1986
Viktor Fomin,Ukraine,Forward,13/01/1929
Fred,Brazil,Midfielder,05/03/1993
Volodymyr Gavrilov,Ukraine,Goalkeeper,16/07/1960
Oleksiy Gay,Ukraine,Midfielder,06/11/1982
Aleksandr Gaydash,Ukraine,Forward,07/08/1967
Sergey Gerasimets,Belarus,Midfielder,13/10/1965
Igor Gjuzelov,North Macedonia,Defender,02/04/1976
Oleksandr Gladkyi,Ukraine,Forward,24/08/1987
Dainius Gleveckas,Lithuania,Defender,05/03/1977
Valeriy Gorbunov,Ukraine,Defender,13/11/1953
Valeriy Goshkoderia,Ukraine,Defender,01/11/1959
Viktor Grachev,Ukraine,Forward,17/09/1956
Dmytro Grechyshkin,Ukraine,Midfielder,22/09/1991
Sergiy Gryn,Ukraine,Forward,06/06/1994
Yevgen Grytsenko,Ukraine,Goalkeeper,05/02/1995
Valeriy Hryshyn,Ukraine,Forward,12/06/1994
TomÃ¡Å¡ HÃ¼bschman,Czech Republic,Defender,04/09/1981
Ilsinho,Brazil,Midfielder,12/10/1985
Maksym Imerekov,Ukraine,Defender,23/01/1991
Mikola Ishchenko,Ukraine,Defender,09/03/1983
Ismaily,Brazil,Defender,11/01/1990
Ivan,Brazil,Defender,18/01/1982
JÃ¡dson,Brazil,Midfielder,05/10/1983
JoÃ£o Batista,Turkey,Midfielder,04/03/1975
Milan JovanoviÄ,Serbia,Forward,18/04/1981
JÃºnior Moraes,Ukraine,Forward,04/04/1987
Tsimafei Kalachev,Belarus,Midfielder,01/05/1981
Andrey Kanchelskis,Russia,Midfielder,23/01/1969
Anton Kanibolotskiy,Ukraine,Goalkeeper,16/05/1988
Oleg Karamushka,Ukraine,Defender,30/04/1984
Oleksandr Karavayev,Ukraine,Midfielder,02/06/1992
Oleh Kastornyi,Ukraine,Defender,29/08/1970
Olarenwaju Kayode,Nigeria,Forward,08/05/1993
Vitaliy Khmelnitskiy,Ukraine,Forward,12/06/1943
Yaroslav Khoma,Ukraine,Midfielder,17/02/1974
Davit Khotcholava,Georgia,Defender,08/02/1993
Rustam Khudzhamov,Ukraine,Goalkeeper,05/10/1982
Igor Kiryukhantsev,Ukraine,Defender,29/01/1996
Vasiliy Kobin,Ukraine,Defender,24/05/1985
Serhiy Kochvar,Ukraine,Defender,20/09/1968
Viktor Kondratov,Ukraine,Defender,10/05/1952
Anatoliy Konkov,Ukraine,Defender,19/09/1949
