Name,Country,Position,Born
Amodou Abdullei,Nigeria,Forward,20/12/1987
Alessandro Abruscia,Italy,Midfielder,12/07/1990
Yannick Agro,France,Forward,15/05/1988
Ahrens,Germany,Forward,
Frank Ahrens,Germany,Midfielder,27/10/1963
Cem Albayrak,Germany,Forward,20/03/1971
Ralf AllgÃ¶wer,Germany,Midfielder,04/04/1964
Zeynel Anil,Turkey,Goalkeeper,05/03/1985
Alan Arnautovic,Germany,Goalkeeper,10/06/1989
Arnold,Germany,Forward,
Marc Arnold,Germany,Midfielder,19/09/1970
Peter Assion,Germany,Defender,24/08/1959
Max Aubele,Germany,Forward,25/11/1912
Werner Aubele,Germany,Forward,
Ayoze PÃ©rez,Spain,Midfielder,02/10/1986
Erkan Ayten,Turkey,Forward,26/04/1979
Maximilian Bachl-Staudinger,Germany,Midfielder,01/12/1990
Alper Bagceci,Germany,Midfielder,16/04/1984
Hermann-Dieter Baka,France,Forward,14/08/1992
Tufan Balmuk,Turkey,Forward,15/01/1984
Benjamin Barth,Germany,Midfielder,23/06/1984
Timo Barwan,Germany,Midfielder,29/03/1994
Adrian Beck,Germany,Midfielder,09/06/1997
Werner Behr,Germany,Defender,07/05/1953
Horst Beichter,Germany,Forward,30/03/1940
Markus Beierle,Germany,Forward,02/06/1972
Josef Beller,Germany,Forward,18/05/1954
Uwe Beran,Germany,Midfielder,06/09/1989
Armin Berchtold,Germany,Midfielder,31/12/1962
GÃ¼nter Berti,Germany,Defender,31/07/1955
Holger Betz,Germany,Goalkeeper,16/05/1978
Deniz Bihr,Turkey,Forward,07/08/1998
Karl Bilgeri,Germany,Forward,
Robert Birghan,Germany,Midfielder,29/08/1972
Kevin Birk,Germany,Goalkeeper,25/12/1991
Robert Birner,Germany,Forward,16/02/1958
August Bochtler,Germany,Defender,17/09/1941
BÃ¶ck,Germany,Forward,
Maximilian BÃ¶ck,Germany,Goalkeeper,21/10/1998
TamÃ¡s BÃ³dog,Hungary,Defender,27/09/1970
Hartmut Bohnacker,Germany,Goalkeeper,27/01/1958
Roland Boley,Germany,Defender,13/03/1958
Georg Bollinger,Germany,Forward,
Bolz,Germany,Defender,
Ulrich BÃ¶pple,Germany,Midfielder,22/03/1963
Zvonimir Borac,Croatia,Defender,22/09/1997
Domenico Botta,Germany,Forward,27/11/1987
Tino Bradara,Germany,Defender,12/12/1997
David Braig,Germany,Forward,22/07/1991
Georg Braun,Germany,Goalkeeper,
Anton Brunnenkan,Germany,Forward,
Georg Buck,Germany,Forward,28/12/1932
Claus BÃ¼ckle,Germany,Defender,05/04/1987
Ufuk Budak,Azerbaijan,Defender,26/05/1990
Hubert Burger,Germany,Defender,18/10/1936
Dragan Buterin,Croatia,Midfielder,25/10/1971
Zlatan Cajkovski,Serbia,Midfielder,03/08/1954
Luigi Campagna,Italy,Midfielder,11/12/1989
Toni Carfagna,Germany,Forward,22/04/1997
Volkan Celiktas,Turkey,Midfielder,20/10/1995
Radomir ChÃ½lek,Czech Republic,Forward,26/03/1967
Waldemar Cimander,Poland,Goalkeeper,27/05/1955
Burak Coban,Germany,Midfielder,07/11/1994
Gioacchino Colletti,Italy,Forward,24/11/1984
Miguel Coulibaly,Senegal,Forward,15/10/1972
Alexander Cvijanovic,Croatia,Forward,23/02/1995
Czerwinka,Germany,,
Gianluca D'Onofrio,Germany,Midfielder,21/01/1997
Herbert Dannenmeier,Germany,Midfielder,11/05/1926
DÃ¤ubler,Germany,Forward,
Ortwin DeiÃler,Germany,Midfielder,30/03/1938
Rolf DeiÃler I,Germany,Midfielder,24/12/1935
Marco della Schiava,Germany,Midfielder,25/07/1965
Ãnal Demirkiran,Turkey,Midfielder,24/06/1979
Michael Deuerling,Germany,Forward,12/02/1962
Michael Deutsche,Germany,Midfielder,01/04/1992
Dick,Germany,Midfielder,
Berthold Dick,Germany,Forward,23/12/1961
Karl Dornhecker,Germany,Midfielder,07/04/1928
Goran ÄukanoviÄ,Serbia,Defender,01/01/1972
Hans Eberle,Germany,Defender,28/09/1925
Markus Ebner,Germany,Defender,30/05/1964
Felix Eckardt,Germany,Defender,29/01/1985
Wolfgang Egle,Germany,Forward,23/08/1953
Eissler,Germany,Defender,
Morad El Wardi,Italy,Forward,01/08/1994
Gerell Elliott,USA,Midfielder,11/05/1970
Lars Ellmerich,Germany,Midfielder,02/01/1961
Frank Elser,Germany,Midfielder,05/10/1958
Heinz Elzner,Germany,Defender,04/12/1928
Sascha Endres,Germany,Defender,25/09/1989
Rolf Engel,Germany,Forward,29/01/1935
Joachim Engesser,Germany,Midfielder,18/11/1963
Serdar Erdinc,Germany,Forward,19/01/1979
Manuel Evens,Germany,Defender,02/02/1993
Wolfgang Fahrian,Germany,Goalkeeper,31/05/1941
Hans Faltermeier,Germany,Defender,18/10/1932
Wolfgang FÃ¤rber,Germany,Goalkeeper,18/09/1958
Pierre Fassnacht,Germany,Defender,26/01/1996
Marian Fedor,Slovakia,Goalkeeper,14/09/1980
Adis FerhatoviÄ,Bosnia-Herzegovina,Goalkeeper,12/03/1980
Wolfgang Fisel,Germany,Forward,28/12/1963
Harald Forderer,Germany,Midfielder,20/09/1960
Simon Frank,Germany,Defender,22/05/1991
Marco Franke,Germany,Defender,20/01/1978
Markus Fransewitz,Germany,Goalkeeper,14/09/1989
Kai Fritz,Germany,Goalkeeper,19/06/1989
Matthias Fritz,Germany,Midfielder,29/11/1969
GÃ¼nther Fromm,Germany,Midfielder,30/09/1959
Nico Frommer,Germany,Forward,08/04/1978
Jannik Froschauer,Germany,Forward,22/06/1991
Albano Gashi,Germany,Midfielder,14/01/1995
Ljubisa Gavric,Serbia,Defender,19/09/1990
Jonas Gebauer,Germany,Goalkeeper,14/04/1995
Maximilian Gebert,Germany,Midfielder,24/12/1990
Erich Geier,Germany,Forward,23/10/1929
