Name,Country,Position,Born
Ted Andrade,France,Forward,01/01/1988
Boubacar Barry,Guinea,Midfielder,19/11/1978
Younes Bellali,Morocco,Defender,31/05/1991
Azziz Belliche,France,Midfielder,04/03/1995
Ikbal Ben Khalfallah,France,Midfielder,13/03/1973
Franck Berton,France,Midfielder,03/05/1974
Jean-Marc Bosman,Belgium,Midfielder,30/10/1964
Anthony Boucher,France,Midfielder,05/11/1990
ClÃ©ment Boudjema,France,Midfielder,26/12/1996
Julien Bourleux,France,Defender,01/08/2001
Jessy Cambrone,France,Midfielder,01/01/1989
Ãzkan Ãetiner,Turkey,Forward,25/11/2000
Hubert Charpentier,France,Goalkeeper,14/10/1982
GrÃ©gory Choquenet,France,Goalkeeper,06/01/1986
StÃ©phane Clary,France,Defender,02/05/1972
Philippe Col,France,Defender,14/06/1956
Maxime Deligny,France,Defender,
Samuel Denimal,France,Defender,01/01/1987
StÃ©phane Denivet,France,Forward,20/02/1982
Eric Denizart,France,Defender,10/06/1966
Esteban Desvignes,France,Forward,21/01/2002
Aly Dia,Senegal,Forward,20/08/1965
Simon Dia,France,Forward,17/07/1992
Mohamed Adama Diao,Senegal,Midfielder,11/11/1982
Cyril Do Nascimento,France,Midfielder,
Christophe Dobrzynski,France,Midfielder,30/07/1976
Thierry Dobrzynski,France,Defender,
Yanis Dokoula,Central Afr. Republic,Midfielder,04/10/1994
BenoÃ®t DollÃ©,France,Defender,
SÃ©bastien Dos Santos,France,Forward,
Nicolas Douillet,France,Midfielder,03/08/1980
Mohamed Fall,France,Forward,17/07/1989
FrÃ©dÃ©ric Formeaux,France,Forward,10/02/1982
Yanis Galas,Guadeloupe,Forward,21/01/1986
Michel Gaye,Ivory Coast,Forward,24/12/1990
Arnaud Genty,France,Goalkeeper,29/05/1973
Lazare Gianessi,France,Defender,09/11/1925
Franck Gury,France,Forward,27/03/1964
Benjamin HÃ©din,France,Midfielder,02/06/1989
MickaÃ«l Hoy,France,Midfielder,19/09/1970
Matthieu Hucliez,France,Goalkeeper,26/08/1995
Gracia Ikouma Epogo,Gabon,Forward,24/12/1989
Johan Jacquesson,France,Forward,25/05/1974
Alfousseyni Jallow,France,Forward,05/12/1990
Patrice Kervarrec,France,Forward,07/03/1948
MickaÃ«l Lamamy,France,Defender,01/11/1993
Guillaume Langlet,France,Defender,20/11/1983
Corenthyn Lavie,France,Forward,04/12/1996
Raymond LefÃ¨bvre,France,Defender,
Romain Lefevre,France,Defender,
Eric Leroy,France,Goalkeeper,03/12/1959
Loic Lonfier,France,Defender,01/08/2000
Benjamin Lorain,France,Forward,
Martin Lucas,France,Midfielder,08/04/2000
Christophe Luissint,Guadeloupe,Midfielder,12/01/1976
HervÃ© Lybohy,Ivory Coast,Defender,23/07/1983
Amat M'BenguÃ©,France,Defender,31/07/1984
Christophe MariÃ©,France,Forward,23/09/1975
Franck Mary,France,Goalkeeper,10/04/1964
Willy Mbenda,Cameroon,Forward,09/01/1986
Mouloud Meghezel,France,Midfielder,23/08/1992
Alex MendÃ©s,France,Goalkeeper,14/08/1992
Quentin Mielcarek,France,Goalkeeper,06/05/2001
Billy Modeste,France,Defender,12/05/1988
StÃ¨phane Mortreux,France,Forward,24/04/1976
Rachid Mourabit,France,Midfielder,06/08/1987
MickaÃ«l Mysliewietz,France,Forward,14/01/1968
Dorian N'Goma,France,Forward,15/05/1988
KouamÃ© N'Guessan,Mali,Forward,05/02/1995
Duckens Nazon,Haiti,Forward,07/04/1994
Mamadou Niang,Senegal,Forward,05/06/1987
Franck Nioby,Congo,Forward,24/06/1996
Florian Olivier,France,Midfielder,02/08/1985
GÃ©rard Olouman,France,Forward,
Pierre-Ange Omombe,France,Forward,09/05/1995
Ndubuisi Osaje,France,Defender,07/10/1986
Damien Ott,France,Defender,12/09/1965
Benjamin Pasguay,France,Defender,10/01/1995
Fabrice Peltier,France,Defender,17/02/1957
Mathieu Perlot,France,Midfielder,26/04/1986
Manuel Pires,France,Defender,17/12/1970
Valentin PrÃ©vost,France,Goalkeeper,28/12/1994
Pascal Prince,France,Defender,10/01/1960
Jeffrey Quarshie,France,Forward,11/07/1991
Xavier QuÃ©rel,France,Goalkeeper,23/01/1974
JÃ©rÃ©my Romanjko,France,Defender,24/08/1984
Alexander Rougeot,France,Forward,20/10/1996
LoÃ¯c Samour,France,Midfielder,01/01/1983
Anthony Savigny,Belgium,Defender,25/05/1975
Arnaud Schmitt,France,Goalkeeper,02/09/1980
Abdoul SidibÃ©,Senegal,Defender,02/01/1993
StÃ©phane Solomenko,France,Forward,14/11/1960
Bryan SoumarÃ©,France,Midfielder,11/02/1999
Mansour Sy,France,Midfielder,16/10/1997
BirantÃ© Sylla,Mali,Midfielder,04/04/1985
Lassana Sylla,France,Defender,
Youssef Sylla,France,Midfielder,17/10/1990
Daniel TitiÃ©,France,Defender,31/05/1991
Didier Toffolo,France,Defender,20/02/1959
Thomas Topornicki,France,Defender,27/10/1995
Karim TourÃ©,France,Midfielder,18/05/1991
Olivier Ulf,France,Goalkeeper,19/09/1973
Jordan Vercleyen,France,Midfielder,07/02/1994
Melvyn Vercleyen,France,Midfielder,18/05/1999
MickaÃ«l Vitse,France,Goalkeeper,13/06/1979
Bagdad Yakhou,France,Forward,07/07/1979
Camal Youssoufa M'madi,Comoros,Midfielder,03/11/1994
Farid Zengour,France,Forward,02/01/1978
