Name,Country,Position,Born
Alessandro da Silva,Brazil,Midfielder,07/11/1970
Enis Alushi,Kosovo,Midfielder,22/12/1985
Martin Amedick,Germany,Defender,06/09/1982
Christopher Antwi-Adjei,Ghana,Midfielder,07/02/1994
Andreas Asche,Germany,Goalkeeper,01/02/1960
JÃ©rÃ´me Assauer,Germany,Forward,06/06/1988
Alexander Bade,Germany,Goalkeeper,25/08/1970
Bahle,Germany,Midfielder,
Marvin Bakalorz,Germany,Midfielder,13/09/1989
Essele Bakasu,Congo DR,Defender,13/03/1975
Daouda Bangoura,Croatia,Forward,29/04/1968
Serdar Bayrak,Turkey,Forward,27/08/1985
Thorsten Becker,Germany,Defender,13/05/1980
Ali Beckstedde,Germany,Midfielder,13/03/1962
Cyrille Bella,Cameroon,Forward,11/06/1975
Klaus Bergter,Germany,Midfielder,11/04/1953
Peter Berhorst,Germany,Midfielder,29/03/1978
Thomas Bertels,Germany,Forward,05/11/1986
Tom Bertram,Germany,Defender,30/03/1987
Christian Bickel,Germany,Midfielder,27/01/1991
Dominik Bilogrevic,Germany,Midfielder,02/01/1999
Lukas Boeder,Germany,Defender,18/04/1997
ÃÃ³rÃ°ur Bogason,Iceland,Midfielder,15/07/1969
Dragan Bogavac,Montenegro,Forward,07/04/1980
Daniel Bogdanovic,Serbia,Defender,28/02/1981
Markus Bollmann,Germany,Defender,06/01/1981
Danko Boskovic,Germany,Forward,27/01/1982
Baldur Bragason,Iceland,Midfielder,29/05/1968
Jonas Brammen,Germany,Goalkeeper,19/07/1997
SÃ¶ren Brandy,Germany,Forward,06/05/1985
Marc BraÅ¡niÄ,Croatia,Forward,21/10/1996
JÃ¶rg BrÃ¤uer,Germany,Defender,29/06/1969
Daniel Brinkmann,Germany,Midfielder,29/01/1986
Till Brinkmann,Germany,Goalkeeper,01/11/1995
Willi Brock,Germany,Goalkeeper,08/04/1952
Oliver Brocke,Germany,Midfielder,15/01/1986
Thomas BrÃ¶ker,Germany,Forward,22/01/1985
Roel Brouwers,Netherlands,Defender,28/11/1981
Daniel BrÃ¼ckner,Germany,Midfielder,14/02/1981
Hans JÃ¶rg BrÃ¼ckner,Germany,Midfielder,31/07/1970
Leon BrÃ¼ggemeier,Germany,Goalkeeper,23/08/1997
Daniel BÃ¼cker,Germany,Midfielder,22/10/1976
Albert Bunjaku,Kosovo,Forward,29/11/1983
Nico Burchert,Germany,Goalkeeper,24/06/1987
Giuseppe Canale,Belgium,Midfielder,17/03/1977
Guerino Capretti,Germany,Defender,05/02/1982
Daniel Cartus,Germany,Midfielder,02/09/1978
Cauly,Brazil,Midfielder,15/09/1995
JÃ©rÃ´me Colinet,Belgium,Midfielder,26/04/1983
Jamilu Collins,Nigeria,Defender,05/08/1994
Nejmeddin Daghfous,Germany,Forward,01/10/1986
Jovan DamjanoviÄ,Serbia,Forward,04/10/1982
David Danne,Germany,Midfielder,11/05/1981
Dieter Dannenberg,Germany,Forward,04/07/1959
Soner Dayangan,Germany,Forward,17/01/1979
Garry De Graef,Belgium,Midfielder,21/10/1974
Zlatko DediÄ,Slovenia,Forward,05/10/1984
Diego Demme,Germany,Midfielder,21/11/1991
Semir Devoli,Bosnia-Herzegovina,Midfielder,03/12/1976
Antonio di Salvo,Germany,Forward,05/06/1979
Rachid Djebaili,France,Forward,26/04/1975
Lionel Djebi-Zadi,France,Defender,20/05/1982
Dusko Djurisic,Serbia,Defender,20/12/1977
Nikolaos Dobros,Germany,Midfielder,24/05/1993
Pavel DobrÃ½,Czech Republic,Forward,01/02/1976
HÃ¼zeyfe Dogan,Germany,Midfielder,01/01/1981
Norbert DÃ¶litzsch,Germany,Midfielder,24/05/1955
Georgi Donkov,Germany,Forward,02/06/1970
Johannes DÃ¶rfler,Germany,Forward,23/08/1996
Nils DÃ¶ring,Germany,Defender,23/04/1980
Pavel Dotchev,Bulgaria,Defender,28/09/1965
Mohamed DrÃ¤ger,Tunisia,Midfielder,25/06/1996
Mehmet Dragusha,Albania,Midfielder,09/10/1977
Werner Drews,Germany,Midfielder,26/04/1955
Martin Driller,Germany,Forward,02/01/1970
Felix Drinkuth,Germany,Forward,20/10/1994
Marvin Ducksch,Germany,Forward,07/03/1994
Julius DÃ¼ker,Germany,Forward,04/01/1996
Bernd Eigner,Germany,Defender,01/05/1972
Steffen Enge,Germany,Forward,08/12/1965
