Name,Country,Position,Born
Sandro Altunashvili,Georgia,Midfielder,19/05/1997
Bachana Arabuli,Georgia,Forward,05/01/1994
Ilia Beroshvili,Georgia,Defender,02/02/1996
Irakli Bidzinashvili,Georgia,Midfielder,27/02/1997
Julius Bliek,Netherlands,Defender,09/06/1994
Giorgi Bukhaidze,Georgia,Forward,09/12/1991
Omar Bulukhadze,Georgia,Defender,04/03/1998
Carrasco,Spain,Defender,27/01/1988
Grigol Chabradze,Georgia,Defender,20/04/1996
Giorgi Chochishvili,Georgia,Goalkeeper,07/05/1998
Temur Chogadze,Georgia,Forward,05/05/1998
Giorgi Diasamidze,Georgia,Midfielder,20/02/1992
Jaba Dvali,Georgia,Forward,08/02/1985
Giorgi Gabedava,Georgia,Forward,03/10/1989
Nika Ghlonti,Georgia,Midfielder,06/06/1999
Vagner Goncalves,France,Forward,27/04/1996
Tornike Gorgiashvili,Georgia,Midfielder,27/04/1988
Oto Goshadze,Georgia,Goalkeeper,13/01/1997
Guram Goshteliani,Georgia,Forward,05/01/1997
Revaz Gotsiridze,Georgia,Forward,17/01/1981
Tedore Grigalashvili,Georgia,Defender,12/05/1993
Giorgi Guliashvili,Georgia,Forward,05/09/2001
Beka Gvaradze,Georgia,Midfielder,11/08/1997
Nodar Iashvili,Georgia,Midfielder,24/01/1993
Davit Jikia,Georgia,Forward,10/01/1995
Jemali-Giorgi Jinjolava,Georgia,Defender,28/06/2000
Juanfri,Spain,Forward,01/10/1989
Levan Kakubava,Georgia,Defender,15/10/1990
Levan Kenia,Georgia,Midfielder,18/10/1990
Giorgi Kharaishvili,Georgia,Midfielder,29/07/1996
Giorgi Khorkheli,Georgia,Midfielder,05/01/1996
Giorgi Kochorashvili,Georgia,Midfielder,29/06/1999
Giorgi Kokhreidze,Georgia,Midfielder,18/11/1998
Lazare Kupatadze,Georgia,Goalkeeper,08/02/1996
Beka Kurdadze,Georgia,Goalkeeper,24/01/1997
Luka Lakvekheliani,Georgia,Defender,20/10/1998
Nikoloz Mali,Georgia,Defender,27/01/1999
Vladimer Mamuchashvili,Georgia,Midfielder,29/08/1997
Gagi Margvelashvili,Georgia,Defender,30/10/1996
Zurab Menteshashvili,Georgia,Midfielder,30/01/1980
Omar Migineishvili,Georgia,Goalkeeper,02/06/1984
Ndue Mujeci,Albania,Forward,24/02/1993
Tsotne Nadaraia,Georgia,Defender,21/02/1997
Goga Naskidashvili,Georgia,Goalkeeper,20/06/1999
Giorgi Pantsulaia,Georgia,Forward,06/01/1994
Giorgi Rekhviashvili,Georgia,Defender,01/02/1988
Giorgi Rekhviashvili,Georgia,Forward,15/04/1986
Ognjen RoloviÄ,Montenegro,Forward,25/08/1993
Irakli Rukhadze,Georgia,Midfielder,28/10/1996
Nika Sandokhadze,Georgia,Defender,20/02/1994
Luka Sanikidze,Georgia,Goalkeeper,19/11/1998
Denis Shelikhov,Ukraine,Goalkeeper,23/06/1989
Lasha Shindagoridze,Georgia,Forward,30/01/1993
Andro Sopromadze,Georgia,Midfielder,25/03/1993
Iuri Tabatadze,Georgia,Defender,29/11/1999
Jemal Tabidze,Georgia,Defender,18/03/1996
Alwyn Tera,Kenya,Midfielder,18/01/1997
Giorgi Tevzadze,Georgia,Defender,25/08/1996
Lasha Totadze,Georgia,Defender,24/08/1988
Rati Tsatskrialashvili,Georgia,Midfielder,11/10/1993
Dachi Tsnobiladze,Georgia,Midfielder,28/01/1994
Giorgi Tvaradze,Georgia,Defender,01/01/1997
Mikheil Vatcharadze,Georgia,Midfielder,09/11/1997
Davit Volkovi,Georgia,Forward,03/06/1995
