Name,Country,Position,Born
Beniamino Abate,Italy,Goalkeeper,10/04/1962
Ignazio Abate,Italy,Midfielder,12/11/1986
Alessandro Abbondanza,Italy,Forward,08/01/1949
Salvatore Accursi,Italy,Defender,03/02/1978
Pietro Adorni,Italy,Defender,26/06/1938
Rabiu Afolabi,Nigeria,Defender,18/04/1980
Alfredo Aglietti,Italy,Forward,16/09/1970
Andrea Agostinelli,Italy,Midfielder,20/04/1957
Massimo Agostini,Italy,Forward,20/01/1964
Antonio Albano,Italy,Midfielder,15/01/1952
Salvatore Albano,Italy,Midfielder,06/07/1950
AlemÃ£o,Brazil,Midfielder,22/11/1961
Giuseppe Alessi,Italy,Midfielder,15/04/1977
Allan,Brazil,Midfielder,08/01/1991
Emanuele Allegra,Italy,Defender,06/05/1994
Massimiliano Allegri,Italy,Midfielder,11/08/1967
JosÃ© Altafini,Brazil,Forward,24/07/1938
Luca Altomare,Italy,Midfielder,14/01/1972
Amedeo Amadei,Italy,Forward,26/07/1921
Amauri,Italy,Forward,03/06/1980
Raffaele Ametrano,Italy,Midfielder,15/02/1973
Massimiliano Ammendola,Italy,Forward,15/05/1990
Nicolas Amodio,Uruguay,Midfielder,10/03/1983
Roberto Amodio,Italy,Defender,20/04/1957
Nicola Amoruso,Italy,Forward,29/08/1974
Armando Anastasio,Italy,Defender,24/07/1996
AndrÃ© Cruz,Brazil,Defender,20/09/1968
Michele Andreolo,Uruguay,Midfielder,06/09/1912
Mariano AndÃºjar,Argentina,Goalkeeper,30/07/1983
Ãngelo Sormani,Brazil,Forward,03/07/1939
Sergio Antoniazzi,Italy,Midfielder,08/11/1959
Antonio Arcadio,Italy,Forward,01/11/1972
Dionisio Arce,Paraguay,Forward,12/06/1927
Pablo Armero,Colombia,Midfielder,02/11/1986
Salvatore Armidoro,Italy,Midfielder,27/10/1955
Salvatore Aronica,Italy,Defender,20/01/1978
Edoardo Artistico,Italy,Forward,16/06/1969
AljoÅ¡a AsanoviÄ,Croatia,Midfielder,14/12/1965
Antonio Asta,Italy,Midfielder,17/11/1970
Mario Astorri,Italy,Forward,07/08/1920
Gaetano Avolio,Italy,Defender,03/01/1982
Roberto Ayala,Argentina,Defender,14/04/1973
Dario Baccin,Italy,Defender,27/08/1976
Roberto Badiani,Italy,Midfielder,09/10/1949
Cristian Baglieri,Italy,Forward,23/03/1974
Salvatore Bagni,Italy,Midfielder,25/09/1956
Francesco Baiano,Italy,Forward,24/02/1968
Fioravante Baldi,Italy,Midfielder,14/01/1913
Francesco Baldini,Italy,Defender,14/03/1974
