Name,Country,Position,Born
Lucas Acevedo,Argentina,Defender,08/11/1991
Jorge Achucarro,Paraguay,Forward,06/11/1981
Juan Acosta,Uruguay,Midfielder,08/05/1957
Lucas Acosta,Argentina,Midfielder,26/01/1988
Walter AcuÃ±a,Argentina,Forward,04/03/1992
Nelson Agoglia,Argentina,Midfielder,10/05/1973
Manuel Aguilar,Argentina,Midfielder,12/09/1969
Pablo Aguilar,Paraguay,Defender,02/04/1987
Lucas Alario,Argentina,Forward,08/10/1992
Gerardo Alcoba,Uruguay,Defender,25/11/1984
Rodrigo Aliendro,Argentina,Midfielder,16/02/1991
Fernando Alloco,Argentina,Defender,30/04/1986
Augusto Ãlvarez,Argentina,Midfielder,01/08/1984
Horacio Ameli,Argentina,Defender,07/07/1974
Edgardo Andrada,Argentina,Goalkeeper,02/01/1939
VÃ­ctor Andrada,Argentina,Midfielder,25/12/1958
Rodolfo Aquino,Argentina,Midfielder,21/07/1974
Marcelo ArgÃ¼ello,Argentina,Forward,19/01/1993
Mauricio Arias,Argentina,Defender,10/10/1990
Osvaldo Arroyo,Argentina,Defender,27/02/1995
Julio Asad,Argentina,Midfielder,07/06/1953
Leonardo Asencio,Argentina,Defender,18/05/1972
Ramon Astudillo,Argentina,Defender,
JoaquÃ­n Aylagas,Argentina,Goalkeeper,15/03/1996
Silvio Azoque,Argentina,Defender,02/09/1976
AndrÃ©s BailÃ³,Argentina,Goalkeeper,06/09/1988
AgustÃ­n Balbuena,Argentina,Forward,01/09/1945
HÃ©ctor Baley,Argentina,Goalkeeper,16/11/1950
MatÃ­as Ballini,Argentina,Midfielder,19/12/1988
Cristian Barinaga,Argentina,Midfielder,30/04/1985
Diego Barrado,Argentina,Midfielder,27/02/1981
Julio Barraza,Argentina,Defender,03/04/1980
Osvaldo Barsottini,Argentina,Defender,25/08/1981
AdriÃ¡n BastÃ­a,Argentina,Midfielder,20/12/1978
Jonathan Bauman,Argentina,Forward,30/03/1991
Juan Bauza,Argentina,Midfielder,03/05/1996
RaÃºl Becerra,Argentina,Forward,01/10/1987
Gerardo Bedoya,Colombia,Midfielder,26/11/1975
Alberto BelÃ©n,Argentina,Midfielder,22/06/1917
Oscar Belinetz,Argentina,Forward,07/01/1995
AgustÃ­n Bellone,Argentina,Defender,02/02/1993
Mauro Bellone,Argentina,Midfielder,03/07/1990
Gonzalo Belloso,Argentina,Forward,30/03/1974
Ismael Benegas,Paraguay,Defender,01/08/1987
Jair BenÃ­tez,Colombia,Defender,12/01/1979
HernÃ¡n Bernardello,Argentina,Midfielder,03/08/1986
CristiÃ¡n Bernardi,Argentina,Midfielder,10/03/1990
Facundo Bertoglio,Argentina,Midfielder,30/06/1990
Conrado Besel,Argentina,Midfielder,27/07/1979
Claudio Biaggio,Argentina,Forward,02/07/1967
