Name,Country,Position,Born
KrisztiÃ¡n AdorjÃ¡n,Hungary,Forward,19/01/1993
Emmanuel Agyemang,Ghana,Midfielder,30/01/1998
Andrea Antonielli,Italy,Defender,31/03/1997
Matteo Arcuri,Italy,Defender,17/02/1997
Marco Bellich,Italy,Defender,05/05/1999
Stefano Beltrame,Italy,Forward,08/02/1993
Elia Benedettini,San Marino,Goalkeeper,22/06/1995
Stefano Besuzzo,Italy,Forward,01/01/1998
Moustapha Beye,Senegal,Defender,06/08/1995
Pierre Bolchini,Italy,Goalkeeper,27/02/1999
Andrea Bolis,Italy,Midfielder,06/01/1997
Dario Bollini,Italy,Forward,16/04/1998
Francesco Bolzoni,Italy,Midfielder,07/05/1989
Davide Bove,Italy,Defender,07/11/1998
Simone Branca,Italy,Midfielder,25/03/1992
Bruno Fernandes,Portugal,Midfielder,08/09/1994
Adam Buksa,Poland,Forward,12/07/1996
Matteo Burbi,Italy,Defender,11/12/1997
Axel Caldirola,Italy,Forward,17/08/1998
Lansana Camara,Guinea,Midfielder,
Saverio Camilli,Italy,Midfielder,02/09/1995
Alessandro Campus,Italy,Midfielder,09/06/1999
Nicolo Carrara,Italy,Defender,27/02/1999
Mattia Cavana,Italy,Goalkeeper,24/05/1997
Marco Cestagalli,Italy,Defender,15/12/1997
Moutir Chajia,Belgium,Forward,04/06/1998
Riccardo Collodel,Italy,Midfielder,10/11/1998
Aaron Confortini,Italy,Goalkeeper,01/05/1998
Andrei Cordea,Romania,Midfielder,24/06/1999
Federico D'Astoli,Italy,Defender,25/01/1998
Federico Davighi,Italy,Defender,17/01/1996
Davide De Rosa,Italy,Defender,04/08/1996
Marco Della Vedova,Italy,Defender,22/01/2000
Matteo Di Giovanni,Italy,Defender,02/02/2000
Lorenzo Dickmann,Italy,Defender,24/09/1996
Eynel Soares,Cape Verde,Forward,12/01/2000
Paolo FaragÃ²,Italy,Midfielder,12/02/1993
Johad Ferretti,Italy,Defender,30/05/1994
Leonardo Fido,Italy,Defender,25/05/2000
Nicolas Fonseca,Italy,Midfielder,19/10/1998
Stefano Frattini,Italy,Goalkeeper,28/04/1998
Alessandro Frigione,Italy,Goalkeeper,18/08/1999
Pietro Guatieri,Italy,Defender,30/10/1998
NiccolÃ² Intorre,Italy,Goalkeeper,26/03/1999
Gabrielius Judickas,Lithuania,Midfielder,04/07/1995
Hicham Kanis,Morocco,Forward,16/08/1997
Edvald Lamcaj,Albania,Forward,07/08/1996
Isaia Lattarulo,Italy,Midfielder,08/01/1998
Andrea Leontini,Italy,Defender,
Francesco Li Gotti,Italy,Defender,13/08/1997
Carlalberto Ludi,Italy,Defender,24/12/1982
Luka,Portugal,Defender,08/01/1998
Luka Oliveira,Portugal,Midfielder,08/01/1998
Antonio LukanoviÄ,Croatia,Forward,06/03/1998
Andrea Malberti,Italy,Defender,10/04/1998
Jacopo Manconi,Italy,Forward,24/04/1994
Davide Mansi,Italy,Defender,18/01/1996
Emanuele Marra,Italy,Forward,14/11/1995
Carvalho Demetrio Rafael Mendes,Portugal,Defender,17/01/1999
Daniele Mignanelli,Italy,Midfielder,10/05/1993
Lorenzo MontipÃ²,Italy,Goalkeeper,20/02/1996
Kenan MuslimoviÄ,Austria,Forward,13/02/1997
Filippo Nardi,Italy,Midfielder,03/03/1998
Francesco Pacini,Italy,Goalkeeper,07/01/1995
Nicolas Parravicini,Italy,Forward,
Federico Pasqualoni,Italy,Defender,19/03/1997
Manuel Pavesi,Italy,Forward,23/03/1997
Fabio Pegorin,Italy,Goalkeeper,21/05/1996
Andrea Penna,Italy,Midfielder,07/05/1999
Leonardo Piazza,Italy,Forward,
Amedeo Poletti,Italy,Midfielder,22/04/2002
Cristiano Ragone,Italy,Defender,21/10/1999
Davide Ramponi,Italy,Forward,10/01/1997
Michele Rocca,Italy,Forward,06/02/1996
Danilo Ruzzittu,Italy,Forward,06/04/1997
Andrea Salmoiraghi,Italy,Midfielder,13/02/1998
Francesco Salucci,Italy,Forward,24/04/1999
Jacopo Salvatore,Italy,Forward,
Andrea Sana,Italy,Defender,31/01/1999
Mouloud Sana,France,Midfielder,01/01/1997
Sidy Sanokho,France,Midfielder,08/05/1998
NicolÃ¡s Schiavi,Argentina,Midfielder,01/02/1995
Simone Segoni,Italy,Defender,24/02/1996
Matteo Stoppa,Italy,Forward,27/09/2000
Luca Strizzolo,Italy,Forward,29/04/1992
Armand Åvichi,Romania,Midfielder,06/06/1996
Tiago Ferreira,Portugal,Defender,10/06/1999
Daniele Torregrossa,Italy,Midfielder,31/07/1997
Massimo Trabuio,Italy,Midfielder,
NicolÃ² Vai,Italy,Forward,16/01/1999
Victor van der Linde,Netherlands,Midfielder,01/01/1999
Francesco Vicari,Italy,Defender,03/08/1994
Alberto Zacchi,Italy,Defender,12/04/1999
