Name,Country,Position,Born
Matthis Abline,France,Forward,28/03/2003
Lorenz Assignon,France,Defender,22/06/2000
TiemouÃ© Bakayoko,France,Midfielder,17/08/1994
Dann Banzuzi,France,Midfielder,08/02/2002
Boris Binkovski,Slovenia,Forward,25/11/1944
Sacha Boey,France,Defender,13/09/2000
PÃ©pÃ© Bonet Kapambu,Congo,Goalkeeper,13/02/2003
Mohamed Bouzidi,France,Midfielder,18/02/2001
Lilian Brassier,France,Defender,02/11/1999
Eduardo Camavinga,Angola,Midfielder,10/11/2002
Julien Cohan,France,Midfielder,18/04/2002
SÃ©ga Coulibaly,France,Defender,09/06/1996
MathÃ©o Crocq,France,Midfielder,26/01/2002
Lucas Da Cunha,France,Forward,09/06/2001
Elias Damergy,France,Goalkeeper,17/10/2002
Romain DanzÃ©,France,Midfielder,03/07/1986
Ousmane DembÃ©lÃ©,France,Forward,15/05/1997
Boubacar Diakhaby,France,Midfielder,26/04/2002
Namakoro Diallo,France,Defender,29/03/1996
Bertrand Diard,France,Defender,24/04/2001
Sofiane Diop,France,Midfielder,09/06/2000
Andy Diouf,France,Midfielder,17/05/2003
Rayane DoucourÃ©,France,Defender,30/03/2001
Guela DouÃ©,France,Defender,17/10/2002
Mouhamad Lamine Doumbouya,France,Midfielder,14/03/2000
Maxime Fleury,France,Forward,16/06/1996
Dimitri Foulquier,Guadeloupe,Defender,23/03/1993
Noah FranÃ§oise,France,Midfielder,05/07/2003
Dylan G'Beuly,France,Forward,28/11/2000
KÃ©vin Galisson,France,Defender,25/08/2002
Kyllian Gasnier,France,Midfielder,30/06/2002
Yann Gboho,France,Forward,14/01/2001
JÃ©rÃ©my Gelin,France,Defender,24/04/1997
Valentin Hesry,France,Goalkeeper,12/01/2003
CÃ©dric Hountondji,Benin,Defender,19/01/1994
Wilson Isidor,France,Forward,27/08/2000
Matthieu Jacob,France,Defender,15/07/2000
Nicolas Janvier,France,Midfielder,11/08/1998
ClÃ©ment Jaslet,France,Midfielder,18/01/2002
Junior Kadile,France,Forward,16/12/2002
Alan Kerouedan,France,Forward,12/01/2000
Lucas Kouao,France,Defender,05/08/2003
James Lea Siliki,France,Forward,12/06/1996
ThÃ©o Louis,France,Goalkeeper,12/07/1999
Isaac Matondo,France,Midfielder,24/03/1999
TrÃ©sor Matondo,France,Midfielder,24/07/2003
Billal Mehadji,France,Forward,15/04/1999
George Merloi,Romania,Midfielder,15/10/1999
Simon Messager,France,Goalkeeper,26/04/2001
Donovan Monteville,France,Forward,17/01/2002
Jenny N'Kassa,France,Forward,31/01/2001
Antoine Nugent,France,Midfielder,06/05/2002
Gerzino Nyamsi,France,Defender,22/01/1997
Warmed Omari,France,Defender,23/04/2000
Mathis Picouleau,France,Midfielder,08/05/2000
Denis Poha,France,Midfielder,28/05/1997
Franck Rivollier,France,Forward,20/04/2001
Thibault Roure,France,Forward,02/02/2001
Georginio Rutter,France,Forward,20/04/2002
SÃ©bastien Salles-Lamonge,France,Midfielder,28/01/1996
Malo Samson,France,Defender,29/01/2001
Brandon Soppy,France,Defender,21/02/2002
Arnaud Tattevin,France,Forward,26/02/2000
Loum Tchaouna,France,Forward,08/09/2003
Alexis Trouillet,France,Midfielder,23/12/2000
Adrien Truffert,France,Midfielder,20/11/2001
Chimuanya Ugochukwu,France,Midfielder,26/03/2004
Yan Valery,France,Defender,22/02/1999
Ãmilien Waflart,France,Midfielder,16/06/2001
Adama Wagui,France,Goalkeeper,25/06/2002
Alassane Wattara,France,Defender,09/02/2003
Wesley Yamnaine,France,Defender,07/07/1993
