Name,Country,Position,Born
Christoffer Aasbak,Norway,Defender,22/07/1993
Eirik DÃ¸nnem,Norway,Midfielder,21/07/1990
Vegard Erlien,Norway,Forward,24/06/1998
Aleksander FoosnÃ¦s,Norway,Midfielder,05/06/1994
Daniel Hagen,Norway,Goalkeeper,25/02/1997
Rohollah Iqbalzadeh,Afghanistan,Defender,02/11/1994
Joachim Olufsen,Norway,Forward,14/07/1995
Gisle Refseth,Norway,Defender,21/03/1984
Rasmus Sandberg,Norway,Goalkeeper,23/04/2001
Vegard Skjerve,Norway,Defender,22/05/1988
Aksel SkjÃ¸lsvik,Norway,Midfielder,15/05/1987
Ola Solbakken,Norway,Forward,07/09/1998
JÃ¸rgen Solli,Norway,Defender,03/12/1995
Jakob Tromsdal,Norway,Midfielder,08/10/1997
Fredrik Vinje,Norway,Midfielder,19/03/1998
Glenn Walker,Norway,Defender,17/06/1998
Robert Williams,Norway,Midfielder,15/01/2000
