Name,Country,Position,Born
AarÃ³n,Spain,Goalkeeper,27/09/1995
Abdel Jalil,Spain,Defender,28/08/1997
Clifford Aboagye,Ghana,Midfielder,11/02/1995
Adolfo,Spain,Midfielder,15/01/1992
Adri Castellano,Spain,Defender,26/06/1994
AdriÃ¡n Butzke,Spain,Forward,30/03/1999
AdriÃ¡n Castro,Spain,Midfielder,02/05/1997
AdriÃ¡n Rivas,Spain,Forward,24/05/1997
Uche Agbo,Nigeria,Midfielder,04/12/1995
Aguilera,Spain,Defender,28/05/1948
Alberto LejÃ¡rraga,Spain,Goalkeeper,15/04/1995
Alberto LÃ³pez,Spain,Defender,27/05/1995
Alejandro Viedma,Spain,Midfielder,16/04/1999
Ãlex Carmona,Spain,Defender,19/09/1989
Ãlex Cruz,Spain,Midfielder,17/06/1990
Almagro,Spain,Midfielder,29/03/1945
Ãlvaro EspÃ­nola,Spain,Defender,28/09/1999
Ãlvaro GarcÃ­a,Spain,Midfielder,27/10/1992
Ãlvaro Vega,Spain,Defender,15/03/1991
AndrÃ©s GarcÃ­a,Spain,Midfielder,11/05/1996
Antonio Aranda,Spain,Midfielder,07/10/2000
Antonio Montoro,Spain,Defender,10/05/1997
Rida Arkine,Morocco,Forward,06/10/1990
Arnau FÃ brega,Spain,Goalkeeper,28/06/2000
Arturo Marfil,Spain,Defender,18/07/1990
Pape Assane,Senegal,Midfielder,20/09/1997
Baena,Spain,Midfielder,14/04/1932
Barrachina,Spain,Defender,24/02/1947
Juan Becerra,Colombia,Forward,23/02/1998
Richard Boateng,Ghana,Midfielder,10/07/1992
PaweÅ Bochniewicz,Poland,Defender,30/01/1996
Mavroudis Bougaidis,Greece,Defender,01/06/1993
Christian Bravo,Chile,Forward,01/10/1993
Caio Emerson,Brazil,Forward,19/02/1999
Canillas,Spain,Forward,29/09/1996
Casi,Spain,Forward,08/06/1993
Castillo,Spain,Forward,26/01/1938
Castillo,Spain,Defender,22/03/2000
Christian Alaminos,Spain,Goalkeeper,26/06/1997
Christian Baena,Spain,Defender,14/04/1991
Clapin Girard,Canada,Goalkeeper,18/02/1997
Miguel Cobo,Spain,Midfielder,14/09/1995
Gabriel Corozo,Ecuador,Defender,05/01/1995
Cristian Arco,Spain,Goalkeeper,17/01/1995
Cristian GutiÃ©rrez,Spain,Forward,30/11/2000
Wilson Cuero,Colombia,Forward,27/01/1992
Dani Moreno,Spain,Forward,30/03/2000
Dani Palomares,Spain,Defender,16/01/1998
David Aguilar,Spain,Midfielder,15/03/1995
David Grande,Spain,Forward,08/02/1991
David Maldonado,Spain,Defender,
David Robador,Spain,Goalkeeper,14/07/1996
David Romero,Spain,Forward,24/03/1998
Denilson,Brazil,Forward,18/07/1995
Diego GonzÃ¡lez,Spain,Defender,28/01/1995
Diego Ruiz,Spain,Defender,09/03/1996
Stole Dimitrievski,North Macedonia,Goalkeeper,25/12/1993
Echu,Spain,Midfielder,11/02/1998
Ãdgar BadÃ­a,Spain,Goalkeeper,12/02/1992
Eli,Spain,Defender,11/02/1997
Eloy Matute,Spain,Forward,06/04/1944
Esteve PeÃ±a,Spain,Goalkeeper,26/04/1997
Pervis EstupiÃ±Ã¡n,Ecuador,Defender,21/01/1998
Etxebarria,Spain,Goalkeeper,30/08/1996
FabiÃ¡n,Argentina,Defender,06/10/1973
Mohammed Fatau,Ghana,Midfielder,24/12/1992
FermÃ­n Ruiz,Spain,Midfielder,13/06/1997
Fernando LiÃ±Ã¡n,Spain,Midfielder,31/07/1986
Kingsley Fobi,Ghana,Defender,20/09/1998
Fran,Spain,Midfielder,08/04/1994
Fran Ãlvarez,Spain,Defender,04/09/1996
Fran Morante,Spain,Defender,28/06/1992
Fran Serrano,Spain,Defender,20/04/1995
Francisco Fuentes,Spain,Goalkeeper,
Galeano,Colombia,Forward,03/04/1997
GarcÃ­a,Spain,Defender,09/01/1960
GarrÃ©,Spain,Midfielder,21/06/1951
Garrido,Spain,Defender,02/04/1994
Gerardo,Spain,Defender,23/11/1943
Goku,Spain,Midfielder,01/04/1990
GonÃ§alo Tavares,Portugal,Defender,16/05/1997
Guerrero,Spain,Forward,19/06/1934
Guerrero CÃ¡rdenas,Spain,Midfielder,05/01/1938
Luka Gugeshashvili,Georgia,Goalkeeper,29/04/1999
Guillermo Tarazona,Spain,Goalkeeper,27/04/2001
Hao Runze,China,Defender,03/05/1997
HÃ©ctor,Spain,Defender,01/01/1995
Martin Hongla,Cameroon,Defender,16/03/1998
Valber Huerta,Chile,Defender,26/08/1993
Hugo Cantero,Spain,Goalkeeper,09/07/1989
Hugo Gomes,Brazil,Defender,04/01/1995
Jafar Ibrahim,Ghana,Forward,06/05/1995
Isi,Spain,Midfielder,28/10/1995
Isma Ruiz,Spain,Midfielder,14/02/2001
Ismael Athuman,Kenya,Midfielder,01/02/1995
Nabil Jaadi,Belgium,Midfielder,01/07/1996
Jaime Garijo,Spain,Midfielder,06/06/1999
Javi PÃ©rez,Spain,Defender,16/07/1987
Javier Ontiveros,Spain,Forward,01/04/1996
Jean Carlos,Brazil,Forward,10/05/1996
JesÃºs Cambil,Spain,Midfielder,21/09/1999
Jorge SÃ¡nchez,Spain,Goalkeeper,22/03/1993
Jorgoso,Spain,Forward,01/12/1955
JosÃ© Antonio,Spain,Midfielder,20/12/1995
JosÃ© Domingo,Spain,Midfielder,01/08/2000
