Name,Country,Position,Born
Mauro Alegre,Argentina,Midfielder,08/01/1988
Aleksander Y. Aleksandrov,Bulgaria,Midfielder,19/01/1975
Lyubomir Aleksandrov,Bulgaria,Forward,06/06/1990
Nikolay Aleksandrov,Bulgaria,Defender,17/09/1987
Dimitar Aleksiev,Bulgaria,Forward,28/07/1993
Alex Cerdeira,Brazil,Forward,14/04/1980
Ãlvaro,Brazil,Midfielder,06/06/1991
Armen Ambartsumyan,Armenia,Goalkeeper,18/02/1978
Georgi Andonov,Bulgaria,Midfielder,28/06/1983
Georgi Andonov,Bulgaria,Goalkeeper,12/04/1968
Kiril Andonov,Bulgaria,Defender,01/11/1967
Rosen Andonov,Bulgaria,Goalkeeper,19/01/1994
Anicet Andrianantenaina,Madagascar,Forward,13/03/1990
Lachezar Angelov,Bulgaria,Defender,21/04/1994
Sasho Angelov,Bulgaria,Defender,15/08/1969
Stelian Angelov,Bulgaria,Goalkeeper,24/10/2000
Stoyan Angelov,Bulgaria,Defender,05/11/1983
Radoslav Apostolov,Bulgaria,Midfielder,07/06/1997
Vidin Apostolov,Bulgaria,Defender,17/10/1941
Georgi Argilashki,Bulgaria,Goalkeeper,13/06/1991
Emil Argirov,Bulgaria,Defender,04/03/1987
Mitko Argirov,Bulgaria,Midfielder,05/11/1959
Lilcho Arsov,Bulgaria,Goalkeeper,16/10/1972
Arthur,Brazil,Defender,14/01/1987
Georgi Asparuchov,Bulgaria,Forward,04/05/1943
Petar Atanasov,Bulgaria,Midfielder,13/10/1990
Georgi Avramov,Bulgaria,Midfielder,05/10/1983
Vladimir Aytov,Bulgaria,Defender,12/04/1996
Radoslav Bachev,Bulgaria,Defender,09/04/1981
Gustave Bahoken,Cameroon,Defender,13/06/1979
Marin Bakalov,Bulgaria,Midfielder,18/04/1962
Dimitar Balinov,Bulgaria,Defender,05/03/2001
Lachezar Baltanov,Bulgaria,Midfielder,11/07/1988
Habib Bamogo,Burkina Faso,Forward,08/05/1982
Rumen Bariev,Bulgaria,Forward,
Angel Bastunov,Bulgaria,Forward,18/05/1999
Simeon Batakliev,Bulgaria,Forward,15/06/1967
Dimitar Bayrev,Bulgaria,Midfielder,12/09/1987
Vladimir Bayrev,Bulgaria,Defender,19/02/1989
Deyan Bekyarov,Bulgaria,Midfielder,1989
Alexandru Benga,Romania,Defender,15/06/1989
Boris Blagoev,Bulgaria,Midfielder,27/10/1985
Blagoi Blangev,Bulgaria,Defender,04/11/1960
Biser Bonev,Bulgaria,Midfielder,04/06/2003
Ventzislav Bonev,Bulgaria,Defender,08/05/1980
Georgi Borisov,Bulgaria,Midfielder,21/10/1974
Kosta Bosakov,Bulgaria,Midfielder,28/03/1950
Stamen Boyadzhiev,Bulgaria,Goalkeeper,25/06/1997
Daniel Bozhkov,Bulgaria,Defender,27/04/1983
Luca Brignoli,Italy,Goalkeeper,12/01/1983
Massimiliano Brizzi,Italy,Midfielder,13/02/1975
Alan Carlet,Italy,Forward,12/01/1977
Georgi Chakarov,Bulgaria,Defender,25/06/1933
Georgi Chakarov,Bulgaria,Midfielder,29/01/1969
Rumen Chakarov,Bulgaria,Midfielder,06/06/1968
