Name,Country,Position,Born
Juan Aballay,Argentina,Defender,08/08/1988
David Achucarro,Argentina,Defender,05/01/1991
Okiki Afolabi,Nigeria,Forward,12/12/1994
Diego Aguiar,Argentina,Goalkeeper,04/09/1981
HÃ©ctor Aguilar,Argentina,Midfielder,18/07/1977
Manuel Aguilar,Argentina,Midfielder,12/09/1969
Oscar AlanÃ­z,Argentina,Midfielder,04/07/1971
Diego AlarcÃ³n,Argentina,Defender,02/03/1975
Fernando AlarcÃ³n,Argentina,Defender,16/06/1994
Daniel AlbornÃ³s,Argentina,Midfielder,17/07/1977
JosÃ© Albornoz,Argentina,Midfielder,19/07/1970
Mauro Algecira,Argentina,Midfielder,25/07/1981
Sergio AlmirÃ³n,Argentina,Forward,18/11/1958
Favio Ãlvarez,Argentina,Midfielder,23/01/1993
Favio Ãlvarez,Argentina,Defender,03/03/1992
Leandro Ãlvarez,Argentina,Defender,04/06/1981
Gonzalo Alves,Argentina,Midfielder,
Ignacio AnÃ­vole,Argentina,Midfielder,04/08/1984
AdriÃ¡n Aranda,Argentina,Forward,01/09/1977
Aldo Araujo,Argentina,Midfielder,03/01/1992
Miguel Araujo,Peru,Defender,24/10/1994
Rodrigo Arciero,Argentina,Defender,12/03/1993
Carlos ArÃ©valo,Argentina,Forward,25/04/1981
Marcos ArgÃ¼ello,Argentina,Goalkeeper,28/07/1981
Junior Arias,Uruguay,Forward,17/05/1993
Mauricio Arias,Chile,Defender,27/10/1984
Nicolas Armella,Argentina,Defender,09/08/1987
Jonathan Artura,Argentina,Midfielder,31/03/1987
Marcos Arturia,Argentina,Forward,08/02/1998
HÃ©ctor Arzubialde,Argentina,Defender,22/08/1964
Federico Astudillo,Argentina,Forward,06/01/1981
Rodrigo Astudillo,Argentina,Forward,23/11/1977
AdriÃ¡n Ãvalos,Argentina,Midfielder,25/11/1974
Juan AvendaÃ±o,Argentina,Defender,05/10/1982
Pablo Azcurra,Argentina,Midfielder,30/04/1986
Guillermo BÃ¡ez,Argentina,Defender,18/01/1980
Jhonny Baldeon,Ecuador,Forward,15/06/1981
HÃ©ctor Baley,Argentina,Goalkeeper,16/11/1950
Marco Ballarino,Argentina,Midfielder,12/04/1984
NicolÃ¡s Ballesteros,Argentina,Defender,16/11/1983
Joel Barbosa,Argentina,Defender,15/01/1983
Gonzalo Baroni,Argentina,Forward,20/02/1985
Leonardo Baroni,Argentina,Defender,15/01/1984
Ezequiel Barrionuevo,Argentina,Midfielder,14/08/1986
Gustavo Bartelt,Argentina,Forward,02/09/1974
Sebastian Bartolini,Argentina,Defender,01/02/1982
Cristian Basualdo,Argentina,Midfielder,17/04/1980
Jonathan Battauz,Argentina,Midfielder,27/11/1987
Jonathan Bay,Argentina,Defender,01/02/1993
ElÃ­as Bazzi,Argentina,Defender,23/05/1981
Albano Becica,Argentina,Midfielder,26/01/1987
Marcelo BenÃ­tez,Argentina,Midfielder,29/05/1989
Nelson BenÃ­tez,Argentina,Defender,24/05/1984
